GeneSubclass,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,10,407549,142,142,0,15,406749,1
0,55,375897,27,27,0,20,375253,0
0,51,316903,135,135,0,4,315689,0
0,79,190939,254,254,0,5,189335,0
0,26,2173429,195,195,0,19,2172779,1
0,101,1188618,206,206,0,15,1187623,0
1,74,13960,17,17,1,28,13361,1
1,5,432941,216,216,1,15,432381,1
0,10,992655,224,224,0,15,991897,1
0,55,1745136,203,203,0,20,1744339,0
0,75,462427,183,183,0,16,461594,0
0,65,1049347,137,137,0,15,1048619,0
0,60,25566,239,239,0,81,24859,1
0,75,313057,151,151,0,16,312338,0
0,95,4472,229,229,0,77,3321,0
0,10,1057942,136,136,0,15,1056725,0
1,88,15410,240,240,1,43,14340,1
0,49,265338,260,260,0,5,264103,0
0,3,1047,2,2,0,21,259,0
0,82,1218003,114,114,0,20,1217665,0
0,49,1588977,128,128,0,18,1588012,0
0,73,12897,8,8,0,25,11857,1
0,10,997273,225,225,0,15,996476,1
0,50,1062126,210,210,0,17,1060936,0
0,91,363876,163,163,0,13,363610,1
0,7,1075329,5,5,0,15,1075195,1
0,51,261357,61,61,0,4,260583,0
0,90,33929,176,176,0,2,32910,1
0,55,1474427,53,53,0,20,1473666,0
0,10,724125,97,97,0,15,723133,1
0,79,231201,259,259,0,5,230431,0
1,9,445921,22,22,1,4,445157,0
1,104,5205,104,104,1,58,4201,1
1,97,13702,29,29,1,45,12743,0
0,29,227094,23,23,0,13,226831,1
0,55,2202990,67,67,0,20,2202343,1
0,84,77977,43,43,0,3,77144,0
0,34,1905082,71,71,0,20,1904309,1
0,62,2162466,68,68,0,20,2161639,0
0,10,537352,90,90,0,15,536177,1
0,0,11189,50,50,0,50,10047,1
0,79,603523,100,100,0,5,602549,0
1,44,1790,11,11,1,26,1116,1
1,67,884301,143,143,1,15,883339,1
0,103,1639752,129,129,0,18,1638709,0
0,98,153559,247,247,0,82,152606,0
