Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,493953,88,88,2,1,493609,0
1,9446,82,82,2,1,7647,0
0,5255,74,74,3,0,2763,0
0,287968,36,36,0,0,286817,0
1,2113129,4,4,2,1,2112008,1
1,456990,39,39,2,1,456034,0
1,524283,29,29,2,1,523744,0
1,446968,57,57,2,1,445976,0
1,389254,85,85,2,1,388238,1
0,415,78,78,3,0,74,0
1,34900,84,84,2,1,34403,0
0,1568049,34,34,3,0,1567459,1
1,806760,71,71,2,1,805210,0
1,752839,24,24,2,1,752246,1
1,1050401,92,92,2,1,1050087,1
1,435956,9,9,2,1,435030,1
1,796791,68,68,2,1,795304,0
1,57693,64,64,2,1,56791,1
1,1786875,48,48,2,1,1786159,1
1,776048,26,26,2,1,775092,0
1,155295,91,91,2,1,154171,0
0,14817,16,16,4,0,14209,0
1,74492,21,21,2,1,73803,0
1,1037381,93,93,2,1,1036476,1
1,1751697,6,6,1,1,1751281,0
1,318778,37,37,2,1,318386,0
1,1078009,0,0,2,1,1077569,1
1,994934,13,13,2,1,993237,0
0,556441,28,28,0,0,555500,0
1,1575106,49,49,2,1,1574483,0
1,810033,67,67,2,1,808633,0
1,1226536,44,44,2,1,1225625,1
0,415202,8,8,0,0,414870,0
1,520133,89,89,2,1,519183,1
0,579,46,46,4,0,1,1
1,1605890,80,80,2,1,1605162,0
1,1285729,43,43,2,1,1284860,1
1,767190,27,27,2,1,766081,0
1,145136,60,60,2,1,143469,1
0,6256,14,14,3,0,4343,1
1,3678,42,42,2,1,1996,1
0,434997,7,7,0,0,434554,1
0,457660,40,40,0,0,457121,0
1,26464,55,55,2,1,24623,1
0,43740,65,65,0,0,43105,0
0,623355,25,25,0,0,622414,1
1,310242,38,38,2,1,309811,0
0,409340,95,95,0,0,408633,0
0,14261,90,90,3,0,11517,1
0,292232,50,50,0,0,291777,0
1,1643722,32,32,2,1,1642802,1
1,84542,20,20,2,1,84111,1
0,2665,12,12,3,0,1541,1
1,1180888,79,79,2,1,1179752,1
0,309976,53,53,3,0,309383,0
0,598,61,61,4,0,2,1
0,876723,52,52,0,0,875551,0
1,1445532,22,22,2,1,1444765,1
1,829655,3,3,2,1,828978,1
1,1493,83,83,2,1,471,1
1,1115404,70,70,2,1,1114712,1
1,2418,11,11,2,1,715,1
1,447558,87,87,2,1,447142,1
0,1735953,73,73,0,0,1735636,0
1,1067748,81,81,2,1,1067248,0
0,2026309,10,10,0,0,2025506,1
1,483,19,19,2,1,1,1
0,1735532,72,72,3,0,1734645,0
1,647282,5,5,2,1,646296,1
1,787501,69,69,2,1,786539,0
0,18905,63,63,3,0,17574,1
1,703062,66,66,2,1,702091,0
1,1021876,56,56,2,1,1021316,0
1,3924,62,62,2,1,2239,1
1,302448,35,35,2,1,301999,0
1,796821,76,76,2,1,795886,0
1,15756,45,45,2,1,14755,1
1,232541,30,30,2,1,231249,0
0,459577,77,77,3,0,458618,0
0,747945,59,59,3,0,745645,0
1,156954,97,97,2,1,155782,0
1,479784,86,86,2,1,478387,1
0,12112,18,18,0,0,11726,0
0,3821,15,15,3,0,1521,1
1,1680779,33,33,2,1,1680060,0
0,11816,47,47,3,0,9516,1
1,571767,75,75,2,1,570709,1
1,1658775,31,31,2,1,1658077,1
1,1430208,23,23,2,1,1429318,0
1,1217,96,96,2,1,24,0
1,75990,1,1,2,1,74263,1
0,828817,2,2,0,0,828224,1
1,408301,94,94,2,1,407363,0
1,1000,41,41,2,1,2,0
1,571876,58,58,2,1,570902,0
1,2307,51,51,2,1,1621,1
1,322283,54,54,2,1,321357,0
0,11716,17,17,0,0,11321,0
