Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Biography,Nationality,Birthplace,UciRiderId,Languages,WeightKg,Birthdate,OlympediaPeopleId,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,CyclingDiscipline
0,13,39842.0,12843.0,10,1311517.0,140292.0,10,2,0,11,67388.0,6,58.0,2,141955.0,10,7,57418.0,2276.0,0,166.0,2
0,3,69634.0,26526.0,13,5000.0,194619.0,13,10,5,4,149727.0,5,66.0,12,146565.0,13,2,115790.0,45992.0,4,176.0,2
0,12,,26492.0,5,,194916.0,5,9,4,0,106114.0,4,,10,,5,3,117196.0,,5,,0
0,5,69983.0,27153.0,1,,208878.0,1,4,1,8,98323.0,2,,11,,1,4,126230.0,51244.0,5,180.0,2
0,8,51602.0,20770.0,7,,138672.0,7,3,3,12,86539.0,4,60.0,6,,7,0,81864.0,18564.0,7,178.0,2
0,2,16289.0,5.0,0,470645.0,140924.0,0,11,6,6,14575.0,4,61.0,0,103634.0,0,7,7005.0,38.0,6,177.0,2
1,0,49682.0,17893.0,12,39580.0,134456.0,12,0,7,2,553301.0,1,58.0,4,143135.0,12,7,65130.0,6242.0,6,172.0,3
0,11,,,3,,194640.0,3,8,2,5,149698.0,3,,13,,3,6,144344.0,46012.0,5,188.0,2
0,10,43388.0,14319.0,9,67673.0,140293.0,9,12,6,7,68367.0,0,63.0,1,,9,7,58588.0,2278.0,7,173.0,0
0,6,65688.0,24926.0,2,465450.0,198937.0,2,1,0,13,95844.0,6,60.0,9,,2,1,100412.0,58275.0,1,175.0,2
0,1,46381.0,18610.0,6,77168.0,137427.0,6,5,1,10,71557.0,2,62.0,3,133837.0,6,7,63999.0,12474.0,2,173.0,1
0,9,61866.0,23334.0,8,160840.0,185156.0,8,1,0,9,97634.0,6,65.0,7,133265.0,8,7,100717.0,35077.0,3,170.0,2
0,4,,22909.0,11,,163164.0,11,7,1,1,89412.0,2,,8,,11,5,84023.0,20105.0,5,,2
0,7,52629.0,19903.0,4,11686.0,138911.0,4,6,1,3,75167.0,2,76.0,5,,4,7,67145.0,12481.0,5,179.0,2
