GeneSubclass,GenomicEndPosition,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,857092,47,1,0,11,856736,1
0,952454,48,0,0,11,951102,0
1,572085,31,2,1,7,571735,0
0,957295,4,0,0,2,956186,0
1,436232,26,2,1,6,435513,1
0,28107,42,0,0,0,26566,0
0,538404,38,0,0,1,537619,1
0,698476,13,1,0,3,697478,0
0,436638,23,0,0,7,435553,1
0,643992,43,0,0,0,642829,0
0,448182,28,0,0,7,447082,1
0,719972,22,0,0,3,718869,0
0,685398,8,0,0,3,684295,0
0,11789946,45,0,0,13,11789392,0
0,3535623,39,0,0,1,3534082,1
0,949535,2,0,0,2,948441,0
0,693005,11,0,0,3,691932,0
0,302248,36,0,0,1,300902,0
0,578786,5,0,0,3,577695,1
0,361672,33,0,0,7,360605,1
0,955355,3,0,0,2,954246,0
0,953506,49,1,0,11,952991,0
0,10606,32,0,0,9,9500,0
0,689114,10,1,0,3,688161,0
0,714177,20,0,0,3,713086,0
0,712255,19,0,0,3,711152,0
0,708398,18,0,0,3,707307,0
0,1723,27,0,0,10,617,1
0,681532,7,0,0,3,680441,0
0,539756,44,0,0,0,539199,1
0,15794153,46,0,0,13,15792798,1
0,7280921,40,0,0,1,7279380,1
0,45918,29,0,0,4,44815,1
0,718038,21,0,0,3,716935,0
0,475968,25,0,0,6,474868,1
0,243994,30,0,0,8,242888,1
0,869104,0,0,0,2,868049,1
0,702631,15,0,0,3,701528,0
0,943763,1,0,0,2,942660,0
0,5456,53,1,0,12,4803,1
0,261982,34,0,0,5,260876,1
0,535555,37,0,0,1,534350,1
0,174545,24,0,0,8,173439,1
0,706475,17,0,0,3,705384,0
0,1902,51,1,0,12,1258,1
0,677664,6,0,0,3,676555,0
0,704553,16,0,0,3,703462,0
0,696647,12,0,0,3,695556,0
0,972285,50,1,0,11,971263,0
0,44760,35,0,0,5,43651,1
0,699992,14,0,0,3,698889,0
0,3120,52,1,0,12,2473,1
0,687330,9,0,0,3,686227,0
0,8765378,41,0,0,1,8763816,0
