GeneSubclass,GenomicEndPosition,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,12460992,117,39,0,13,12457699,0
0,21664027,170,38,0,13,21662360,1
1,14716347,126,41,1,13,14714348,1
1,24261916,182,22,1,13,24259394,0
0,16959828,143,38,0,13,16958119,1
0,22507853,175,23,0,13,22506750,0
0,5694837,86,38,0,13,5693386,0
1,4347332,75,32,1,13,4345470,0
0,19111241,156,38,0,13,19109871,1
0,189059,56,38,0,13,186996,1
0,7321944,29,43,0,1,7320766,1
0,5535594,82,38,0,13,5533789,1
0,16126477,136,20,0,13,16125630,0
0,16125431,135,19,0,13,16124496,0
0,6407978,88,19,0,13,6406782,1
0,22866651,177,39,0,13,22865183,1
1,6962,185,25,1,10,4240,1
0,22420594,174,38,0,13,22418891,0
0,6622485,89,19,0,13,6621288,0
0,517377,186,23,0,11,516034,0
0,740910,58,38,0,13,739147,1
0,4478317,21,43,0,1,4476602,1
0,6623857,90,20,0,13,6622859,0
0,8304208,99,26,0,13,8302604,1
0,1163943,62,20,0,13,1162260,1
1,166610,3,34,1,2,159343,0
0,12044915,45,44,0,1,12043926,0
0,7085743,95,19,0,13,7084628,1
1,11814846,113,21,1,13,11812601,0
0,14246569,121,38,0,13,14244689,0
0,15525233,53,0,0,1,15523344,0
0,10367781,108,38,0,13,10366297,1
0,19353997,157,19,0,13,19353143,1
0,11228364,111,20,0,13,11227465,1
0,4821949,22,3,0,1,4818629,0
0,802447,11,19,0,7,797690,1
0,6404545,26,2,0,1,6402818,0
0,3890743,20,5,0,1,3888761,1
0,7536063,33,44,0,1,7534078,1
0,4110404,74,36,0,13,4109244,0
0,6917763,94,20,0,13,6916226,1
0,14417657,125,19,0,13,14416290,0
0,10471813,41,6,0,1,10470053,1
0,17169188,145,38,0,13,17167599,1
0,17204565,146,38,0,13,17202847,1
0,901193,59,23,0,13,900303,0
0,7485958,32,11,0,1,7483058,0
0,4986283,79,20,0,13,4984864,1
0,11930294,114,38,0,13,11928846,1
0,1138017,61,20,0,13,1136944,0
0,11141122,110,20,0,13,11139777,0
0,3552202,18,12,0,1,3549812,0
0,14297622,122,38,0,13,14294152,1
0,16271105,138,35,0,13,16270171,1
0,19098062,155,19,0,13,19092804,1
0,1488889,8,18,0,3,1488146,1
0,720767,1,18,0,0,720270,1
1,954065,60,24,1,13,950709,1
0,8446783,36,10,0,1,8444390,0
0,4961093,78,20,0,13,4960051,0
1,6731177,91,25,1,13,6730012,0
0,11411332,112,20,0,13,11410333,0
0,15699505,132,19,0,13,15698438,1
1,2395872,70,41,1,13,2393881,0
0,1946524,66,31,0,13,1945502,1
0,15368259,129,19,0,13,15366826,0
0,14309948,123,37,0,13,14308893,0
1,4686426,76,22,1,13,4684330,0
0,7223642,27,1,0,1,7222040,1
0,10863636,109,38,0,13,10862464,0
0,13110183,49,2,0,1,13108690,0
0,1537359,16,6,0,1,1535937,0
0,6873317,93,19,0,13,6870258,1
0,14082326,120,19,0,13,14081394,1
0,9633706,104,20,0,13,9632528,0
0,5758988,24,0,0,1,5757861,1
0,81654,9,18,0,6,80512,1
0,23853903,180,38,0,13,23852545,1
0,16962662,144,19,0,13,16961430,1
1,174089,4,34,1,2,167799,1
0,3888303,19,43,0,1,3887290,1
0,12055523,115,20,0,13,12054483,1
1,99081,2,34,1,2,91365,1
1,7436601,97,29,1,13,7431780,0
0,4822884,23,17,0,1,4821965,0
0,15575248,131,19,0,13,15573908,0
0,13113318,50,9,0,1,13110727,0
0,9950434,107,20,0,13,9949362,1
0,8346935,100,19,0,13,8345610,0
0,21338975,167,23,0,13,21337707,1
1,16290323,139,40,1,13,16287284,1
0,8749,187,23,0,12,7319,1
0,24325727,183,19,0,13,24324600,1
0,14737741,52,14,0,1,14736827,1
1,8123260,35,30,1,1,8119900,0
0,22034406,172,20,0,13,22033199,0
0,7470439,31,0,0,1,7468958,0
0,7438734,98,19,0,13,7437391,1
0,1555909,17,7,0,1,1553879,1
0,18805214,151,20,0,13,18803756,0
0,16044124,134,38,0,13,16042352,0
0,1377494,64,43,0,13,1376007,1
0,7409936,30,5,0,1,7408131,1
0,19092299,154,19,0,13,19091385,1
0,8477276,37,16,0,1,8475756,0
0,3748838,73,19,0,13,3747495,1
0,16306157,140,20,0,13,16305157,1
0,7726763,34,43,0,1,7725846,1
0,12245091,116,20,0,13,12243976,0
0,20537413,161,19,0,13,20536571,0
0,3991758,6,2,0,4,3988690,0
0,5564839,83,39,0,13,5563799,0
0,11526257,43,8,0,1,11525184,1
0,9713721,105,20,0,13,9711766,1
0,21494170,168,19,0,13,21492995,0
0,16917457,142,39,0,13,16914834,0
0,22370663,173,39,0,13,22368995,0
0,9818594,39,0,0,1,9817575,1
0,15205645,128,42,0,13,15204587,1
0,1190069,63,39,0,13,1189272,0
0,6206204,25,44,0,1,6205003,1
1,196430,5,34,1,2,190759,0
0,6273200,87,20,0,13,6272185,1
0,3320883,71,23,0,13,3319447,0
0,1394797,65,20,0,13,1393953,1
0,20921047,165,39,0,13,20919837,0
0,23094018,178,20,0,13,23092635,0
1,2196289,69,32,1,13,2194207,1
1,5133342,7,34,1,5,5130638,1
0,1681418,12,20,0,8,1679283,0
0,13085487,48,13,0,1,13081270,0
1,19533804,158,21,1,13,19532201,0
1,9534947,103,27,1,13,9531795,0
0,1115867,10,20,0,9,1114074,1
0,15572469,130,20,0,13,15571309,1
0,157156,55,19,0,13,156131,1
0,20629260,162,19,0,13,20624929,0
1,9897110,106,21,1,13,9895189,0
0,20644984,164,20,0,13,20643740,0
0,21910490,171,39,0,13,21909174,0
1,13184258,51,30,1,1,13181388,1
0,11528056,44,0,0,1,11526539,1
1,5654798,85,21,1,13,5652840,1
0,10166666,40,3,0,1,10162488,1
0,18902845,152,20,0,13,18901746,1
0,16194865,137,38,0,13,16193285,1
0,19068634,153,19,0,13,19067516,1
0,17510816,149,19,0,13,17509830,1
0,24166126,181,19,0,13,24164795,1
1,20643501,163,24,1,13,20641411,1
0,15718387,133,38,0,13,15717122,1
1,12991286,47,30,1,1,12990102,0
1,9281160,38,30,1,1,9279771,1
0,2148612,68,19,0,13,2147431,0
0,1535813,15,43,0,1,1533903,0
0,12080076,46,4,0,1,12076498,1
0,20186152,160,19,0,13,20185019,0
0,14784791,127,38,0,13,14783577,1
0,23555821,179,19,0,13,23554982,1
0,17302256,147,31,0,13,17300595,0
0,17931183,150,20,0,13,17930112,0
0,8353309,101,23,0,13,8351207,1
1,7252507,28,15,1,1,7251456,0
0,14313028,124,37,0,13,14311819,0
1,22703905,176,21,1,13,22702368,1
0,690524,0,18,0,0,690027,1
0,10473550,42,2,0,1,10471814,1
0,13564907,118,20,0,13,13563621,0
0,9395484,102,19,0,13,9394522,1
1,13800591,119,28,1,13,13799374,1
0,5418484,81,33,0,13,5417666,1
0,4787700,77,19,0,13,4786735,1
0,6830368,92,19,0,13,6828929,0
0,1983400,67,31,0,13,1981871,1
