GeneInstanceType,GenomicEndPosition,GeneLabel,ChromosomeLocation,GeneDbId,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,6019052,69,3,69,1,2,6018529,1,2
0,15473394,158,3,158,1,2,15472339,1,2
0,4895012,55,3,55,7,2,4893859,1,2
0,5799406,66,3,66,5,4,5798210,1,2
0,15675337,160,3,160,5,4,15674144,0,2
0,14732320,150,3,150,5,2,14731049,0,2
0,3169644,29,3,29,5,4,3168325,0,2
0,2228866,17,3,17,5,2,2227604,0,2
0,4219792,50,3,50,5,4,4218593,0,2
0,14799720,151,3,151,5,4,14798443,1,2
0,2677060,21,3,21,5,4,2675867,0,2
1,1545531,12,3,12,5,6,1544263,1,2
0,3908118,45,3,45,5,2,3906937,1,2
1,6931534,76,3,76,5,6,6930293,1,2
0,13672915,139,3,139,5,2,13671617,0,2
0,12936549,124,3,124,0,2,12935650,1,2
0,363090,2,3,2,5,2,361906,0,2
0,11085268,105,3,105,0,2,11084633,0,2
0,4006991,46,3,46,0,2,4006044,0,2
0,10676665,100,3,100,5,4,10675466,0,2
0,9720129,91,3,91,5,4,9718942,0,2
0,12239301,116,3,116,5,2,12238015,0,2
1,8701069,85,3,85,8,1,8699625,1,2
0,13583197,136,3,136,5,2,13581920,0,2
1,2690449,22,3,22,5,1,2689139,1,2
0,1093555,8,3,8,5,2,1092257,1,2
0,3123542,26,3,26,5,4,3122598,1,2
1,2358334,20,3,20,9,1,2357342,1,2
0,3215668,33,3,33,5,4,3214463,0,2
0,5568928,63,3,63,5,4,5567735,0,2
0,7191502,78,3,78,5,4,7190204,1,2
1,11900435,112,3,112,5,1,11899158,1,2
0,3815797,41,3,41,5,2,3814502,0,2
1,10172224,93,3,93,5,6,10170946,1,2
0,13204367,130,3,130,5,4,13203081,0,2
0,5551308,60,3,60,0,2,5550454,1,2
1,3210847,32,3,32,8,1,3209575,0,2
0,10683996,101,3,101,5,4,10682815,0,2
0,5558225,62,3,62,5,2,5557032,1,2
0,13576452,135,3,135,5,4,13575187,0,2
0,2238223,18,3,18,5,4,2236973,0,2
0,11621619,110,3,110,4,2,11621149,1,2
0,8787078,86,3,86,1,4,8786017,1,2
1,15156491,153,3,153,5,6,15155178,1,2
0,19650,163,0,163,3,8,18274,0,2
0,5552738,61,3,61,5,2,5551461,1,2
0,3473723,36,3,36,5,2,3472431,1,2
0,10574433,99,3,99,0,2,10573783,0,2
0,8944789,88,3,88,1,4,8944240,0,2
0,6724196,73,3,73,5,4,6722922,0,2
0,5878633,68,3,68,5,2,5877356,1,2
0,11841320,111,3,111,1,2,11840256,0,2
1,3164885,27,3,27,5,6,3163630,0,2
0,10452161,94,3,94,5,2,10450995,1,2
0,4226544,51,3,51,5,4,4225261,0,2
0,1966876,15,3,15,0,2,1965572,1,2
0,11410486,109,3,109,5,2,11409200,1,2
0,12223742,115,3,115,5,4,12222465,0,2
0,2820421,24,3,24,1,2,2819330,1,2
1,1073361,7,3,7,5,6,1072192,1,2
0,15392254,157,3,157,5,4,15391061,1,2
1,13160893,129,3,129,8,6,13159608,0,2
0,403641,3,3,3,0,2,403063,1,2
1,2324537,19,3,19,9,1,2323350,1,2
1,12917252,122,3,122,5,6,12915873,1,2
0,15241382,154,3,154,5,2,15240186,1,2
0,11904351,113,3,113,5,2,11903161,0,2
0,2497126,162,2,162,4,5,2496569,0,2
0,2724727,23,3,23,5,2,2723402,1,2
0,9057966,89,3,89,1,4,9057122,0,2
0,14708082,148,3,148,0,2,14707237,1,2
0,10454453,95,3,95,5,2,10453245,1,2
0,12754924,118,3,118,0,4,12754328,1,2
1,9598184,90,3,90,9,6,9597165,0,2
1,970531,6,3,6,9,6,969690,1,2
0,4227482,52,3,52,1,2,4226692,0,2
0,10565714,97,3,97,5,4,10564422,0,2
0,12778400,120,3,120,5,2,12777201,0,2
0,13414680,132,3,132,5,2,13413421,0,2
0,3404099,0,4,0,6,0,3402837,0,0
0,14388877,144,3,144,4,4,14388395,0,2
0,13009002,125,3,125,5,2,13007806,1,2
0,5117365,56,3,56,5,2,5116097,1,2
0,13069249,127,3,127,5,2,13067975,1,2
0,4580827,54,3,54,5,2,4579490,1,2
1,3278337,35,3,35,8,6,3277058,1,2
0,11408759,108,3,108,1,2,11408358,1,2
0,3209380,31,3,31,5,4,3208118,0,2
0,10568156,98,3,98,5,2,10566894,0,2
0,2223500,16,3,16,5,2,2222316,0,2
0,14288020,143,3,143,1,2,14287097,0,2
1,12857185,121,3,121,9,1,12856232,0,2
1,5691216,65,3,65,5,6,5690017,0,2
0,3171137,30,3,30,5,4,3169827,0,2
0,13575006,134,3,134,5,4,13573729,0,2
0,3475202,37,3,37,5,4,3473916,1,2
0,6933043,77,3,77,5,4,6931754,1,2
0,13967118,140,3,140,5,4,13965841,0,2
0,3276620,34,3,34,0,2,3275604,1,2
0,11939301,114,3,114,5,2,11938054,0,2
0,3428,164,1,164,3,3,2679,0,2
0,7901772,82,3,82,1,4,7901186,0,2
0,3901042,43,3,43,5,2,3899771,1,2
0,11085820,106,3,106,4,4,11085275,0,2
0,14697939,145,3,145,5,2,14696671,1,2
0,13154086,128,3,128,5,4,13152815,0,2
0,14730711,149,3,149,0,2,14729584,0,2
0,3479162,39,3,39,5,2,3477846,1,2
0,5644012,64,3,64,5,2,5642816,1,2
0,2933978,25,3,25,0,2,2933493,1,2
1,406592,4,3,4,8,6,403838,1,2
0,8824567,87,3,87,5,2,8823365,1,2
0,6770211,74,3,74,1,4,6769420,0,2
0,5842228,67,3,67,5,2,5841020,0,2
0,14266830,142,3,142,0,4,14265808,1,2
0,15299704,156,3,156,5,4,15298394,1,2
0,6372420,72,3,72,1,4,6371281,1,2
0,555258,5,3,5,5,4,554266,0,2
0,1094985,9,3,9,5,4,1093708,1,2
0,4193038,49,3,49,5,4,4191746,0,2
0,13659754,137,3,137,5,2,13658555,1,2
0,11046345,104,3,104,5,2,11045158,0,2
1,1236696,11,3,11,5,6,1235461,0,2
0,5265782,58,3,58,5,2,5264586,1,2
0,14212909,141,3,141,1,2,14212004,1,2
0,11290219,107,3,107,5,4,11288969,1,2
0,13478778,133,3,133,5,2,13477525,1,2
0,14704752,147,3,147,5,2,14703478,1,2
0,4325122,53,3,53,5,2,4323935,1,2
0,3902494,44,3,44,5,2,3901229,1,2
0,8072860,84,3,84,5,2,8071601,0,2
0,3485559,40,3,40,5,4,3484360,1,2
0,15555898,159,3,159,5,2,15554696,1,2
0,13205842,131,3,131,5,2,13204556,0,2
1,4191563,48,3,48,5,6,4190270,0,2
0,3477675,38,3,38,5,4,3476416,1,2
0,6185132,71,3,71,5,4,6183862,1,2
0,1960820,14,3,14,0,4,1959615,0,2
1,4161969,47,3,47,5,1,4161139,1,2
1,13033326,126,3,126,5,6,13032078,1,2
0,15255099,155,3,155,5,4,15253906,0,2
0,10998980,102,3,102,5,2,10997670,1,2
0,3166365,28,3,28,5,2,3165085,0,2
0,12920371,123,3,123,5,2,12919181,1,2
0,14801203,152,3,152,5,4,14799908,1,2
0,3365682,1,5,1,6,7,3364420,0,1
0,3817259,42,3,42,5,2,3815985,0,2
0,12700460,117,3,117,5,4,12699120,1,2
0,11041384,103,3,103,5,2,11040197,0,2
0,12772799,119,3,119,5,4,12771600,1,2
0,7810901,81,3,81,1,4,7810068,1,2
0,7501057,79,3,79,1,4,7500605,0,2
0,9962770,92,3,92,5,4,9961565,1,2
0,6183679,70,3,70,1,4,6183107,1,2
0,5524747,59,3,59,5,4,5523542,0,2
0,10564228,96,3,96,5,4,10562960,0,2
0,16059033,161,3,161,5,2,16057762,1,2
1,1761786,13,3,13,2,6,1760486,0,2
0,14699400,146,3,146,5,4,14698123,1,2
0,5118820,57,3,57,5,2,5117627,1,2
0,7980300,83,3,83,5,2,7979041,0,2
0,1098223,10,3,10,5,4,1097030,1,2
1,6852056,75,3,75,5,6,6850764,1,2
0,13671433,138,3,138,5,4,13670126,0,2
1,7762857,80,3,80,5,6,7761589,1,2
