Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,299487,0
0,0,125132,82,122370,1
1,0,387675,28,385183,0
0,0,736453,80,733583,0
0,1,190552,81,188093,1
0,0,1516533,43,1514173,1
0,0,476728,160,474101,0
0,0,54199,31,51578,1
0,0,988200,208,985546,1
0,0,1062895,233,1060310,1
0,0,246580,88,243767,0
0,0,758419,46,756089,0
0,0,488327,204,485541,0
1,0,322020,236,319249,0
0,0,33755,25,30969,0
0,0,423886,68,421607,1
0,0,993191,44,990858,1
1,0,1150558,194,1147775,1
0,0,1152306,222,1149583,0
0,0,1161129,167,1158613,0
1,0,32977,216,30248,1
0,0,33431,24,30843,1
0,0,504459,247,501763,1
0,0,1757922,190,1755496,1
0,0,553480,175,550610,0
0,0,16153,29,13502,0
0,0,355891,244,353552,0
0,0,309384,109,306937,0
0,0,25495,52,22811,0
0,0,8691,197,6085,1
0,0,200907,151,198367,0
0,0,15222,213,12538,1
0,0,867065,115,864531,0
0,0,1966199,102,1963551,1
0,0,557682,143,555076,0
0,0,1024944,232,1022305,0
0,0,556640,254,553878,0
0,0,1176004,166,1173581,0
0,0,156435,33,153649,1
0,0,447956,178,445458,1
0,0,735391,127,733043,0
0,0,1102343,226,1099539,0
0,0,1314205,91,1311887,0
0,0,1034195,210,1031508,1
0,0,650434,39,647633,1
0,0,1800605,107,1797939,1
0,0,187941,231,185287,0
1,0,17633,20,14982,0
0,0,4209,120,1423,0
0,0,198843,126,196225,0
0,0,1065877,200,1063010,0
0,0,432191,134,429708,0
0,0,536061,258,533287,0
0,0,568671,174,566338,1
1,0,1123469,221,1120611,0
0,0,443238,158,440629,0
0,0,422008,202,419294,0
0,0,125047,38,122324,1
0,0,50888,153,48174,1
1,0,107074,256,104540,0
0,0,622377,41,620053,0
0,0,404953,162,402317,0
0,0,352788,251,350182,1
0,0,185153,22,182502,0
1,0,389747,165,387120,0
0,0,373899,27,371611,1
0,0,475012,141,472298,0
0,0,7162,18,4697,0
0,0,378614,164,375975,0
0,0,23290,218,20606,1
0,0,9867,62,7462,0
0,0,473501,203,470631,0
0,0,1713823,7,1711409,0
0,0,381075,237,378301,0
0,0,14845,49,11996,0
0,0,8092,214,5759,0
1,0,13979,199,11352,1
0,0,1053239,111,1050549,0
0,0,15062,87,12438,0
1,0,1100880,196,1098211,1
0,0,8115,173,5269,1
0,0,379418,171,376740,1
0,0,2047179,186,2044399,1
0,0,665447,75,662586,1
0,0,519004,253,516413,0
0,0,1324430,90,1322082,0
0,0,1156973,235,1154469,0
1,0,9580,198,6749,1
0,0,428427,89,425755,0
0,0,1096585,234,1093946,1
0,0,810651,170,808318,0
0,0,12594,152,9967,0
0,0,9089,217,6579,1
1,0,45075,123,42286,0
1,0,1611964,99,1609262,1
0,0,1828534,106,1825916,0
0,0,483376,96,480707,1
0,0,1865809,104,1862957,0
0,0,139709,255,138117,0
0,0,404584,117,402206,0
0,0,1731005,192,1728183,0
0,0,2060220,185,2057611,1
1,0,255561,16,253126,0
0,0,12158,10,9363,1
0,0,21771,85,19363,0
0,0,506933,17,504105,0
0,0,465591,163,462814,0
0,0,292921,245,290183,1
0,0,579976,259,577358,0
0,0,16377,145,13513,1
1,0,199898,35,197364,1
1,0,1633076,188,1630521,0
0,0,602587,42,600077,0
0,0,768058,77,765323,0
0,0,1129346,169,1126764,1
0,0,20976,59,18310,0
0,0,5331,150,2932,0
0,0,204433,64,201761,1
0,0,1825289,189,1822929,0
0,0,700388,14,697620,0
0,0,6553,119,4166,1
0,0,1169591,223,1166769,0
0,0,13678,156,10931,1
0,0,565683,139,563344,1
0,0,262330,243,259847,0
0,0,1251196,182,1248512,0
0,0,1015945,209,1013150,1
0,0,1147282,168,1144757,1
0,0,721934,76,719244,1
1,0,1582479,187,1579936,0
0,0,237391,72,234584,1
0,0,218715,57,215884,1
0,0,11062,4,8450,0
0,0,1570228,98,1568267,1
1,0,308185,67,306188,0
0,0,561205,47,558770,0
0,0,410579,135,407808,0
0,0,57145,58,54284,0
0,0,849988,206,847319,0
0,0,456596,15,453903,1
0,0,60414,227,57859,1
0,0,1007699,207,1005114,1
0,0,7898,9,5274,1
0,0,245264,50,242583,0
0,0,4732,122,2051,0
0,0,21506,60,18858,0
0,0,23129,125,20358,1
0,0,472189,71,469499,0
1,0,1014233,133,1011738,0
0,0,34218,61,31414,0
0,0,2102129,101,2099463,1
0,0,82609,137,79808,1
0,0,1317329,97,1314768,0
1,0,396615,252,394090,1
0,0,585607,83,583331,1
0,0,10603,6,7772,1
0,0,460231,148,457457,1
1,0,276688,211,274223,0
0,0,187696,249,185057,1
0,0,10893,92,8359,1
0,0,4709,30,2067,1
0,0,119436,257,116878,0
0,0,14331,230,11776,1
0,0,1650945,11,1648582,1
0,0,7054,121,4541,0
1,0,476059,149,473501,0
0,0,3590,212,942,1
0,0,1816759,191,1814429,0
0,0,2010450,108,2008033,1
0,0,529696,177,526820,1
0,0,280853,65,278046,0
1,0,436968,246,434224,0
1,0,408724,138,406415,1
0,0,1036042,116,1033382,0
0,0,25731,8,22858,0
0,0,35248,53,32438,0
0,0,2099,2,3,1
1,0,903444,114,900637,0
1,0,559805,147,557001,1
0,0,2171498,184,2169063,1
0,0,817323,79,814468,0
0,0,35322,193,32611,1
0,0,585177,205,582301,0
0,0,41459,219,38613,1
0,0,584285,176,581721,0
0,0,421319,161,418704,0
0,0,16042,110,13142,0
0,0,629809,112,627020,1
0,0,620072,45,617640,1
1,0,86749,154,84020,1
0,0,1115182,220,1112378,0
0,0,546370,48,543824,0
0,0,22835,146,20457,0
0,0,65602,23,62846,0
0,0,321121,172,318503,0
0,0,3099,86,313,1
0,0,2201057,56,2198634,1
1,0,1882048,103,1879670,0
1,0,2065088,100,2062416,0
0,0,8030,144,5538,1
0,0,54570,26,51787,1
0,0,12466,229,9926,1
0,0,1745786,12,1743231,0
0,0,1189938,225,1187140,0
0,0,596823,95,594229,1
0,0,565358,84,563163,1
0,0,935144,130,932427,1
0,0,7331,93,4482,1
0,0,167573,36,164778,1
0,0,191757,113,188965,1
0,0,344245,13,341906,1
0,0,205713,248,202903,1
0,0,546874,142,544250,0
0,0,1851640,105,1848668,0
0,0,468388,69,465485,0
0,0,14547,19,12235,0
0,0,425184,136,422410,0
0,0,249052,73,246272,1
0,0,7271,21,4884,0
0,0,3982,1,1541,0
0,0,21057,155,18763,1
0,0,399549,238,396772,0
0,0,11601,40,9187,0
0,0,175571,94,172800,1
0,0,110238,228,107374,0
0,0,783613,78,780839,0
0,0,8573,215,6039,1
0,0,7513,3,4757,1
0,0,171781,0,169685,1
0,0,221070,140,218443,1
0,0,1484951,183,1482129,1
0,0,880730,132,877992,1
0,0,12861,240,10087,1
0,0,763632,128,761305,0
1,0,1152001,181,1149578,1
0,0,184674,5,182293,0
0,0,194602,250,191840,1
0,0,2180588,55,2178147,1
0,0,17047,37,14579,1
0,0,256062,180,253732,0
0,0,1181628,224,1179322,0
1,0,2776,51,113,1
0,0,950785,131,948302,1
0,0,8596,124,5819,0
0,0,24923,63,22032,0
1,0,42017,201,39222,0
0,0,1200167,195,1197396,0
0,0,696919,74,694046,0
1,0,316755,118,314314,0
0,0,428401,70,425663,0
0,0,388287,239,385492,0
1,0,2113696,54,2111357,0
0,0,272153,66,269451,0
0,0,22052,241,19278,1
0,0,222070,179,219359,0
0,0,775880,129,773208,1
1,0,432436,159,429818,0
0,0,180486,34,177754,1
0,0,11536,32,9554,1
0,0,15093,157,12226,0
