Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,144,10807,1
0,0,6110,101,3849,0
1,0,457048,91,454787,0
0,0,478833,231,476677,0
0,0,16869,153,14662,0
1,0,552888,219,550654,0
0,0,835809,98,833647,0
0,0,3770,51,732,1
1,0,828777,110,827212,1
1,0,9061,56,6806,1
0,0,2776,156,509,0
1,0,76342,180,73994,1
1,0,7765,30,5519,1
0,0,3747,24,1363,1
0,1,692573,71,690150,0
0,0,27924,7,26149,1
0,0,754574,176,752403,0
0,0,1178466,118,1176085,0
1,0,53359,117,52601,1
1,0,96434,222,94266,1
1,0,45480,198,43330,1
0,0,604953,82,602554,0
1,0,5633,13,4134,0
1,0,813661,183,811541,0
0,0,4215,73,1969,1
0,0,480713,39,478230,0
1,0,114439,9,112868,1
0,0,14957,65,12933,0
1,0,356577,108,354673,0
0,0,45278,102,42840,0
1,0,50723,122,48507,1
1,0,562476,174,560179,0
0,0,56175,86,53914,1
1,0,1621,66,2,1
0,0,4679,116,2307,1
0,0,11646,125,9286,1
0,0,487264,96,485114,0
0,0,47037,178,44773,1
0,0,371476,173,369323,0
0,0,477337,11,476408,0
0,0,828692,196,827244,1
1,0,909033,34,906619,0
0,0,1062,3,1,0
1,0,441740,94,439797,1
1,0,81519,12,79698,1
0,0,65232,218,62692,1
0,0,707127,49,704929,0
0,0,76316,29,74154,1
1,0,777368,224,775140,0
0,0,3230,129,921,1
0,0,2056,50,2,1
0,0,4947,47,2638,0
1,0,372955,230,370655,1
0,0,2326647,17,2325364,0
1,0,11060,143,8994,1
0,0,4184,235,1923,1
0,0,59089,42,56687,1
1,0,113111,169,111105,1
0,0,79561,119,77369,1
1,0,1451239,130,1449053,0
0,0,1009290,46,1006993,0
1,0,170211,124,168412,1
0,0,4516,54,3179,1
0,0,611448,113,610807,0
0,0,5046,161,2860,1
1,0,1375691,121,1373202,0
0,0,4025,167,1761,1
0,0,2650,25,386,1
1,0,689616,83,687517,0
1,0,335828,157,333633,1
1,0,1204656,199,1202680,0
1,0,7012,6,5501,1
1,0,2096,147,747,1
0,0,1138,5,2,0
1,0,8253,104,6340,1
1,0,1189025,190,1186812,0
1,0,496899,103,495853,0
0,0,15153,208,12949,1
0,0,1039862,78,1037046,0
0,0,20107,70,17801,1
1,0,799420,225,796943,0
0,0,391932,8,389746,1
0,0,3932,164,1401,0
0,0,914046,64,913312,0
0,0,244454,160,243822,0
0,0,394758,20,393970,0
0,0,574603,171,572120,0
1,0,4883,43,2628,1
1,0,252998,133,250869,0
0,0,2976,166,781,0
0,0,1159648,145,1157084,0
0,0,7454,53,5259,1
1,0,654471,77,652312,1
0,0,2907,37,667,0
0,0,4593,1,2230,1
0,0,1705791,90,1703299,1
1,0,598394,170,596190,0
0,0,2152,10,38,0
0,0,507624,193,505363,0
1,0,459000,175,456733,0
1,0,123424,232,121439,0
1,0,805063,181,803291,0
0,0,3147,44,535,1
0,0,7548,55,5362,0
0,0,11573,111,9210,0
0,0,81116,4,80040,1
0,0,703891,74,701787,0
0,0,351915,202,350539,1
0,0,6111,23,4843,1
1,0,299939,227,297915,1
0,0,115059,162,112891,1
0,0,1036,15,2,1
1,0,763015,84,760970,0
1,0,547726,136,545198,0
0,0,19404,201,17227,0
0,0,53099,223,50910,1
0,0,2191081,89,2188577,1
1,0,52834,185,50840,0
1,0,13918,123,11750,1
1,0,18062,135,16122,1
1,0,62927,151,60651,1
1,0,34512,92,32440,1
0,0,5683,57,3845,0
1,0,1835456,207,1833030,0
0,0,711734,32,710958,0
0,0,482055,114,479794,0
1,0,89110,209,86993,1
0,0,92121,141,90979,1
0,0,7735,187,5258,1
0,0,2352753,132,2351474,0
1,0,5117,217,2943,0
0,0,120751,188,119534,1
0,0,9642,212,7252,0
0,0,28514,112,26043,0
0,0,1699,87,101,1
1,0,3774,18,1570,0
1,0,468090,41,465892,0
1,0,811009,211,808763,0
1,0,619207,205,617003,0
0,0,369971,61,367785,0
1,0,10067,28,8418,1
1,0,1108,163,1,0
0,0,3468,72,1171,0
0,0,1009265,79,1006986,0
0,0,560608,182,558551,0
1,0,961848,155,959689,0
0,0,915393,63,914149,0
0,0,6868,186,4559,1
0,0,50074,191,47909,1
0,0,487691,31,485538,0
1,0,17178,109,14941,1
0,0,669010,134,666635,0
0,0,2335,172,101,1
0,0,798,168,1,1
1,0,1167843,146,1165567,0
0,0,140815,228,140096,1
0,0,3637,165,1680,1
0,0,5471,139,3207,1
0,0,5333,21,3093,1
0,0,59387,95,57738,1
0,0,477141,200,476586,0
0,0,5583,100,3223,0
1,0,20192,204,18165,1
1,0,636865,81,634829,0
0,0,180595,120,178343,0
0,0,827,14,3,0
1,0,122003,229,119982,1
0,0,16433,195,14709,1
1,0,35613,197,33460,1
1,0,16106,75,14127,0
0,0,194620,126,192110,0
0,0,85349,67,84366,1
0,0,303473,216,301437,1
0,0,49973,26,48072,1
0,0,7225,107,4853,0
0,0,3201,60,2560,1
0,0,17152,138,14774,1
0,0,43304,159,40902,1
0,0,52112,105,49749,1
0,0,316113,226,313945,1
0,0,3704,22,1446,1
1,0,12933,115,10912,1
1,0,60946,148,58898,1
1,0,1287,19,1,0
0,0,3133,52,824,1
0,0,23314,236,21104,0
