Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,0,38827,226,1,35924,1
1,0,4679,184,1,1893,0
1,0,308397,303,1,305485,0
1,0,847503,311,1,845194,0
0,0,502030,132,0,499289,0
1,0,79193,79,1,76656,1
1,0,2449,0,1,11,0
0,0,7010,291,0,4233,1
1,0,491613,135,1,488857,1
1,0,21822,316,1,18838,1
1,0,3014,97,1,228,1
0,0,77950,18,0,74987,1
1,0,510295,142,1,507728,1
1,0,7457,214,1,4911,1
1,0,6673,233,1,3815,0
1,0,181574,313,1,180063,1
1,0,625252,229,1,622190,0
1,0,1133115,271,1,1130755,1
1,0,60671,176,1,58218,1
1,0,2940,212,1,73,1
0,0,8383,219,0,7271,0
0,0,17724,293,0,14986,1
1,0,13435,273,1,10745,0
0,0,86361,189,0,83876,1
1,0,225780,80,1,223900,0
1,0,578138,101,1,576360,0
1,0,504140,268,1,500865,0
1,0,636457,213,1,635763,0
1,0,848494,163,1,847454,0
1,0,492362,28,1,490971,0
1,0,236472,223,1,233641,0
0,0,782600,205,0,781197,0
1,0,7188,126,1,4384,0
1,0,8831,112,1,6234,1
0,0,650247,103,0,648161,0
1,0,984,305,1,31,0
1,0,1094,24,1,159,1
0,0,24358,274,0,21590,0
0,0,1225,53,0,1,1
1,0,628999,144,1,626735,0
1,0,13990,117,1,11384,1
1,0,28068,65,1,25282,1
1,0,3158,255,1,408,1
1,0,2351295,265,1,2348338,0
0,0,9939,57,0,8926,0
0,0,65081,86,0,62292,1
1,0,9052,247,1,7148,1
0,0,811998,312,0,810235,0
1,0,4342,84,1,1385,1
1,0,3790,210,1,806,0
1,0,1721524,40,1,1718519,1
0,0,2010044,11,0,2009265,0
0,0,4119,42,0,967,1
1,0,1008775,190,1,1006142,0
0,0,66235,248,0,64469,1
1,0,654938,253,1,652152,0
1,0,8756,146,1,5919,1
0,0,4216,134,0,1460,1
1,0,430057,186,1,427406,0
0,0,1137976,138,0,1133828,0
0,0,1204,128,0,2,0
0,0,8397,16,0,5578,1
0,0,779582,204,0,776703,0
1,0,976,21,1,2,1
