Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,0,1,0
0,0,30308,53,0,27168,1
1,0,56857,122,1,54575,1
0,0,763,10,0,5,0
0,0,703218,19,0,701626,0
1,0,5286,82,1,4336,1
1,0,93861,100,1,92599,1
0,0,716461,49,0,713525,0
0,0,581462,112,0,578019,0
0,0,212280,148,0,211864,0
1,0,38881,133,1,36347,0
0,0,297517,81,0,294389,0
1,0,81368,21,1,80808,1
0,0,720,141,0,1,1
0,0,666404,22,0,665952,0
1,0,30302,0,1,29316,1
1,0,5807,131,1,3882,1
1,0,118859,98,1,115842,1
0,0,9728,42,0,6585,0
0,0,12029,47,0,11478,0
0,0,315827,126,0,312663,0
1,0,4234,78,1,3116,1
1,0,99546,110,1,97369,0
1,0,32123,59,1,29739,1
1,0,929052,124,1,925927,0
0,0,4123,90,0,1628,1
0,0,116617,56,0,113450,0
1,0,8113,65,1,5945,0
0,0,4229,138,0,1371,1
0,0,33235,7,0,30782,1
0,0,1206,16,0,1,0
1,0,789292,97,1,788021,0
1,0,53098,127,1,49949,1
1,0,99066,113,1,97825,1
0,0,318588,153,0,315535,0
0,0,1289,11,0,3,0
0,0,546,143,0,1,1
1,0,383983,5,1,383429,1
1,0,213521,149,1,212382,0
1,0,57661,44,1,55166,1
1,0,74545,151,1,72053,1
1,0,8781,28,1,5653,0
0,0,599,1,0,3,0
0,0,81855,146,0,78709,1
1,0,341238,29,1,338959,1
0,0,227216,79,0,225387,0
1,0,5181,105,1,4192,0
1,0,99079,54,1,97820,1
0,0,35758,6,0,35156,1
1,0,46653,88,1,44743,1
0,0,521345,25,0,518232,0
0,1,54155,58,0,50976,1
1,0,96937,121,1,96035,1
0,0,1771,20,0,5,0
0,0,9252,128,0,7177,0
0,0,1005,18,0,1,1
1,0,573456,48,1,572590,0
0,0,632799,51,0,629461,0
1,0,1017672,50,1,1015075,0
0,0,1291,14,0,11,1
0,0,55385,130,0,52233,1
1,0,6751,106,1,5450,0
1,0,3425,119,1,855,1
0,0,68231,99,0,65097,1
0,0,750258,9,0,748432,0
0,0,153763,103,0,151067,1
0,0,307836,152,0,304756,0
0,0,13944,63,0,11467,1
0,0,43791,72,0,40663,1
1,0,100486,55,1,98009,0
0,0,1126783,132,0,1124243,1
0,0,4790,125,0,1644,1
0,0,304,129,0,2,0
0,0,30678,115,0,29548,1
0,0,642289,108,0,639173,0
0,0,40231,111,0,38468,1
0,0,704,15,0,18,1
1,0,701522,70,1,698580,0
0,0,33620,87,0,30504,1
1,0,673825,84,1,670661,0
1,0,782421,64,1,781378,0
0,0,100844,35,0,99663,0
1,0,506465,73,1,504186,1
0,0,559272,83,0,556483,0
0,0,4270,38,0,1799,1
1,0,673601,76,1,670680,0
0,0,429068,85,0,425925,0
0,0,484,140,0,2,1
1,0,7065,69,1,6076,1
0,0,506906,101,0,503742,0
1,0,28960,2,1,27503,1
1,0,1651,95,1,830,1
0,0,302755,61,0,301802,0
0,0,1330,12,0,2,0
1,0,492209,24,1,489726,0
0,0,704396,17,0,703461,0
1,0,7840,68,1,6842,1
0,0,24175,39,0,21059,1
1,0,1482,107,1,1,0
1,0,3560,33,1,861,0
0,0,40333,120,0,37199,1
0,0,6322,46,0,3197,1
1,0,694715,135,1,691713,0
1,0,201983,147,1,197949,0
1,0,232598,155,1,230508,0
0,0,52289,86,0,48939,1
1,0,796646,62,1,794730,0
1,0,762911,104,1,760413,0
1,0,1815,94,1,1,0
0,0,11460,144,0,9091,1
1,0,767496,96,1,766105,0
1,0,341160,156,1,338881,1
0,0,135805,157,0,132644,0
0,0,326955,34,0,323962,0
1,0,2735,80,1,246,1
1,0,4884,52,1,1753,1
0,0,562767,60,0,559651,0
0,0,720169,30,0,717008,0
0,0,11360,92,0,8184,1
0,0,1011,8,0,1,0
0,0,7732,66,0,4595,0
0,0,696,116,0,1,0
1,0,552643,118,1,550361,1
0,0,225838,93,0,222980,0
0,0,5115,57,0,2545,1
0,0,296392,26,0,293633,0
1,0,36371,142,1,34218,1
0,0,220362,117,0,217744,0
1,0,532553,154,1,531252,0
0,0,772874,150,0,769737,0
1,0,638513,74,1,636579,0
1,0,685611,71,1,683131,0
1,0,40751,43,1,38379,1
0,0,5438,139,0,3198,1
0,0,8449,123,0,5315,1
0,0,37772,136,0,34755,1
1,0,11809,40,1,9641,0
1,0,8362,134,1,5834,0
0,0,96112,114,0,92984,1
1,0,6579,67,1,5257,1
1,0,16287,37,1,13156,1
1,0,371763,4,1,371065,1
0,0,3141,91,0,982,1
1,0,5564,41,1,2433,1
0,0,567659,27,0,567123,0
0,0,634208,32,0,633441,0
0,0,34862,89,0,34431,1
1,0,742903,102,1,741965,0
1,0,11203,45,1,8075,1
1,0,12199,145,1,10430,0
1,0,631461,75,1,630235,0
0,0,2165,137,0,1,1
1,0,676357,31,1,675068,0
0,0,46094,77,0,43491,1
1,0,301337,23,1,298548,1
0,0,48145,3,0,47690,1
0,0,11508,109,0,8902,1
0,0,1015710,36,0,1014604,0
