GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,2,12909,140,111,10807,1,1
0,121,6110,98,99,3849,1,0
1,41,457048,88,9,454787,0,0
0,136,478833,231,6,476677,1,0
0,90,16869,149,114,14662,1,0
1,50,552888,219,15,550654,0,0
0,96,835809,94,28,833647,1,0
0,121,4603,49,87,2336,1,0
1,11,1069200,209,45,1067095,0,0
0,94,2907,36,71,667,1,0
0,42,2776,152,115,509,1,0
1,30,76342,177,33,73994,0,1
1,109,1167843,142,41,1165567,0,0
0,30,1026,4,69,22,3,1
0,89,692573,69,19,690150,1,0
0,88,27924,7,17,26149,3,1
0,0,754574,173,26,752403,1,0
1,51,1157625,115,42,1155433,0,0
1,37,12933,111,39,10912,0,1
1,25,96434,222,5,94266,0,1
1,24,45480,195,120,43330,0,1
0,66,604953,80,20,602554,1,0
0,53,2152,10,59,38,1,0
1,110,763015,83,37,760970,0,0
0,49,4215,71,19,1969,1,1
0,87,480713,38,4,478230,1,0
1,67,114439,9,3,112868,0,1
0,38,3201,59,73,2560,2,1
1,125,61722,221,51,61057,0,1
0,21,45278,99,18,42840,1,0
1,56,50723,119,104,48507,0,1
1,69,562476,171,10,560179,0,0
0,31,56175,84,5,53914,1,1
0,121,1518,58,93,1,3,1
0,114,1009290,45,38,1006993,1,0
0,121,11646,122,105,9286,1,1
0,71,487264,92,17,485114,1,0
0,1,47037,175,118,44773,1,1
0,21,371476,170,18,369323,1,0
0,131,477337,11,9,476408,3,0
0,104,1835184,67,46,1832923,1,0
1,37,53359,113,39,52601,0,1
1,5,1287,19,68,1,0,0
1,12,441740,90,29,439797,0,1
1,7,81519,12,5,79698,0,1
0,112,71686,213,49,69566,1,1
0,116,707127,48,23,704929,1,0
0,59,65232,218,50,62692,1,1
1,111,777368,224,31,775140,0,0
0,55,3230,126,22,921,1,1
0,121,1669,47,86,2,3,1
0,100,5540,44,84,3963,2,1
1,12,372955,230,29,370655,0,1
0,128,2191081,87,52,2188577,1,1
1,65,11060,139,31,8994,0,1
0,120,4184,235,35,1923,1,1
0,93,43304,155,55,40902,1,1
1,50,113111,165,15,111105,0,1
0,86,59089,41,55,56687,1,1
1,74,1189025,188,50,1186812,0,0
1,44,805063,178,38,803291,0,0
1,23,1835456,204,47,1833030,0,0
0,121,7454,52,89,5259,1,1
0,95,611448,109,10,610807,2,0
0,106,5046,157,116,2860,1,1
1,16,1204656,196,44,1202680,0,0
0,16,4025,163,16,1761,1,1
0,42,2650,24,34,386,1,1
1,19,560447,97,52,558669,0,1
1,9,335828,153,29,333633,0,1
1,64,480279,203,44,478171,0,0
1,65,7012,6,31,5501,0,1
1,115,2096,143,112,747,0,1
0,121,1138,5,106,2,3,0
1,39,1116077,150,40,1113876,0,0
