Gene_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,12909,143,10807,1
0,6110,100,3849,0
1,457048,90,454787,0
0,478833,231,476677,0
0,16869,152,14662,0
1,552888,219,550654,0
0,835809,97,833647,0
0,3770,49,732,1
1,828777,109,827212,1
1,9061,54,6806,1
0,2776,155,509,0
1,76342,180,73994,1
1,1167843,145,1165567,0
0,3747,24,1363,1
0,692573,69,690150,0
0,27924,7,26149,1
0,754574,176,752403,0
1,1157625,117,1155433,0
1,12933,114,10912,1
1,96434,222,94266,1
1,45480,198,43330,1
0,604953,80,602554,0
1,5633,13,4134,0
1,763015,83,760970,0
0,4215,71,1969,1
0,480713,37,478230,0
1,114439,9,112868,1
0,14957,63,12933,0
1,356577,107,354673,0
0,45278,101,42840,0
1,50723,121,48507,1
1,562476,174,560179,0
0,56175,85,53914,1
1,1621,64,2,1
0,1009290,44,1006993,0
0,11646,124,9286,1
0,487264,95,485114,0
0,47037,178,44773,1
0,371476,173,369323,0
0,477337,11,476408,0
0,828692,196,827244,1
1,53359,116,52601,1
0,1062,3,1,0
1,441740,93,439797,1
1,81519,12,79698,1
0,65232,218,62692,1
0,707127,47,704929,0
0,76316,29,74154,1
1,777368,224,775140,0
0,3230,128,921,1
0,2056,48,2,1
0,4947,45,2638,0
1,372955,230,370655,1
0,2326647,17,2325364,0
1,11060,142,8994,1
0,4184,235,1923,1
0,59089,40,56687,1
1,113111,168,111105,1
0,79561,118,77369,1
1,1451239,129,1449053,0
1,805063,181,803291,0
1,170211,123,168412,1
0,4516,52,3179,1
0,611448,112,610807,0
0,5046,160,2860,1
1,1375691,120,1373202,0
0,4025,166,1761,1
0,2650,25,386,1
1,689616,82,687517,0
1,335828,156,333633,1
1,1204656,199,1202680,0
1,7012,6,5501,1
1,2096,146,747,1
0,1138,5,2,0
1,1116077,153,1113876,0
1,1189025,190,1186812,0
1,496899,102,495853,0
0,15153,208,12949,1
0,1027491,76,1024990,0
0,20107,68,17801,1
1,799420,225,796943,0
0,391932,8,389746,1
0,3932,163,1401,0
0,914046,62,913312,0
0,244454,159,243822,0
0,394758,20,393970,0
0,574603,171,572120,0
1,4883,41,2628,1
1,252998,132,250869,0
0,2976,165,781,0
1,92964,94,90784,1
0,7454,51,5259,1
1,654471,75,652312,1
0,2907,35,667,0
0,4593,1,2230,1
0,1705791,89,1703299,1
1,598394,170,596190,0
0,2152,10,38,0
0,507624,193,505363,0
1,459000,175,456733,0
1,123424,232,121439,0
0,53099,223,50910,1
0,3147,42,535,1
0,7548,53,5362,0
0,11573,110,9210,0
0,81116,4,80040,1
0,703891,72,701787,0
0,351915,202,350539,1
0,6111,23,4843,1
1,299939,227,297915,1
0,115059,161,112891,1
0,1036,15,2,1
0,28523,81,26538,1
1,547726,135,545198,0
0,19404,201,17227,0
0,1039862,77,1037046,0
0,2191081,88,2188577,1
1,52834,185,50840,0
1,13918,122,11750,1
1,18062,134,16122,1
1,62927,150,60651,1
1,34512,91,32440,1
0,5683,55,3845,0
1,1835456,207,1833030,0
0,711734,31,710958,0
0,482055,113,479794,0
1,89110,209,86993,1
0,71096,139,68619,1
0,7735,187,5258,1
0,2352753,131,2351474,0
1,5117,217,2943,0
0,120751,188,119534,1
0,9642,212,7252,0
0,28514,111,26043,0
0,1699,86,101,1
1,3774,18,1570,0
1,468090,39,465892,0
1,811009,211,808763,0
1,619207,205,617003,0
0,369971,59,367785,0
1,10067,28,8418,1
1,1108,162,1,0
0,3468,70,1171,0
1,813661,183,811541,0
0,560608,182,558551,0
1,961848,154,959689,0
0,915393,61,914149,0
0,6868,186,4559,1
0,50074,191,47909,1
0,487691,30,485538,0
1,17178,108,14941,1
0,669010,133,666635,0
0,2335,172,101,1
0,798,167,1,1
0,1159648,144,1157084,0
0,140815,228,140096,1
0,3637,164,1680,1
0,5471,138,3207,1
0,5333,21,3093,1
1,8253,103,6340,1
0,477141,200,476586,0
0,5583,99,3223,0
1,20192,204,18165,1
1,636865,79,634829,0
0,180595,119,178343,0
0,827,14,3,0
1,122003,229,119982,1
0,16433,195,14709,1
1,35613,197,33460,1
1,16106,73,14127,0
0,194620,125,192110,0
0,85349,65,84366,1
0,303473,216,301437,1
0,49973,26,48072,1
0,7225,106,4853,0
0,3201,58,2560,1
0,17152,137,14774,1
0,43304,158,40902,1
0,52112,104,49749,1
0,316113,226,313945,1
0,3704,22,1446,1
0,4679,115,2307,1
1,60946,147,58898,1
1,1287,19,1,0
0,3133,50,824,1
0,23314,236,21104,0
0,763294,177,761027,0
1,411395,36,410220,0
1,51771,234,49540,1
1,469090,33,466913,0
0,909502,74,907241,0
0,68193,148,66007,1
0,315631,215,313523,1
1,480279,206,478171,0
1,609383,78,607077,0
0,377705,98,375522,0
0,400277,27,398004,0
0,702444,213,701878,0
1,369509,60,367296,1
0,5540,43,3963,1
0,526037,38,525222,0
0,57522,126,55348,1
1,28472,221,26358,1
1,3258,210,754,1
0,66424,233,64094,1
1,16197,179,13717,1
0,1669,46,2,1
1,399311,92,397290,0
0,646569,184,644707,0
1,27218,67,24993,1
0,2152465,192,2150273,0
1,5726,0,3723,0
1,1909430,130,1907460,1
0,1835184,66,1832923,0
0,27070,141,24536,1
0,311650,214,309482,1
0,6765,194,4204,1
0,1518,57,1,1
1,477984,151,475453,0
1,19107,105,16912,1
1,2336,149,3,1
1,468765,84,466540,0
0,4334,96,1968,1
1,1028709,169,1026565,0
1,224206,203,222371,1
0,92121,140,90979,1
1,731499,32,729406,0
0,7491,127,5182,1
0,1333,16,3,0
0,14203,56,11819,1
0,1475,2,3,0
0,471716,220,470270,0
0,2123600,87,2121408,0
1,669243,189,667156,0
0,18709,34,16532,1
