Gene_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,6912,12,4054,1
0,152656,69,149750,0
0,3512,38,570,1
1,2374,41,2,0
0,595601,33,591036,1
0,478366,53,476669,1
0,623307,61,621664,0
0,2321780,59,2320431,0
1,2321637,23,2320534,0
0,613086,34,611617,1
1,5459,13,369,1
1,85207,70,81746,1
1,6009,71,1594,1
0,241168,58,239609,0
0,10189,66,8723,0
0,12357,15,7624,1
1,48747,74,45235,1
1,166284,40,162214,0
0,2470,32,2,0
0,39716,22,38265,1
0,585395,44,582072,0
0,1879,4,2,1
0,685088,7,683411,0
0,187784,10,184617,1
0,3165,35,1,1
1,467386,67,461438,1
1,2326,14,2,0
0,463665,37,460870,0
0,769652,6,767703,0
1,576641,68,572922,0
0,219070,18,217661,0
1,1251315,39,1250056,1
0,14382,52,9970,1
1,31870,54,22712,1
0,574606,45,573398,0
0,2053,48,2,0
1,13747,20,12191,1
1,6974,51,1995,1
0,1537,1,2,1
0,1556,2,3,1
0,1997,5,1,0
0,26175,25,23011,1
1,375450,17,373273,0
1,11280,9,2713,1
0,72487,43,68564,1
0,3322,11,2,0
0,2309,31,3,0
0,5982,0,4234,1
0,4784,27,3,0
0,1059473,73,1058121,0
0,2868,26,1600,1
0,348754,57,344585,1
0,4686,63,1,1
0,24031,24,21731,1
1,513352,29,509741,1
0,4676,65,3,0
0,1271,28,3,0
1,8695,49,5075,0
0,2498,42,3,0
1,1119042,64,1112740,1
1,304737,75,299488,1
0,78154,46,73799,1
0,37338,36,35617,1
0,35785,3,34078,1
0,89064,47,84641,1
0,50380,8,48473,1
0,5803,62,896,1
0,4720,21,2,0
0,4039,60,1,1
0,2312,50,2,0
0,22057,55,19652,1
0,5221,30,2141,1
1,4653,16,1,0
1,72456,19,65872,1
0,2190,72,1,0
0,21673,56,20189,1
