RACE_DESCRIPTION,GENERAL_CLASSIFICATION_WINNER,PRO_CYCLING_STATS_RACE_ID,EDITION_NUMBER,START_LOCATION,RACE_NAME,RACE_WINNER,NEXT_RACE,PREVIOUS_RACE
3,6,219156.0,8.0,39,31,7,31,24
3,29,,8.0,27,59,28,57,54
3,3,264743.0,2.0,34,53,4,45,37
3,4,255487.0,7.0,36,46,5,48,43
3,11,,9.0,22,71,12,69,66
3,9,,5.0,18,54,10,52,49
3,6,,24.0,7,3,7,3,1
3,13,219542.0,32.0,15,32,14,33,28
0,3,,15.0,16,61,4,59,56
3,1,,10.0,16,60,2,58,55
3,1,248761.0,60.0,24,36,2,38,34
3,18,,7.0,27,58,18,56,53
3,4,,9.0,33,35,5,36,31
3,14,,5.0,44,66,15,64,61
3,22,173779.0,4.0,21,15,21,18,12
3,3,179706.0,24.0,3,19,4,23,16
3,7,,9.0,40,65,8,63,60
3,28,172784.0,6.0,33,16,27,19,13
3,17,,13.0,29,13,17,13,10
3,6,,11.0,5,64,7,62,59
3,6,259884.0,10.0,1,43,7,41,41
3,22,123981.0,16.0,23,55,21,53,50
3,17,,8.0,22,70,17,68,65
3,1,254560.0,27.0,24,37,2,39,35
3,22,,7.0,22,69,21,67,64
8,6,210851.0,,43,22,0,15,52
3,6,123944.0,2.0,14,4,7,4,2
3,22,,8.0,44,68,21,66,63
3,2,,21.0,7,0,3,0,0
3,5,,38.0,26,6,6,6,4
3,6,171439.0,1.0,32,12,7,11,52
3,0,119286.0,1.0,14,2,1,2,52
5,16,247356.0,6.0,41,52,17,35,33
3,10,,1.0,9,1,11,1,52
3,5,268718.0,2.0,11,49,6,50,46
3,6,,6.0,19,11,7,12,9
3,6,268485.0,28.0,25,47,7,49,44
8,15,211273.0,,31,24,12,17,26
3,20,290145.0,4.0,11,51,20,55,48
8,21,211098.0,,30,23,15,16,25
3,3,173841.0,20.0,45,14,4,14,11
3,1,180831.0,15.0,29,29,2,29,22
7,5,247258.0,,20,34,29,32,52
3,16,178357.0,30.0,15,18,16,22,15
3,24,219216.0,16.0,29,33,23,34,29
9,15,216723.0,,4,26,0,20,52
3,6,272201.0,29.0,48,50,7,51,47
3,23,,6.0,42,41,22,43,39
3,12,173372.0,4.0,10,17,13,21,14
3,16,206591.0,31.0,35,28,16,28,21
3,1,180670.0,4.0,36,27,2,27,20
2,3,255591.0,9.0,46,40,4,42,38
8,27,211325.0,,28,25,26,55,27
3,8,,14.0,12,8,9,8,6
3,6,271628.0,11.0,37,48,7,55,45
1,6,213194.0,3.0,17,21,7,25,18
3,24,219102.0,13.0,22,72,23,70,67
3,4,256573.0,23.0,13,45,5,47,30
3,4,,19.0,38,10,5,10,8
3,17,151323.0,40.0,26,9,17,9,7
3,25,,2.0,27,62,24,60,57
3,3,181879.0,21.0,0,20,4,24,17
3,26,139168.0,17.0,23,56,25,54,51
3,22,,6.0,5,63,21,61,58
3,3,,6.0,44,67,4,65,62
3,6,,6.0,42,42,7,44,40
4,17,247182.0,4.0,2,38,17,40,32
10,20,,9.0,8,44,20,46,42
3,6,139167.0,11.0,29,7,7,7,5
3,3,209053.0,25.0,47,30,4,30,23
3,19,247155.0,3.0,6,39,19,37,36
3,22,123966.0,10.0,29,5,21,5,3
6,1,180986.0,2.0,2,57,2,26,19
