StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,EncodedProtein,GeneDbId,OrthologousGene,GenomicEndPosition
0,0,154221,2,154,7,154,58,155219
0,1,433053,16,127,2,127,24,434666
1,0,1493559,22,35,5,35,36,1494962
1,0,830434,21,12,17,12,37,831522
0,0,9590,33,112,17,112,58,10687
1,0,1085297,22,111,12,111,21,1086604
0,0,32737,30,48,17,48,65,33930
0,0,339975,4,73,1,73,10,340376
0,0,564966,8,33,20,33,16,566165
0,1,5433,28,30,2,30,25,6500
1,1,495068,10,95,2,95,58,496522
0,0,446896,16,2,0,2,68,447552
0,1,1458433,22,36,2,36,44,1459767
0,0,405798,18,7,1,7,75,405983
0,0,422017,22,145,19,145,19,423600
1,0,1107152,22,110,25,110,53,1108489
0,0,615924,5,56,25,56,72,617159
0,0,1398122,22,107,16,107,15,1398991
0,1,2247,34,21,2,21,35,3182
0,1,552229,12,92,2,92,54,553803
1,0,532,31,82,0,82,8,1359
0,1,492284,9,55,2,55,22,492874
0,0,511070,6,152,21,152,2,512575
1,0,1687962,20,40,24,40,81,1689293
1,0,3,25,4,1,4,62,485
0,1,452175,10,96,2,96,58,452810
1,0,67296,48,136,19,136,76,68405
0,0,1001194,21,88,17,88,4,1002291
1,0,525035,5,149,25,149,77,526360
1,0,1879185,22,42,16,42,53,1880588
0,0,1933010,22,5,1,5,15,1933792
1,0,1071,44,74,19,74,4,2480
1,0,437293,1,97,0,97,76,437973
1,0,208193,11,49,4,49,17,209311
1,1,1070148,21,143,2,143,61,1071422
1,1,1777100,22,124,27,124,26,1778404
0,0,14641,26,10,19,10,66,15753
0,0,579490,8,34,25,34,47,580857
1,1,9307,46,94,2,94,37,10644
0,0,366097,5,148,0,148,46,367224
1,0,1246854,22,61,15,61,5,1248251
0,0,1497708,20,117,21,117,31,1499180
1,0,624868,7,38,17,38,32,626028
0,0,289018,4,72,23,72,57,290343
1,0,1116176,22,109,12,109,21,1117420
0,0,393862,23,90,10,90,34,395265
0,0,41221,3,101,17,101,13,42426
1,0,531106,5,150,25,150,60,532332
0,0,1740772,21,15,11,15,83,1741983
1,0,522770,1,115,25,115,76,523945
1,0,599905,7,114,17,114,78,601068
0,0,149964,48,138,19,138,76,151073
1,0,1651012,22,44,17,44,5,1651899
0,0,918156,21,85,12,85,56,919364
0,0,1604628,22,45,12,45,5,1605950
0,0,226948,4,116,17,116,28,228042
0,0,431189,15,6,19,6,71,432268
0,0,986558,21,87,0,87,83,987463
0,0,1732098,22,126,23,126,53,1733432
0,0,209817,0,153,5,153,1,211061
0,1,17596,38,26,2,26,73,18783
0,1,63997,40,29,2,29,27,65502
1,0,753767,17,52,26,52,59,754771
1,1,1803316,21,70,2,70,20,1804221
0,0,207000,16,57,0,57,83,207419
