StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,EncodedProtein,GeneDbId,OrthologousGene,GenomicEndPosition
0,0,1711409,28,9,2,9,86,1713823
1,1,29866,4,98,1,98,116,32772
1,0,371611,5,30,2,30,26,373899
1,0,719244,23,76,2,76,34,721934
0,0,425755,20,89,3,89,83,428427
1,0,1514173,30,44,2,44,62,1516533
0,0,462814,15,161,2,161,112,465591
1,0,51578,56,33,2,33,46,54199
1,1,949273,23,116,1,116,39,952113
1,0,1060310,29,234,2,234,85,1062895
1,1,197364,19,37,1,37,93,199898
0,0,402206,21,118,2,118,92,404584
0,0,470631,23,202,3,202,122,473501
0,0,243767,19,88,2,88,4,246580
0,0,30969,42,28,2,28,56,33755
0,0,353552,6,244,2,244,116,355891
1,0,990858,30,45,2,45,62,993191
1,1,1098211,23,194,1,194,39,1100880
0,1,1120611,24,221,1,221,94,1123469
0,0,1158613,30,166,2,166,111,1161129
1,1,30248,83,216,1,216,114,32977
1,0,30843,53,27,2,27,98,33431
0,0,182293,12,6,2,6,95,184674
1,0,1755496,30,188,2,188,33,1757922
0,0,550610,1,173,3,173,66,553480
0,0,13502,54,31,2,31,46,16153
1,0,290183,6,245,2,245,119,292921
0,0,253732,5,178,2,178,121,256062
0,0,22811,59,51,2,51,98,25495
1,0,6085,76,195,2,195,29,8691
1,0,177890,11,213,2,213,44,180436
1,0,12538,80,212,2,212,6,15222
0,0,847319,23,205,2,205,80,849988
1,0,1963551,29,103,2,103,40,1966199
0,0,544250,15,142,2,142,105,546874
0,0,1022305,29,233,2,233,85,1024944
0,0,516413,7,251,2,251,75,519004
0,0,1173581,30,165,2,165,104,1176004
1,0,79808,19,137,3,137,42,82609
0,1,314314,24,119,1,119,94,316755
0,0,733043,29,128,2,128,74,735391
1,0,480707,24,97,2,97,107,483376
0,0,1311887,30,91,2,91,111,1314205
1,0,1013150,23,209,2,209,72,1015945
1,0,201761,14,64,2,64,45,204433
1,0,1797939,29,108,2,108,74,1800605
1,0,122370,4,82,2,82,47,125132
0,1,14982,51,23,1,23,65,17633
0,0,1423,67,121,2,121,68,4209
0,0,185287,5,232,2,232,37,187941
0,0,1032837,25,59,2,59,50,1035713
0,0,422410,16,135,2,135,54,425184
0,0,510834,15,257,3,257,82,513629
1,0,566338,30,172,2,172,2,568671
0,0,1112378,24,220,2,220,78,1115182
0,1,429818,15,158,1,158,62,432436
1,0,215884,17,56,2,56,71,218715
1,1,84020,3,152,1,152,69,86749
0,1,393418,19,71,1,71,93,396102
0,1,104540,2,254,1,254,73,107074
0,0,620053,29,43,2,43,8,622377
0,1,387120,15,163,1,163,126,389747
0,0,419294,17,200,2,200,32,422008
0,0,1063010,25,198,2,198,110,1065877
0,0,375975,15,162,2,162,87,378614
0,0,306937,5,110,2,110,121,309384
1,0,583331,6,83,2,83,119,585607
0,0,4697,49,21,2,21,46,7162
1,0,647633,14,41,3,41,38,650434
1,0,20606,48,218,2,218,74,23290
0,0,7462,61,62,2,62,98,9867
1,1,439932,23,201,1,201,48,442799
1,0,1692543,28,8,2,8,41,1695278
0,0,697620,15,16,2,16,106,700388
0,0,11996,58,48,3,48,51,14845
0,0,5759,81,214,2,214,43,8092
1,1,11352,78,197,1,197,0,13979
0,0,1042786,23,208,3,208,72,1045611
