Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,1713823,11,11,2,1711409
1,32772,101,101,1,29866
1,373899,33,33,2,371611
1,721934,79,79,2,719244
0,428427,92,92,3,425755
0,1324430,93,93,2,1322082
0,465591,162,162,2,462814
1,11536,37,37,2,9554
1,952113,118,118,1,949273
0,1024944,233,233,2,1022305
1,199898,40,40,1,197364
0,404584,120,120,2,402206
0,473501,202,202,3,470631
0,246580,91,91,2,243767
1,6135,20,20,2,3451
0,355891,244,244,2,353552
0,602339,48,48,2,600009
1,1100880,194,194,1,1098211
0,1123469,221,221,1,1120611
1,1147282,168,168,2,1144757
1,32977,216,216,1,30248
0,65602,29,29,2,62846
0,184674,8,8,2,182293
1,1516533,47,47,2,1514173
0,553480,173,173,3,550610
1,33431,30,30,2,30843
1,292921,245,245,2,290183
0,256062,178,178,2,253732
0,25495,54,54,2,22811
1,8691,195,195,2,6085
1,180436,213,213,2,177890
1,15222,212,212,2,12538
0,849988,205,205,2,847319
1,1919214,107,107,2,1916677
0,546874,143,143,2,544250
0,1014233,136,136,1,1011738
0,519004,251,251,2,516413
0,1161129,167,167,2,1158613
1,82609,139,139,3,79808
0,316755,121,121,1,314314
0,622377,45,45,2,620053
1,483376,100,100,2,480707
0,1176004,166,166,2,1173581
1,1015945,209,209,2,1013150
1,204433,67,67,2,201761
0,1745786,15,15,2,1743231
1,125132,85,85,2,122370
0,7271,27,27,2,4884
0,4209,123,123,2,1423
0,187941,232,232,2,185287
0,1035713,62,62,2,1032837
0,425184,137,137,2,422410
0,513629,257,257,3,510834
1,565358,87,87,2,563163
0,1115182,220,220,2,1112378
0,432436,159,159,1,429818
1,218715,59,59,2,215884
1,86749,153,153,1,84020
0,396102,74,74,1,393418
0,107074,254,254,1,104540
0,602587,46,46,2,600077
0,389747,164,164,1,387120
0,422008,200,200,2,419294
0,1065877,198,198,2,1063010
0,378614,163,163,2,375975
0,309384,112,112,2,306937
1,585607,86,86,2,583331
1,23290,218,218,2,20606
1,650434,44,44,3,647633
1,8115,172,172,3,5269
0,9867,65,65,2,7462
1,442799,201,201,1,439932
1,1695278,10,10,2,1692543
0,700388,17,17,2,697620
0,14845,51,51,3,11996
0,8092,214,214,2,5759
1,13979,197,197,1,11352
0,1045611,208,208,3,1042786
0,15062,90,90,2,12438
0,1061168,114,114,4,1059124
1,7331,96,96,3,4482
1,10893,95,95,2,8359
1,1966199,106,106,2,1963551
0,585177,204,204,3,582301
0,475012,142,142,2,472298
0,1314205,94,94,2,1311887
1,1096585,235,235,2,1093946
1,9580,196,196,1,6749
1,50888,152,152,2,48174
1,1062895,234,234,2,1060310
0,758419,49,49,2,756089
0,12594,151,151,2,9967
1,9089,217,217,2,6579
0,45075,126,126,1,42286
1,1578209,103,103,1,1575672
0,1818146,111,111,2,1815771
0,466038,176,176,2,463714
0,1851640,109,109,2,1848668
0,139709,253,253,2,138117
0,290907,119,119,1,288478
1,1171520,43,43,2,1169280
1,2047179,184,184,2,2044399
0,800723,165,165,2,798375
1,7898,13,13,2,5274
0,21771,88,88,2,19363
0,488327,203,203,3,485541
0,454333,158,158,2,451748
0,262330,243,243,2,259847
0,568854,259,259,2,566233
1,16377,145,145,2,13513
1,180486,39,39,2,177754
0,1596686,185,185,2,1594209
0,301826,242,242,2,299487
0,736453,83,83,3,733583
0,1006971,2,2,5,1005142
1,34183,42,42,1,31349
0,5331,150,150,2,2932
1,629809,115,115,3,627020
0,1816759,189,189,2,1814429
0,590672,258,258,1,588504
1,6553,122,122,2,4166
0,1152306,222,222,2,1149583
1,13678,156,156,2,10931
0,468388,72,72,3,465485
0,476059,149,149,1,473501
1,1152001,179,179,1,1149578
1,1007699,206,206,2,1005114
1,1129346,169,169,2,1126764
0,696919,77,77,2,694046
0,1156973,236,236,2,1154469
1,221070,141,141,2,218443
0,463778,84,84,2,460986
1,7513,6,6,2,4757
1,1553361,181,181,2,1550629
0,280853,68,68,2,278046
0,546370,50,50,2,543824
0,399549,238,238,2,396772
0,20976,61,61,2,18310
0,817323,82,82,2,814468
0,408107,19,19,1,405750
1,60414,227,227,2,57859
1,988200,207,207,2,985546
0,25731,12,12,3,22858
0,245264,52,52,2,242583
0,4732,125,125,2,2051
0,21506,63,63,2,18858
1,23129,128,128,3,20358
0,428401,73,73,2,425663
1,950785,134,134,2,948302
0,34218,64,64,2,31414
0,2065088,104,104,1,2062416
0,15093,157,157,3,12226
0,1251196,180,180,2,1248512
1,352788,249,249,2,350182
1,565683,140,140,2,563344
0,11062,7,7,2,8450
1,212927,0,0,5,211077
0,1200167,193,193,2,1197396
0,652210,99,99,2,649424
1,2201057,58,58,2,2198634
0,16153,34,34,2,13502
0,119436,255,255,2,116878
1,14331,230,230,2,11776
0,1633076,186,186,1,1630521
0,7054,124,124,2,4541
1,456596,18,18,2,453903
1,3590,211,211,2,942
1,1757922,188,188,2,1755496
0,1984371,187,187,2,1981915
1,529696,175,175,2,526820
0,272153,69,69,2,269451
1,423886,70,70,2,421607
1,379418,170,170,2,376740
0,1189938,225,225,2,1187140
1,10603,9,9,3,7772
0,35248,55,55,2,32438
0,3982,4,4,2,1541
0,867065,117,117,2,864531
1,460231,148,148,2,457457
0,2113696,56,56,1,2111357
0,783613,81,81,2,780839
1,35322,191,191,2,32611
0,506933,23,23,3,504105
1,41459,219,219,3,38613
0,584285,174,174,0,581721
0,404953,161,161,2,402317
0,16042,113,113,3,13142
1,574686,147,147,1,571897
1,596823,98,98,2,594229
0,71558,154,154,1,69066
0,1102343,226,226,2,1099539
0,556640,252,252,2,553878
0,22835,146,146,2,20457
0,17633,26,26,1,14982
1,2171498,182,182,2,2169063
1,3099,89,89,2,313
1,2180588,57,57,2,2178147
0,1865809,108,108,2,1862957
1,2060220,183,183,2,2057611
1,8030,144,144,2,5538
0,33755,31,31,2,30969
1,12466,229,229,2,9926
1,1650945,14,14,2,1648582
0,1181628,224,224,2,1179322
1,580806,97,97,5,578836
0,321121,171,171,2,318503
1,880730,135,135,2,877992
0,37975,66,66,1,35192
1,156435,38,38,3,153649
1,249052,76,76,2,246272
1,344245,16,16,2,341906
1,194602,248,248,3,191840
0,536061,256,256,2,533287
0,1828534,110,110,2,1825916
1,450835,71,71,2,448496
0,7162,24,24,2,4697
0,417885,138,138,2,415123
1,237391,75,75,2,234584
0,14547,25,25,2,12235
1,1983,1,1,5,1
1,21057,155,155,2,18763
0,388287,239,239,2,385492
0,69594,36,36,2,66700
0,185153,28,28,2,182502
0,110238,228,228,3,107374
0,768058,80,80,2,765323
1,8573,215,215,2,6039
1,2099,5,5,5,3
1,191757,116,116,2,188965
1,205713,246,246,2,202903
1,1409461,102,102,3,1406588
1,775880,132,132,2,773208
1,12861,240,240,2,10087
0,735391,130,130,2,733043
0,1731005,190,190,3,1728183
0,171302,231,231,4,169443
1,187696,247,247,2,185057
1,2050620,21,21,2,2048281
1,54570,32,32,3,51787
0,222070,177,177,2,219359
0,1169591,223,223,3,1166769
1,2776,53,53,1,113
1,935144,133,133,2,932427
0,8596,127,127,2,5819
0,63923,60,60,2,61338
0,42017,199,199,1,39222
1,1150558,192,192,1,1147775
1,665447,78,78,3,662586
0,276688,210,210,1,274223
1,396615,250,250,1,394090
0,381075,237,237,2,378301
1,2102129,105,105,2,2099463
0,255561,22,22,1,253126
1,22052,241,241,2,19278
0,198843,129,129,2,196225
0,763632,131,131,2,761305
0,421319,160,160,2,418704
1,167573,41,41,3,164778
1,4709,35,35,2,2067
1,597333,3,3,1,595705
