SportType,HostCountry,ProCyclingStatsRaceId,StartLocation,EndLocation
1,5,,20,13
1,6,173759.0,7,20
1,5,,0,17
1,7,182094.0,1,15
1,7,111507.0,2,3
1,4,116985.0,14,10
1,2,180627.0,15,8
1,5,,6,5
1,0,139125.0,14,1
1,3,,11,21
1,5,149980.0,21,10
1,3,,16,16
1,0,116982.0,19,6
1,0,,17,0
1,7,182093.0,1,2
1,8,,8,7
1,0,181273.0,5,19
1,4,116981.0,22,18
1,1,181655.0,18,14
1,5,149979.0,12,11
1,0,139128.0,19,18
1,4,139124.0,4,4
1,0,116983.0,24,10
1,4,139129.0,23,18
1,0,139126.0,10,10
1,4,149981.0,3,10
0,5,,13,12
1,1,181656.0,9,9
