Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1037760,369,369,4,0,170,1037092,1
1,0,18293,404,404,3,1,158,17649,0
0,0,7200,137,137,4,0,24,6637,0
0,0,55025,359,359,4,0,101,54438,0
0,0,1464254,89,89,4,0,97,1463646,0
0,0,487260,204,204,4,0,126,486679,1
0,0,1995197,221,221,4,0,151,1994529,0
0,0,9057,388,388,4,0,91,8128,0
0,0,4555,134,134,4,0,132,3962,0
0,0,622513,27,27,4,0,97,621803,0
0,0,807166,155,155,4,0,118,806492,1
1,0,112468,401,401,1,1,37,111971,0
0,0,4870,341,341,4,0,141,4217,0
0,0,2682,268,268,4,0,132,1954,0
0,0,163066,8,8,4,0,144,162521,1
0,0,1955674,333,333,4,0,162,1955171,0
0,0,735451,97,97,4,0,97,734867,0
0,0,1368555,311,311,4,0,76,1367977,1
0,0,1487064,93,93,4,0,28,1486369,1
0,0,36247,73,73,4,0,63,35642,1
0,0,1187163,347,347,4,0,170,1186465,0
0,0,120884,35,35,2,0,108,120498,0
0,0,1921473,109,109,4,0,58,1920904,1
0,0,438865,352,352,4,0,21,438233,0
0,0,308712,370,370,4,0,26,308044,0
0,0,1033564,301,301,4,0,169,1032920,0
0,0,1604078,117,117,4,0,76,1603452,0
0,0,85370,62,62,4,0,77,84681,0
0,0,17407,265,265,4,0,42,16820,0
0,0,497483,127,127,4,0,115,496893,0
0,0,1707996,29,29,4,0,70,1707370,1
0,0,6677,379,379,4,0,90,6162,1
0,0,278070,226,226,4,0,159,277438,1
0,0,1731530,337,337,4,0,58,1730895,0
0,0,477620,209,209,4,0,114,476973,0
0,0,565167,382,382,2,0,81,564760,0
0,0,10321,128,128,4,0,42,9749,0
0,0,1686468,113,113,4,0,97,1685914,0
0,0,7629,234,234,4,0,42,6979,0
0,0,1645,356,356,4,0,105,1004,0
0,0,376974,56,56,4,0,152,376393,1
0,0,767988,275,275,4,0,49,767290,0
0,0,426818,140,140,4,0,130,426186,1
0,0,39701,53,53,4,0,42,39237,1
0,0,265007,263,263,4,0,5,264339,0
0,0,782,47,47,4,0,128,129,1
0,0,1118634,321,321,4,0,154,1117975,1
0,0,30799,74,74,4,0,67,30158,1
0,0,159847,68,68,4,0,99,159101,1
0,0,694973,309,309,4,0,70,694383,0
0,0,1637787,115,115,4,0,58,1637185,1
0,0,487905,172,172,4,0,152,487330,0
1,0,356421,430,430,3,1,139,355831,1
0,0,1932015,108,108,4,0,97,1931470,0
0,0,2027,40,40,4,0,71,1341,0
0,0,1743790,336,336,4,0,58,1743146,0
0,0,515441,210,210,4,0,65,514617,0
0,0,1109679,318,318,4,0,97,1109041,1
1,0,347837,18,18,3,1,9,347313,0
0,0,250738,325,325,4,0,159,250097,0
0,0,1579,3,3,4,0,168,1004,1
0,0,570400,77,77,4,0,116,569783,0
1,0,544317,149,149,1,1,114,543658,0
0,0,52129,269,269,4,0,132,51491,0
1,0,19103,380,380,3,1,31,18480,1
0,0,4829,262,262,4,0,38,4128,0
0,0,599763,237,237,4,0,6,598996,1
0,0,430625,12,12,4,0,135,430509,0
0,0,1142859,409,409,4,0,49,1142287,1
0,0,339516,229,229,4,0,83,338926,0
0,0,1413348,213,213,4,0,13,1412725,1
0,0,1066542,405,405,4,0,69,1065931,1
0,0,15668,345,345,4,0,20,15015,0
0,0,6518,306,306,4,0,152,5874,1
0,0,26110,308,308,4,0,31,25487,1
1,0,504309,428,428,3,1,147,503911,1
0,0,610947,367,367,4,0,170,610288,1
0,0,1935320,220,220,4,0,124,1934724,0
0,0,216763,324,324,4,0,145,216122,0
1,0,588625,160,160,3,1,110,587969,1
0,0,416038,383,383,4,0,64,415541,0
1,0,463493,102,102,3,1,80,462885,1
0,0,14001,394,394,4,0,155,13402,1
0,0,276224,139,139,4,0,82,275592,0
0,0,602338,322,322,4,0,93,601643,1
0,0,1845,389,389,2,0,88,1489,1
0,0,314714,124,124,4,0,25,314181,0
0,0,1473130,88,88,4,0,27,1472456,0
0,0,1100102,407,407,4,0,102,1099440,1
0,0,444695,32,32,4,0,112,444042,0
0,0,42175,386,386,4,0,151,41594,0
0,0,9261,130,130,4,0,42,8539,0
0,0,382637,58,58,4,0,159,382086,0
0,0,35038,305,305,4,0,122,34388,1
0,0,410050,252,252,4,0,23,409331,0
1,0,13194,350,350,3,1,106,12661,1
0,0,641578,84,84,4,0,55,640880,1
0,0,320021,423,423,4,0,98,319437,1
0,0,70385,302,302,4,0,160,69732,0
0,0,2893,384,384,4,0,149,2228,0
0,0,36160,20,20,4,0,54,35462,1
1,0,628319,187,187,3,1,65,627354,1
1,0,978860,280,280,1,1,119,978390,0
0,0,288480,177,177,4,0,100,287506,0
0,0,331967,156,156,4,0,135,331098,0
0,0,467996,365,365,4,0,165,467418,0
0,0,1344856,201,201,4,0,125,1344239,0
0,1,340144,413,413,4,0,99,339536,0
0,0,218124,169,169,4,0,21,217234,0
0,0,17055,49,49,4,0,42,16375,0
0,0,1049,288,288,4,0,68,204,1
0,0,789660,154,154,4,0,59,789061,1
0,0,855201,24,24,4,0,171,854569,1
0,0,281,10,10,5,0,73,3,1
0,0,16035,343,343,4,0,53,15472,0
