Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,301826,243,243,2,89,299487
1,0,32772,97,97,1,116,29866
1,0,373899,28,28,2,27,371611
0,0,736453,78,78,3,71,733583
1,1,190552,79,79,2,51,188093
1,0,1516533,42,42,2,61,1514173
0,0,465591,162,162,2,112,462814
1,0,54199,31,31,2,46,51578
1,0,988200,207,207,2,35,985546
1,0,1062895,234,234,2,85,1060310
0,0,246580,86,86,2,6,243767
0,0,758419,44,44,2,22,756089
0,0,488327,203,203,3,23,485541
0,0,322020,237,237,1,93,319249
0,0,33755,26,26,2,55,30969
0,0,355891,245,245,2,116,353552
1,0,993191,43,43,2,61,990858
1,0,1150558,193,193,1,88,1147775
0,0,1152306,222,222,2,115,1149583
0,0,1161129,166,166,2,111,1158613
1,0,32977,216,216,1,114,30248
1,0,33431,25,25,2,98,30843
0,0,184674,5,5,2,95,182293
1,0,1757922,189,189,2,34,1755496
0,0,553480,174,174,3,65,550610
0,0,16153,29,29,2,46,13502
1,0,292921,246,246,2,119,290183
0,0,256062,179,179,2,121,253732
0,0,25495,49,49,2,98,22811
1,0,8691,196,196,2,30,6085
1,0,180436,213,213,2,44,177890
1,0,15222,212,212,2,8,12538
0,0,867065,116,116,2,71,864531
1,0,1966199,103,103,2,40,1963551
0,0,557682,143,143,2,106,555076
0,0,1024944,233,233,2,85,1022305
0,0,519004,252,252,2,74,516413
0,0,1176004,165,165,2,105,1173581
1,0,156435,33,33,3,85,153649
1,0,447956,177,177,2,64,445458
0,0,735391,128,128,2,73,733043
0,0,1102343,226,226,2,77,1099539
0,0,1314205,89,89,2,111,1311887
1,0,1034195,209,209,2,5,1031508
1,0,204433,61,61,2,45,201761
1,0,1800605,108,108,2,73,1797939
1,0,125132,80,80,2,47,122370
0,0,17633,21,21,1,64,14982
0,0,4209,121,121,2,67,1423
0,0,187941,232,232,2,37,185287
0,0,1065877,199,199,2,110,1063010
0,0,432191,135,135,2,18,429708
0,0,513629,258,258,3,82,510834
1,0,568671,173,173,2,2,566338
0,0,1123469,221,221,1,94,1120611
0,0,432436,159,159,1,61,429818
0,0,422008,201,201,2,33,419294
1,0,86749,153,153,1,68,84020
1,0,50888,152,152,2,52,48174
0,0,107074,255,255,1,72,104540
0,0,622377,40,40,2,10,620053
0,0,389747,164,164,1,128,387120
1,0,352788,250,250,2,110,350182
0,0,185153,23,23,2,130,182502
0,0,378614,163,163,2,87,375975
0,0,309384,110,110,2,121,306937
1,0,585607,81,81,2,119,583331
0,0,7162,19,19,2,46,4697
1,0,650434,38,38,3,38,647633
1,0,23290,218,218,2,73,20606
0,0,9867,59,59,2,98,7462
0,0,473501,202,202,3,122,470631
0,0,1713823,7,7,2,86,1711409
0,0,381075,238,238,2,18,378301
0,0,14845,46,46,3,51,11996
0,0,8092,214,214,2,43,5759
1,0,13979,198,198,1,0,11352
0,0,1053239,112,112,2,3,1050549
0,0,15062,85,85,2,46,12438
1,0,1100880,195,195,1,39,1098211
1,0,8115,172,172,3,45,5269
