GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,8,4507129,158,158,0,4506258,0
0,11,58482,184,184,3,57650,1
0,8,4045564,146,146,0,4044548,1
0,8,809644,6,6,0,808668,1
0,2,1540684,198,198,5,1539719,1
0,8,3925106,133,133,0,3924162,1
1,3,3479864,114,114,0,3478912,0
0,8,2352377,59,59,0,2351473,1
0,8,2811870,80,80,0,2810993,1
0,8,3879177,130,130,0,3878232,0
0,8,2379851,66,66,0,2378994,1
0,8,1052365,20,20,0,1051429,0
0,13,1539502,220,220,8,1538500,0
0,7,2480301,68,68,0,2479394,0
1,3,3942505,136,136,0,3941590,0
0,8,2375390,65,65,0,2374390,1
0,8,1003686,16,16,0,1002743,0
0,8,826044,9,9,0,825257,1
0,8,3009797,97,97,0,3009183,0
0,8,2360029,61,61,0,2359047,1
0,8,3134531,100,100,0,3133584,1
0,8,1369830,36,36,0,1368947,0
0,8,1007599,17,17,0,1006603,0
0,8,2844528,88,88,0,2843538,1
0,8,3598785,118,118,0,3598376,0
1,3,702779,0,0,0,701800,0
0,8,2355855,60,60,0,2354884,1
0,1,883344,178,178,2,882190,0
0,8,3983006,143,143,0,3982127,0
0,8,3076129,98,98,0,3075227,0
0,8,3174298,101,101,0,3173391,1
0,10,59994,192,192,4,59019,1
0,8,2831118,84,84,0,2830191,1
0,8,1048548,19,19,0,1047554,0
0,8,4054409,148,148,0,4053370,1
0,8,2604167,75,75,0,2603329,0
0,2,1639490,207,207,5,1638522,1
0,5,949235,169,169,1,948584,0
0,8,4281472,153,153,0,4280290,1
0,8,2980375,96,96,0,2979374,0
0,8,4270736,152,152,0,4269712,1
0,5,1012849,171,171,1,1012217,0
0,8,2232853,52,52,0,2231880,1
0,8,4089689,150,150,0,4088784,1
0,0,3111097,227,227,10,3110193,0
0,3,1726768,212,212,6,1725811,0
0,8,1382865,37,37,0,1381870,0
0,8,4574073,160,160,0,4573255,1
0,11,128626,187,187,3,127746,1
0,8,2241711,53,53,0,2240825,1
0,8,4562145,159,159,0,4561270,0
0,8,3946818,137,137,0,3946348,0
0,8,2883682,91,91,0,2882695,1
0,10,1520249,195,195,4,1519281,0
0,8,3938451,135,135,0,3937813,0
0,8,1234293,31,31,0,1233356,1
1,3,1205691,27,27,0,1204738,1
0,8,2501037,69,69,0,2500057,0
0,11,121633,185,185,3,120728,1
0,8,3605579,120,120,0,3604775,0
0,3,1713820,209,209,6,1712806,0
1,3,959824,13,13,0,958735,0
0,8,2827124,83,83,0,2826149,1
0,8,4357200,154,154,0,4356532,1
0,2,1618754,204,204,5,1617789,1
0,1,835336,176,176,2,834360,0
0,8,3471297,112,112,0,3470331,0
0,8,4624792,161,161,0,4624492,0
0,8,2363229,62,62,0,2362303,1
0,8,3991057,145,145,0,3990489,0
0,8,713930,3,3,0,712959,0
0,8,3081081,99,99,0,3080348,0
0,8,3658680,124,124,0,3657775,0
0,0,3130797,232,232,10,3129888,0
0,8,3193314,102,102,0,3192405,1
0,0,35088,222,222,10,34091,1
0,0,3096667,225,225,10,3095699,0
0,8,3337829,107,107,0,3336940,0
0,8,2382674,67,67,0,2381690,1
0,8,1218576,30,30,0,1217713,1
0,0,3100508,226,226,10,3099590,0
0,2,1606577,202,202,5,1605587,1
0,8,2961608,94,94,0,2960623,0
0,8,3654541,123,123,0,3653626,0
0,8,3851936,126,126,0,3851292,1
0,3,1722743,211,211,6,1721734,0
0,8,4396545,156,156,0,4395898,1
0,11,38718,180,180,3,37728,1
0,8,2348993,58,58,0,2348378,1
0,8,4674500,162,162,0,4674023,1
0,8,2568455,74,74,0,2567453,0
0,2,1569787,200,200,5,1568882,1
0,8,870727,11,11,0,869853,1
0,8,1289899,34,34,0,1288988,0
0,8,1214186,29,29,0,1213213,1
0,8,3635309,122,122,0,3634361,1
0,8,4423505,157,157,0,4422687,0
0,3,1730683,213,213,6,1729945,0
0,8,3949671,138,138,0,3948636,0
0,8,1856079,47,47,0,1855124,1
0,8,2823781,82,82,0,2822807,1
0,1,813663,172,172,2,812738,0
0,11,54050,183,183,3,53050,1
0,8,1478839,40,40,0,1477894,0
0,8,2728505,78,78,0,2727547,0
0,2,1630504,206,206,5,1629542,1
0,8,3511547,117,117,0,3510660,1
0,8,1198292,26,26,0,1197318,1
1,14,886301,179,179,2,885423,0
0,8,3630502,121,121,0,3629473,1
1,6,37246,191,191,4,36216,1
0,8,706356,1,1,0,705402,0
0,0,3166097,234,234,10,3165117,0
0,8,2840902,87,87,0,2839937,1
0,13,1527077,218,218,8,1526144,0
1,3,3289870,106,106,0,3288906,1
