GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,8,4428060,158,158,0,4427278,0
0,11,54050,184,184,3,53050,1
0,8,3991057,146,146,0,3990489,0
0,8,809644,6,6,0,808668,1
0,2,1535834,198,198,5,1534863,1
0,8,3922084,133,133,0,3921204,1
1,3,3479864,115,115,0,3478912,0
0,8,2348993,59,59,0,2348378,1
0,8,2795416,80,80,0,2794433,1
0,8,3875858,130,130,0,3874863,0
0,8,2375390,66,66,0,2374390,1
0,8,1052365,20,20,0,1051429,0
0,13,1539502,220,220,8,1538500,0
0,8,2476103,68,68,0,2475134,0
1,3,3942505,137,137,0,3941590,0
0,8,2371632,65,65,0,2371039,1
0,8,1003686,16,16,0,1002743,0
0,8,826044,9,9,0,825257,1
0,8,2980375,97,97,0,2979374,0
0,8,2355855,61,61,0,2354884,1
0,8,3085309,100,100,0,3083844,0
0,8,1330950,36,36,0,1330142,0
0,8,1007599,17,17,0,1006603,0
0,8,2840902,88,88,0,2839937,1
0,8,3511547,118,118,0,3510660,1
1,3,702779,0,0,0,701800,0
0,8,2352377,60,60,0,2351473,1
0,1,838943,178,178,2,837978,0
0,8,3979724,143,143,0,3978714,0
0,8,3013872,98,98,0,3012883,0
0,8,3134531,101,101,0,3133584,1
0,10,33815,191,191,4,32835,1
0,8,2827124,84,84,0,2826149,1
0,8,1048548,19,19,0,1047554,0
0,8,4049767,148,148,0,4048793,1
0,8,2568455,75,75,0,2567453,0
0,2,1630504,207,207,5,1629542,1
0,5,41331,169,169,1,40400,1
0,8,4270736,153,153,0,4269712,1
0,8,2975921,96,96,0,2975048,0
0,8,4266476,152,152,0,4265571,1
0,5,949235,170,170,1,948584,0
0,8,2124567,51,51,0,2123632,0
0,8,4058883,150,150,0,4058242,1
0,0,3111097,227,227,10,3110193,0
0,3,1722743,212,212,6,1721734,0
0,8,1369830,37,37,0,1368947,0
0,8,4562145,160,160,0,4561270,0
0,11,125238,187,187,3,124273,1
0,8,2237284,53,53,0,2236253,1
0,8,4507129,159,159,0,4506258,0
0,8,3938451,136,136,0,3937813,0
0,8,2879567,91,91,0,2878703,1
0,10,1515860,195,195,4,1514896,0
0,8,3928035,135,135,0,3927312,1
0,8,1234293,31,31,0,1233356,1
1,3,1205691,27,27,0,1204738,1
0,7,2480301,69,69,0,2479394,0
0,11,61219,185,185,3,60328,1
0,8,3604682,120,120,0,3604001,0
0,2,1643801,209,209,5,1642894,1
1,3,959824,13,13,0,958735,0
0,8,2823781,83,83,0,2822807,1
0,8,4281472,154,154,0,4280290,1
0,2,1615156,204,204,5,1614144,1
0,1,826843,176,176,2,825971,0
0,8,3392268,112,112,0,3391673,0
0,8,4574073,161,161,0,4573255,1
0,8,2360029,62,62,0,2359047,1
0,8,3986597,145,145,0,3986148,0
0,8,713930,3,3,0,712959,0
0,8,3076129,99,99,0,3075227,0
0,8,3654541,124,124,0,3653626,0
0,0,3130797,232,232,10,3129888,0
0,8,3178574,102,102,0,3177557,1
0,0,35088,222,222,10,34091,1
0,0,3096667,225,225,10,3095699,0
0,8,3293385,107,107,0,3292469,1
0,8,2379851,67,67,0,2378994,1
0,8,1218576,30,30,0,1217713,1
0,0,3100508,226,226,10,3099590,0
0,2,1599674,202,202,5,1598787,1
0,8,2949277,94,94,0,2948707,1
0,8,3635309,123,123,0,3634361,1
0,8,3791837,126,126,0,3791328,0
0,3,1718127,211,211,6,1717211,0
0,8,4357200,155,155,0,4356532,1
0,1,889564,180,180,2,888848,0
0,8,2321136,58,58,0,2320393,1
0,8,4672465,162,162,0,4671570,1
0,8,2564895,74,74,0,2563960,0
0,2,1566639,200,200,5,1565667,1
0,8,870727,11,11,0,869853,1
0,8,1251779,34,34,0,1250937,1
0,8,1214186,29,29,0,1213213,1
0,8,3630502,122,122,0,3629473,1
0,8,4396545,157,157,0,4395898,1
0,3,1726768,213,213,6,1725811,0
0,8,3946818,138,138,0,3946348,0
0,8,1799441,47,47,0,1798627,1
0,8,2819209,82,82,0,2818421,1
0,1,810302,172,172,2,809406,0
0,11,50281,183,183,3,49319,1
0,8,1474816,40,40,0,1474233,0
0,8,2723923,78,78,0,2723008,0
