GENE_SUBCLASS,GENE_TYPE,GENOMIC_START_POSITION,ORTHOLOG_ID,CHROMOSOME_ID,STRAND_ORIENTATION,ENCODED_PROTEIN,GENE_DB_ID,GENE_ID,GENOMIC_END_POSITION
0,0,1785821,23,0,1,0,66,66,1786847
0,0,2174909,24,9,0,0,227,227,2175621
0,0,1950308,12,6,0,0,179,179,1951267
1,1,2004696,2,0,1,1,75,75,2005679
0,0,544797,23,0,1,0,18,18,545737
0,0,726416,23,0,0,0,27,27,727451
0,0,1770454,11,4,0,0,163,163,1771461
0,0,2195330,24,9,0,0,229,229,2196287
0,0,2658195,17,12,0,0,246,246,2659219
1,1,1527763,2,0,1,1,55,55,1528688
0,0,1189413,5,2,0,0,142,142,1190403
0,0,3188324,23,0,0,0,109,109,3189315
0,0,1233707,20,1,1,0,137,137,1234677
1,1,2740189,14,7,0,1,209,209,2741232
0,0,3373889,23,0,0,0,112,112,3374873
0,0,80444,12,6,1,0,173,173,81446
0,0,2235660,23,0,0,0,80,80,2236648
1,1,2958174,10,12,0,1,256,256,2958958
0,0,3410011,23,0,0,0,113,113,3411054
1,1,2125348,2,0,0,1,78,78,2126124
0,0,844259,23,0,0,0,33,33,845231
0,0,129258,9,10,1,0,234,234,130190
0,0,147857,1,13,1,0,264,264,148899
0,0,1313668,5,2,0,0,149,149,1314686
1,1,913902,2,0,0,1,35,35,914773
0,0,3113458,23,0,0,0,107,107,3114291
0,0,1363335,20,1,0,0,140,140,1364183
0,0,1774454,23,0,1,0,65,65,1775441
1,1,2603401,10,12,0,1,243,243,2604343
0,0,433749,23,0,0,0,14,14,434763
0,0,239723,23,0,0,0,6,6,240684
0,0,116867,9,10,1,0,233,233,117913
0,0,2699685,3,7,0,0,208,208,2700655
0,0,2707301,23,0,1,0,92,92,2708277
0,0,840713,23,0,0,0,32,32,841681
0,0,693924,23,0,0,0,25,25,694956
1,1,2959559,2,0,1,1,100,100,2960312
1,1,291670,21,4,1,1,159,159,292637
0,0,1700384,23,0,1,0,62,62,1701321
0,0,68407,12,6,1,0,172,172,69437
0,0,311723,23,0,0,0,8,8,312759
0,0,88823,24,9,0,0,220,220,89815
0,0,60333,9,10,1,0,231,231,61311
0,0,2268255,23,0,0,0,82,82,2269235
0,0,1781826,11,4,0,0,164,164,1782786
0,0,1122552,23,0,1,0,44,44,1123510
0,0,2578929,17,12,0,0,242,242,2579902
0,0,3007265,23,0,1,0,103,103,3008310
1,1,406664,2,0,0,1,12,12,407514
0,0,126066,3,7,1,0,191,191,127076
1,1,154099,15,8,1,1,217,217,155111
0,0,3614358,23,0,1,0,120,120,3615342
0,0,3957431,23,0,1,0,132,132,3958204
0,0,1924600,23,0,1,0,71,71,1925586
0,0,2751003,3,7,0,0,210,210,2751961
0,0,565550,23,0,1,0,19,19,566514
0,0,195096,3,7,1,0,194,194,196073
0,0,64781,1,13,1,0,260,260,65837
0,0,1260960,5,2,0,0,146,146,1261944
0,0,604369,23,0,1,0,20,20,605384
0,0,231104,3,7,1,0,195,195,232090
0,0,2663373,23,0,1,0,90,90,2664333
0,0,1988968,23,0,1,0,74,74,1989967
