StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition
0,155219,154,154,2,7,58,154221
0,434666,127,127,16,2,24,433053
0,1524263,34,34,22,16,5,1522857
1,831522,12,12,21,17,38,830434
0,10687,111,111,33,17,58,9590
1,1108489,110,110,22,25,53,1107152
0,33930,48,48,30,17,65,32737
0,340376,73,73,4,1,10,339975
0,566165,32,32,8,20,16,564966
0,6500,29,29,28,2,25,5433
1,496522,95,95,10,2,58,495068
0,447552,1,1,16,0,68,446896
1,1494962,35,35,22,5,37,1493559
0,405983,7,7,18,1,76,405798
1,726501,37,37,22,10,5,725125
1,1117420,109,109,22,12,21,1116176
0,617159,56,56,5,25,73,615924
0,1404649,106,106,22,12,15,1403372
0,3182,20,20,34,2,36,2247
0,553803,92,92,12,2,54,552229
1,1359,82,82,31,0,8,532
0,492874,55,55,9,2,22,492284
0,512575,152,152,6,21,2,511070
1,1689293,40,40,20,24,82,1687962
0,7259,6,6,25,0,29,6249
0,452810,96,96,10,2,58,452175
1,68405,136,136,48,19,77,67296
0,1002291,88,88,21,17,4,1001194
1,526360,149,149,5,25,78,525035
1,1898756,44,44,22,19,15,1897875
0,1944921,122,122,22,0,15,1944244
1,2480,74,74,44,19,4,1071
1,437973,97,97,1,0,77,437293
1,209311,49,49,11,4,17,208193
1,1071422,143,143,21,2,61,1070148
0,1867030,43,43,22,2,44,1865636
0,15753,10,10,26,19,66,14641
0,580857,33,33,8,25,47,579490
1,10644,94,94,46,2,38,9307
0,367224,148,148,5,0,46,366097
1,1267766,60,60,22,12,5,1266495
0,1499180,116,116,20,21,33,1497708
1,626028,38,38,7,17,34,624868
0,290343,72,72,4,23,57,289018
0,1172370,108,108,22,12,15,1171051
1,411413,90,90,23,2,71,410007
0,42426,101,101,3,17,13,41221
1,532332,150,150,5,25,60,531106
1,1789020,71,71,21,2,20,1787623
1,523945,114,114,1,25,77,522770
1,601068,113,113,7,17,79,599905
0,151073,138,138,48,19,77,149964
0,1733432,126,126,22,23,53,1732098
0,919364,85,85,21,12,56,918156
1,1651899,45,45,22,17,5,1651012
0,228042,115,115,4,17,30,226948
0,432268,5,5,15,19,72,431189
0,987463,87,87,21,0,84,986558
0,1751668,125,125,22,5,21,1750310
0,211061,153,153,0,5,1,209817
0,18783,25,25,38,2,74,17596
0,65502,28,28,40,2,28,63997
1,754771,52,52,17,26,59,753767
0,2018230,119,119,21,17,84,2016848
0,207419,57,57,16,0,84,207000
1,598434,75,75,10,0,44,597786
1,1248251,61,61,22,15,5,1246854
1,559992,91,91,5,25,0,558766
1,231983,83,83,10,8,70,230514
0,423600,145,145,22,19,19,422017
1,9275,46,46,42,2,3,7716
1,2090497,19,19,22,5,18,2089121
0,472615,51,51,5,9,66,471425
0,412929,50,50,5,25,60,411703
0,1933792,4,4,22,1,15,1933010
1,1778404,124,124,22,27,27,1777100
0,1093548,134,134,18,18,78,1092211
0,1741983,14,14,21,11,84,1740772
0,437003,64,64,18,1,16,436320
1,155993,112,112,19,22,38,154689
1,146779,93,93,10,6,44,145715
0,379854,79,79,15,2,11,379126
0,1015761,63,63,22,2,27,1014583
0,1277102,65,65,20,24,37,1275858
0,308539,81,81,18,15,51,307640
1,52782,135,135,48,2,31,51379
0,852,47,47,30,2,43,1
1,233697,2,2,11,0,81,233434
1,1572694,69,69,20,17,7,1571525
1,2053277,18,18,22,27,44,2051877
1,597683,128,128,10,2,64,596868
0,23787,24,24,37,2,24,22417
0,494627,39,39,1,23,61,493452
1,1587887,120,120,21,10,37,1586445
1,169772,30,30,13,2,9,168840
0,1413484,11,11,22,25,53,1412150
0,54854,26,26,38,0,4,53844
0,2157389,42,42,22,10,26,2156019
1,6378,58,58,43,17,4,4900
0,439354,102,102,12,17,42,437786
0,1072628,132,132,18,27,22,1071504
1,211328,151,151,8,19,47,209856
0,59441,100,100,3,19,75,58461
1,1804221,70,70,21,2,20,1803316
1,1506761,117,117,20,24,45,1505442
0,1143832,133,133,18,2,22,1142492
0,6733,23,23,36,2,65,6122
0,12244,27,27,39,17,4,11150
0,1420721,68,68,20,25,82,1419405
0,67849,99,99,3,19,49,66767
0,340851,8,8,4,0,50,340480
0,298468,78,78,15,17,12,296987
0,586,0,0,32,1,6,2
0,1398991,107,107,22,16,15,1398122
1,458510,15,15,4,0,30,457881
0,899374,76,76,17,3,55,898190
0,13267,21,21,35,0,4,11954
0,1459767,36,36,22,2,44,1458433
1,7956,31,31,29,22,41,6742
0,162444,139,139,48,27,31,161326
0,484137,80,80,15,17,12,482659
0,262696,59,59,13,2,63,261617
0,1683736,13,13,21,17,37,1682645
0,497535,155,155,12,0,23,496600
0,114367,137,137,48,2,32,112967
0,799780,140,140,14,0,40,799199
0,417432,103,103,12,2,54,415855
1,1370954,67,67,20,19,82,1369569
1,318880,147,147,5,17,14,317777
0,799094,54,54,14,1,39,798498
1,8841,16,16,27,19,24,7366
0,37052,129,129,47,26,80,35940
1,1361937,105,105,22,17,15,1361035
1,174865,131,131,9,12,24,173582
1,485,3,3,24,1,62,3
1,27971,84,84,45,6,4,26910
0,403184,98,98,1,23,69,402012
1,85134,89,89,13,14,48,83866
0,1951553,123,123,22,16,19,1950669
0,1386264,104,104,22,2,44,1384861
1,2074708,17,17,22,2,27,2073437
1,1065367,142,142,21,13,83,1064159
1,924253,86,86,21,2,20,923378
0,383794,22,22,22,19,15,382214
0,1365596,66,66,20,27,18,1364481
0,936561,77,77,17,0,67,935551
0,1026521,62,62,22,19,19,1025604
1,24760,144,144,49,17,17,23234
1,304330,146,146,5,19,46,303281
1,17944,130,130,47,17,16,16457
0,813285,53,53,17,2,41,812281
1,1622991,121,121,21,0,37,1622125
0,349644,9,9,4,23,30,348280
1,1547471,118,118,20,21,35,1546002
0,6048,41,41,41,11,4,4708
1,1047742,141,141,21,19,52,1046660
