SPECIALTY_POSITION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,SPORT_TYPE,BIRTH_PLACE,UCI_RIDER_ID,NATIVE_NAME,WEIGHT_KG,BIRTH_DATE,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,LANGUAGES_SPOKEN,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID
0,18,39842.0,12843,13,1311517.0,140292,13,52504.0,3,19,67388,6,58.0,12,16,13,57418,5,2276,166.0,16
2,5,47589.0,20960,17,12247.0,158017,17,67463.0,4,20,74994,7,83.0,19,10,17,65329,3,16724,193.0,1
2,16,30026.0,7147,14,140921.0,140611,14,42655.0,3,5,57601,8,62.0,4,14,14,32008,0,563,172.0,12
0,0,49682.0,17893,16,39580.0,134456,16,58541.0,4,1,553301,10,58.0,16,20,16,65130,0,6242,172.0,19
0,13,50317.0,18455,3,2094.0,138294,3,58535.0,3,0,68778,7,70.0,17,11,3,61900,3,6230,175.0,20
0,12,19255.0,3891,9,508772.0,140196,9,19127.0,4,2,32532,4,71.0,7,17,9,11292,0,716,183.0,3
0,18,39842.0,12843,13,1311517.0,140292,13,52504.0,3,19,67388,6,58.0,12,16,13,57418,5,2276,166.0,16
1,3,46381.0,18610,11,77168.0,137427,11,56596.0,1,15,71557,5,62.0,15,0,11,63999,1,12474,173.0,0
0,1,3262.0,387,0,1397142.0,137456,0,2513.0,3,6,518429,0,62.0,3,2,0,1567,5,3,176.0,14
0,10,20041.0,6807,15,61270.0,140781,15,28206.0,3,12,32596,9,67.0,8,3,15,21225,4,114,182.0,7
2,2,43410.0,17901,4,33516.0,139783,4,46672.0,1,14,66795,7,70.0,18,8,4,42590,3,6413,189.0,13
3,4,16289.0,5,1,470645.0,140924,1,19443.0,3,7,14575,7,61.0,0,18,1,7005,3,38,177.0,9
0,9,46909.0,16707,8,57772.0,134924,8,52074.0,3,16,62712,3,65.0,13,1,8,56765,2,10303,183.0,18
1,8,3518.0,3,6,,140315,6,2721.0,3,3,16554,7,58.0,1,4,6,1807,2,149,169.0,6
1,20,47214.0,16722,20,34792.0,140674,20,46202.0,0,18,64531,7,71.0,14,19,20,52973,3,6228,183.0,17
0,7,22663.0,5789,5,1529344.0,140869,5,12014.0,3,8,43936,2,69.0,6,6,5,22017,2,713,186.0,5
0,6,41075.0,10536,2,8232.0,140489,2,42346.0,3,13,60455,1,68.0,11,13,2,46549,1,948,183.0,15
0,12,19255.0,3891,9,508772.0,140196,9,19127.0,4,2,32532,4,71.0,7,17,9,11292,0,716,183.0,3
0,12,19255.0,3891,9,508772.0,140196,9,19127.0,4,2,32532,4,71.0,7,17,9,11292,0,716,183.0,3
0,19,8783.0,4443,18,77385.0,140517,18,14122.0,3,9,44439,7,64.0,10,9,18,19060,3,730,178.0,11
0,7,22663.0,5789,5,1529344.0,140869,5,12014.0,3,8,43936,2,69.0,6,6,5,22017,2,713,186.0,5
0,15,61866.0,23334,12,160840.0,185156,12,,3,10,97634,7,65.0,20,12,12,100717,5,35077,170.0,2
3,4,16289.0,5,1,470645.0,140924,1,19443.0,3,7,14575,7,61.0,0,18,1,7005,3,38,177.0,9
0,11,12980.0,1999,7,1980.0,140438,7,17159.0,3,11,26925,7,53.0,2,15,7,11870,2,452,165.0,4
3,4,16289.0,5,1,470645.0,140924,1,19443.0,3,7,14575,7,61.0,0,18,1,7005,3,38,177.0,9
0,17,3827.0,4557,19,120363.0,140194,19,2988.0,3,17,48167,11,69.0,9,5,19,25237,3,1783,179.0,10
1,20,47214.0,16722,20,34792.0,140674,20,46202.0,0,18,64531,7,71.0,14,19,20,52973,3,6228,183.0,17
2,14,19558.0,3828,10,65423.0,140870,10,5609.0,2,4,34012,7,69.0,5,7,10,21215,3,264,182.0,8
