EventsParticipated,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,TwitterUsername,Birthplace,UciRiderId,WeightKg,Birthdate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
5,5,49271.0,17944,6,,140513,6,55922.0,5,13,62805,64.0,6,12,7,38091,2980,171.0,9,7
5,16,57474.0,18529,14,,127553,13,58005.0,5,15,88548,,10,15,13,62109,22007,,11,5
7,8,48135.0,17635,8,,140634,8,29008.0,5,7,53903,74.0,3,9,9,38067,3118,182.0,7,3
0,1,43344.0,16653,0,63128.0,140818,0,45469.0,0,2,64670,78.0,9,3,1,52068,2337,181.0,8,1
5,11,,9984,13,,135897,16,,5,9,33917,,2,5,16,33661,3190,165.0,11,5
4,14,52044.0,20798,9,9184.0,132438,9,66541.0,4,3,86938,70.0,15,13,10,71789,16643,183.0,11,2
6,12,41076.0,13362,16,56034.0,139405,15,54866.0,6,16,65995,70.0,7,1,15,51551,3277,177.0,3,6
2,3,,19953,2,9081.0,137740,2,56690.0,3,11,81980,76.0,12,6,3,77405,14737,189.0,1,1
2,13,51744.0,19238,4,38200.0,138396,4,,2,0,72932,70.0,13,4,5,66031,7720,177.0,2,4
1,6,43348.0,18287,7,,137562,7,55741.0,5,12,68745,,11,7,8,61619,4778,174.0,0,5
7,4,39238.0,13078,3,10240.0,140385,3,4591.0,7,14,284170,66.0,5,2,4,22432,780,182.0,10,3
3,10,,26538,12,1853.0,185254,12,,10,1,748933,,16,14,12,106065,38229,,11,5
7,7,39287.0,13240,5,66281.0,140835,5,10495.0,8,8,55029,67.0,4,16,6,21075,1310,178.0,5,3
7,9,13512.0,3347,10,15367.0,140776,10,17512.0,9,4,896277,68.0,0,10,0,16686,624,175.0,4,5
7,2,52673.0,19070,1,13561.0,137769,1,,1,5,79921,,8,0,2,71836,7639,178.0,11,5
5,15,54985.0,20147,11,,137832,11,,5,10,75279,69.0,14,11,11,66493,10920,176.0,11,0
6,0,14093.0,5098,15,,140811,14,,5,6,46139,67.0,1,8,14,20001,1579,180.0,6,3
