Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
1,1160395,348,348,1159709,0
1,18293,404,404,17649,0
0,7200,136,136,6637,0
0,55025,359,359,54438,0
0,1464254,88,88,1463646,0
0,494817,204,204,494134,1
0,2016292,330,330,2015537,0
0,9057,388,388,8128,0
0,4555,133,133,3962,0
0,683253,98,98,682675,0
1,844685,368,368,844098,0
1,112468,401,401,111971,0
0,4870,341,341,4217,0
0,2682,266,266,1954,0
0,163066,8,8,162521,1
0,1955674,333,333,1955171,0
0,756041,99,99,755460,1
0,1368555,310,310,1367977,1
0,1487064,92,92,1486369,1
0,36247,72,72,35642,1
0,265007,260,260,264339,0
0,120884,34,34,120498,0
0,1921473,108,108,1920904,1
0,438865,352,352,438233,0
0,308712,370,370,308044,0
0,1033564,300,300,1032920,0
0,1604078,116,116,1603452,0
0,85370,61,61,84681,0
0,17407,263,263,16820,0
0,497483,126,126,496893,0
1,1738968,27,27,1738420,0
0,6677,379,379,6162,1
0,278070,223,223,277438,1
0,1731530,337,337,1730895,0
0,477620,207,207,476973,0
0,565167,382,382,564760,0
0,10321,127,127,9749,0
0,1686468,112,112,1685914,0
0,7629,231,231,6979,0
0,1645,356,356,1004,0
0,376974,55,55,376393,1
1,807869,24,24,807330,1
0,426818,139,139,426186,1
0,39701,52,52,39237,1
0,307213,261,261,306524,0
0,782,46,46,129,1
0,1132814,318,318,1132212,1
0,30799,73,73,30158,1
0,159847,67,67,159101,1
0,717564,272,272,716974,1
0,1637787,114,114,1637185,1
0,487905,170,170,487330,0
1,356421,430,430,355831,1
0,1932015,107,107,1931470,0
0,2027,39,39,1341,0
0,1743790,336,336,1743146,0
0,515441,208,208,514617,0
0,1118634,320,320,1117975,1
1,347837,17,17,347313,0
0,250738,324,324,250097,0
0,1579,3,3,1004,1
0,570400,76,76,569783,0
1,544317,148,148,543658,0
0,52129,267,267,51491,0
1,19103,380,380,18480,1
0,4829,259,259,4128,0
0,599763,234,234,598996,1
0,430625,12,12,430509,0
