Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Memoire_Du_Cyclisme_Cyclist_Id,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Cycling_Discipline
0,11,86654.0,29568.0,3,,235390,3,,10,148689,,10,,9,6,154976,3,88703,184.0,9,1
0,0,46381.0,18610.0,5,77168.0,137427,5,56596.0,8,71557,62.0,7,133837.0,0,4,63999,1,12474,173.0,0,0
0,10,51513.0,17627.0,11,69964.0,135523,11,56613.0,5,78566,60.0,6,133843.0,2,11,60103,1,6104,183.0,8,1
0,7,51170.0,11818.0,10,9793.0,137745,10,,4,77534,62.0,2,,8,10,66567,1,6222,178.0,7,1
0,6,1661.0,2440.0,2,,140780,2,1272.0,6,28331,74.0,0,125750.0,3,2,10109,3,790,178.0,4,1
0,4,,,4,,217198,4,,3,404547,,11,,9,3,155171,0,96298,,9,1
0,8,41886.0,13566.0,9,128269.0,140495,9,46784.0,1,64917,65.0,3,133840.0,1,9,53957,1,2275,184.0,5,1
0,2,45428.0,16058.0,8,4397.0,135188,8,49006.0,7,71677,65.0,5,140887.0,7,8,55337,3,6245,180.0,2,1
0,9,57500.0,21405.0,7,,170313,7,,9,86710,65.0,8,,5,7,82089,3,17252,180.0,3,1
0,1,62255.0,24189.0,1,5751.0,187231,1,,2,79522,64.0,9,142857.0,4,1,82930,1,34011,176.0,9,1
1,3,46326.0,13153.0,0,2084.0,137531,0,45454.0,0,44055,71.0,4,126206.0,6,0,25006,3,17940,181.0,6,2
0,5,42492.0,14209.0,6,,140507,6,1857.0,11,53972,66.0,1,,9,5,28487,2,7573,180.0,1,1
