SPORT_TYPE,FREEBASE_ID,GOOGLE_KNOWLEDGE_GRAPH_ID,COMMONS_CATEGORY
1,7,22,5
1,19,15,25
1,19,11,4
1,13,22,20
1,19,19,13
1,19,2,4
1,19,22,4
1,14,22,7
0,16,22,0
0,16,22,0
1,19,20,14
1,19,19,13
1,19,10,23
1,14,22,7
1,19,4,4
1,9,22,18
1,19,3,10
1,12,22,19
1,19,0,4
1,11,22,4
1,19,8,4
1,19,19,13
1,8,22,4
1,2,22,9
1,14,22,7
1,19,16,4
1,17,22,8
1,19,9,11
1,5,22,16
1,19,12,12
1,12,22,19
1,0,22,21
1,19,20,14
1,10,22,17
1,19,9,11
1,15,22,3
1,19,1,1
1,19,15,25
1,19,16,4
1,13,22,20
1,19,6,24
1,1,22,4
1,13,22,20
1,12,22,19
1,19,15,25
1,3,22,22
1,15,22,3
1,19,9,11
1,0,22,21
1,19,3,10
1,5,22,16
1,7,22,5
1,9,22,18
1,19,18,4
1,19,6,24
1,19,7,4
1,7,22,5
1,12,22,19
1,2,22,9
1,4,22,2
1,19,13,4
1,19,19,13
1,19,13,4
1,5,22,16
1,14,22,7
1,19,16,4
1,18,22,4
1,10,22,17
1,19,10,23
1,7,22,5
1,19,5,15
1,19,19,13
1,5,22,16
1,19,17,26
1,9,22,18
1,19,2,4
1,19,12,12
1,6,22,6
1,4,22,2
1,19,21,27
1,19,14,4
1,13,22,20
1,19,2,4
1,19,17,26
1,19,3,10
1,17,22,8
1,2,22,9
1,19,12,12
