cycling_discipline,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,birth_place,uci_rider_id,weight_kg,birth_date,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm,freebase_id
1,3,55192.0,19941,16,31137.0,135398,12,16,9,86228,75.0,7,16,59790,10971,3,180.0,1
0,10,6978.0,4377,8,7658.0,140865,7,8,14,198213,76.0,4,8,18964,31,5,181.0,6
1,5,,19953,4,9081.0,137740,0,4,11,81980,76.0,10,4,77405,14737,1,189.0,0
2,6,27036.0,7476,6,7489.0,140033,5,6,5,30973,79.0,2,6,22545,330,7,190.0,7
1,1,42917.0,14273,0,14001.0,140732,2,0,2,65847,68.0,6,0,55239,3045,0,188.0,9
1,14,58428.0,21992,12,23650.0,168776,8,12,16,86895,,11,12,77835,16793,6,179.0,4
1,2,,26965,1,,206730,16,1,1,162997,70.0,14,1,128820,71333,6,176.0,11
1,12,16313.0,3333,9,134950.0,140752,3,9,13,44513,74.0,0,9,18746,150,7,181.0,5
1,11,40668.0,10220,2,2217.0,140476,1,2,4,71284,,5,2,45724,3147,1,174.0,11
1,9,65955.0,26396,17,12337.0,189441,6,17,3,92304,,12,17,110201,41293,2,186.0,11
1,7,68529.0,24255,7,29548.0,181748,4,7,12,112351,53.0,13,7,105237,37378,3,173.0,11
1,0,83296.0,29828,10,,208539,11,10,10,165041,63.0,17,10,113260,76474,6,171.0,11
0,16,70754.0,29492,5,,227948,10,5,8,236644,,16,5,134569,82572,6,173.0,11
2,8,47768.0,20092,13,,157646,14,13,6,69040,79.0,9,13,52215,14160,4,185.0,3
0,13,49291.0,16898,11,,138803,15,11,15,499064,,3,11,58966,8094,4,,10
1,17,58050.0,20184,15,,135591,13,15,17,89133,72.5,8,15,71225,19274,7,173.0,2
1,15,83295.0,28377,14,84000.0,212377,9,14,0,587366,62.0,15,14,141854,84019,6,171.0,11
0,4,7299.0,4819,3,10959.0,140705,3,3,7,30859,73.0,1,3,17957,705,7,188.0,8
