Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
0,0,1097,13,13,1
1,0,30308,54,54,27168
1,0,81368,21,21,80808
0,0,763,10,10,5
0,0,703218,19,19,701626
1,0,5286,83,83,4336
1,0,93861,101,101,92599
0,0,716461,50,50,713525
0,0,581462,112,112,578019
0,0,212280,148,148,211864
0,0,38881,133,133,36347
0,0,297517,82,82,294389
1,0,83014,122,122,81473
1,0,720,141,141,1
0,0,666404,22,22,665952
1,0,30302,0,0,29316
1,0,5807,131,131,3882
1,0,118859,99,99,115842
0,0,9728,43,43,6585
0,0,12029,48,48,11478
0,0,315827,126,126,312663
1,0,4234,79,79,3116
0,0,99546,110,110,97369
1,0,32123,60,60,29739
0,0,929052,124,124,925927
1,0,4123,91,91,1628
0,0,116617,57,57,113450
0,0,8113,66,66,5945
1,0,4229,138,138,1371
1,0,33235,7,7,30782
0,0,1206,16,16,1
0,0,789292,98,98,788021
1,0,53098,127,127,49949
1,0,99066,113,113,97825
0,0,318588,153,153,315535
0,0,1289,11,11,3
1,0,546,143,143,1
1,0,383983,5,5,383429
0,0,213521,149,149,212382
1,0,57661,45,45,55166
1,0,74545,151,151,72053
0,0,8781,28,28,5653
0,0,599,1,1,3
1,0,81855,146,146,78709
1,0,341238,29,29,338959
0,0,227216,80,80,225387
0,0,5181,105,105,4192
1,0,99079,55,55,97820
1,0,35758,6,6,35156
1,0,46653,89,89,44743
0,0,521345,25,25,518232
1,1,54155,59,59,50976
1,0,96937,121,121,96035
0,0,1771,20,20,5
0,0,9252,128,128,7177
1,0,1005,18,18,1
0,0,573456,49,49,572590
0,0,632799,52,52,629461
0,0,1017672,51,51,1015075
1,0,1291,14,14,11
1,0,55385,130,130,52233
0,0,6751,106,106,5450
1,0,3425,119,119,855
1,0,68231,100,100,65097
0,0,750258,9,9,748432
1,0,201286,39,39,199007
0,0,307836,152,152,304756
1,0,13944,64,64,11467
1,0,43791,73,73,40663
0,0,100486,56,56,98009
1,0,1126783,132,132,1124243
1,0,4790,125,125,1644
0,0,304,129,129,2
1,0,30678,115,115,29548
0,0,642289,108,108,639173
1,0,40231,111,111,38468
1,0,704,15,15,18
0,0,701522,71,71,698580
1,0,33620,88,88,30504
0,0,673825,85,85,670661
0,0,782421,65,65,781378
0,0,100844,35,35,99663
1,0,506465,74,74,504186
0,0,559272,84,84,556483
1,0,4270,38,38,1799
0,0,673601,77,77,670680
0,0,429068,86,86,425925
1,0,484,140,140,2
1,0,7065,70,70,6076
0,0,506906,102,102,503742
1,0,28960,2,2,27503
1,0,1651,96,96,830
0,0,302755,62,62,301802
0,0,1330,12,12,2
0,0,492209,24,24,489726
0,0,704396,17,17,703461
1,0,7840,69,69,6842
1,0,24175,40,40,21059
0,0,1482,107,107,1
0,0,3560,33,33,861
1,0,40333,120,120,37199
1,0,6322,47,47,3197
0,0,694715,135,135,691713
0,0,201983,147,147,197949
0,0,232598,155,155,230508
1,0,52289,87,87,48939
0,0,796646,63,63,794730
0,0,762911,104,104,760413
0,0,1815,95,95,1
1,0,11460,144,144,9091
0,0,767496,97,97,766105
1,0,341160,156,156,338881
0,0,135805,157,157,132644
0,0,326955,34,34,323962
1,0,2735,81,81,246
1,0,4884,53,53,1753
0,0,562767,61,61,559651
0,0,720169,30,30,717008
1,0,11360,93,93,8184
0,0,1011,8,8,1
0,0,7732,67,67,4595
0,0,696,116,116,1
1,0,552643,118,118,550361
0,0,225838,94,94,222980
1,0,5115,58,58,2545
0,0,296392,26,26,293633
1,0,36371,142,142,34218
0,0,220362,117,117,217744
0,0,532553,154,154,531252
0,0,772874,150,150,769737
0,0,638513,75,75,636579
0,0,685611,72,72,683131
1,0,40751,44,44,38379
1,0,5438,139,139,3198
1,0,8449,123,123,5315
1,0,37772,136,136,34755
0,0,11809,41,41,9641
0,0,8362,134,134,5834
1,0,96112,114,114,92984
1,0,6579,68,68,5257
1,0,16287,37,37,13156
1,0,371763,4,4,371065
1,0,3141,92,92,982
1,0,5564,42,42,2433
0,0,567659,27,27,567123
0,0,634208,32,32,633441
1,0,34862,90,90,34431
0,0,742903,103,103,741965
1,0,11203,46,46,8075
0,0,12199,145,145,10430
0,0,631461,76,76,630235
1,0,2165,137,137,1
0,0,676357,31,31,675068
1,0,46094,78,78,43491
1,0,301337,23,23,298548
1,0,48145,3,3,47690
1,0,11508,109,109,8902
0,0,1015710,36,36,1014604
