Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,0,12909,144,144,10807
0,0,6110,100,101,3849
0,0,457048,90,91,454787
0,0,478833,231,231,476677
0,0,16869,154,154,14662
1,0,4025,165,165,1761
1,0,20192,203,203,18165
1,0,3770,51,52,732
1,0,828777,109,110,827212
1,0,9061,56,57,6806
0,0,2776,157,157,509
1,0,211189,118,118,209180
1,0,7765,29,30,5519
1,0,3747,24,25,1363
0,0,555948,171,171,553549
0,0,487264,95,96,485114
0,0,763294,176,176,761027
0,0,1178466,117,117,1176085
1,0,53359,116,116,52601
1,0,96434,222,222,94266
1,0,45480,197,197,43330
0,0,609383,79,80,607077
0,0,5633,12,13,4134
0,0,813661,182,182,811541
0,0,243718,97,98,243449
0,0,480713,37,38,478230
1,0,114439,8,9,112868
0,0,14957,64,65,12933
0,0,356577,107,108,354673
0,0,371476,172,172,369323
1,0,50723,122,122,48507
0,0,562476,173,173,560179
1,0,56175,85,86,53914
1,0,1621,65,66,2
1,0,4679,115,115,2307
1,0,11646,125,125,9286
0,0,45278,101,102,42840
1,0,47037,178,178,44773
0,0,487691,30,31,485538
0,0,477337,10,11,476408
1,0,828692,195,195,827244
0,0,909033,32,33,906619
0,0,1062,3,4,1
1,0,15153,209,209,12949
1,0,81519,11,12,79698
1,0,65232,218,218,62692
0,0,710857,49,50,709519
1,0,76316,28,29,74154
0,0,799420,225,225,796943
1,0,7491,128,128,5182
1,0,2056,50,51,2
0,0,4947,45,46,2638
1,0,441740,93,94,439797
0,0,2326647,17,18,2325364
0,0,777368,224,224,775140
1,0,51771,234,234,49540
1,0,59089,40,41,56687
0,0,552888,219,219,550654
1,0,79561,119,119,77369
0,0,1451239,130,130,1449053
0,0,1009290,44,45,1006993
1,0,170211,124,124,168412
1,0,4516,54,55,3179
0,0,611448,112,112,610807
1,0,5046,159,159,2860
0,0,1375691,121,121,1373202
1,0,27070,142,142,24536
1,0,224206,202,202,222371
0,0,689616,82,83,687517
1,0,372955,230,230,370655
0,0,1204656,198,198,1202680
1,0,11060,143,143,8994
1,0,2096,147,147,747
0,0,1138,5,6,2
1,0,8253,103,104,6340
0,0,1189025,189,189,1186812
0,0,496899,102,103,495853
1,0,1474,16,17,101
0,0,1039862,77,78,1037046
1,0,20107,69,70,17801
1,0,14203,58,59,11819
1,0,391932,7,8,389746
0,0,3932,162,162,1401
0,0,915393,63,64,914149
0,0,682195,70,71,679628
0,0,394758,20,21,393970
0,0,580782,169,169,579763
1,0,4883,41,42,2628
1,0,519612,205,205,517492
0,0,2976,164,164,781
0,0,1159648,145,145,1157084
1,0,7454,53,54,5259
1,0,654471,76,77,652312
0,0,2907,35,36,667
1,0,27924,6,7,26149
1,0,1705791,89,90,1703299
1,0,3230,129,129,921
0,0,2152,9,10,38
0,0,507624,192,192,505363
0,0,459000,174,174,456733
0,0,123424,232,232,121439
0,0,805063,180,180,803291
1,0,3147,42,43,535
0,0,7548,55,56,5362
0,0,11573,110,111,9210
1,0,369509,62,63,367296
0,0,707127,48,49,704929
1,0,351915,201,201,350539
1,0,6111,23,24,4843
1,0,299939,227,227,297915
