CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,MemoireDuCyclismeCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,LanguagesSpoken,FirstCyclingRiderId,HeightCm,FreebaseId
4,0,56070,20777,8,203494.0,179769,8,,4,11,86568,71.0,20,133261.0,14,9,79781,8,18575,180.0,22
4,22,41076,13362,22,56034.0,139405,22,54866.0,10,21,65995,70.0,17,,0,22,51551,5,3277,177.0,9
0,21,8424,6784,16,226627.0,140342,16,6756.0,15,0,45024,82.0,13,,10,17,18093,3,1007,188.0,17
3,20,5546,500,21,,139888,21,11794.0,9,13,12889,81.0,2,,5,21,5031,3,621,177.0,19
4,16,2747,3448,17,1352523.0,140768,17,2120.0,8,6,32923,70.0,8,113223.0,2,18,16824,1,14,175.0,13
0,3,43344,16653,2,63128.0,140818,2,45469.0,1,4,64670,78.0,18,125020.0,3,3,52068,2,2337,181.0,20
4,23,7231,1018,10,37470.0,140773,10,13104.0,6,7,16436,72.5,0,14710.0,9,12,7583,5,379,181.0,15
3,12,13726,1544,14,,140792,14,8944.0,9,2,28339,78.0,9,126473.0,17,15,10314,5,375,184.0,6
3,2,1960,415,3,,140755,3,1494.0,9,9,14647,70.0,3,111610.0,1,4,10908,7,387,178.0,3
4,13,6786,7776,12,15786.0,140393,12,12809.0,13,20,32845,78.0,11,,7,13,12878,4,605,189.0,8
3,8,6679,2086,0,170534.0,140786,0,12728.0,0,16,22143,82.0,5,125460.0,6,0,9414,3,377,184.0,16
4,4,10770,7089,4,,140301,4,15551.0,9,15,45955,70.0,12,113241.0,11,5,16714,1,767,181.0,1
3,15,58428,21992,15,23650.0,168776,15,,7,18,86895,,22,,15,16,77835,5,16793,179.0,0
3,5,2453,73,7,475000.0,140846,7,1844.0,12,22,15924,81.0,4,103662.0,14,8,703,5,12,186.0,10
4,18,13512,3347,19,15367.0,140776,19,17512.0,17,5,896277,68.0,6,124131.0,16,2,16686,5,624,175.0,14
3,17,55710,21145,18,20655.0,132339,18,69005.0,16,10,86863,70.0,21,135862.0,12,19,71405,7,16687,185.0,11
3,11,46958,13863,9,,140739,9,28971.0,9,14,58761,72.0,15,,13,10,38022,4,2982,184.0,18
3,7,65955,26396,23,12337.0,189441,23,,11,3,92304,,23,,14,23,110201,8,41293,186.0,22
1,6,46049,19242,5,,139823,5,39932.0,2,19,69149,80.0,19,,14,6,43239,5,7730,183.0,21
0,9,6978,4377,6,7658.0,140865,6,1203.0,3,17,198213,76.0,10,111607.0,8,7,18964,5,31,181.0,4
3,10,16313,3333,11,134950.0,140752,11,19461.0,5,12,44513,74.0,7,126409.0,20,11,18746,0,150,181.0,2
4,14,24737,12251,13,,140234,13,9357.0,14,8,46264,77.0,14,113197.0,19,14,20642,5,843,189.0,7
3,1,5770,266,1,,139813,1,12038.0,9,1,24674,,1,,4,1,5397,4,142,,5
2,19,26009,12193,20,1940308.0,140797,20,9096.0,18,23,54603,78.0,16,125137.0,18,20,30229,6,784,184.0,12
