Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,12688657,52,4,0,2,12687579,0
0,2176074,8,3,0,1,2173822,0
0,3332030,18,3,0,2,3330351,1
0,8184305,33,3,0,1,8183049,1
0,22366722,86,3,0,3,22365805,1
0,18034173,71,8,0,3,18033193,0
0,14022240,58,4,0,1,14021446,0
0,11725924,49,4,0,2,11723685,1
0,2409527,11,3,0,2,2408865,1
0,22780026,90,8,0,3,22779001,0
0,2956426,16,6,0,2,2955563,1
0,6934931,30,4,0,2,6934113,1
0,16426637,63,3,0,2,16424412,1
0,16563937,67,3,0,2,16562831,1
0,4427449,22,3,0,1,4425197,0
0,20342521,74,3,0,3,20341259,1
0,9869998,41,3,0,2,9867056,1
0,1047729,7,6,0,1,1047100,0
0,4868024,24,3,0,1,4867473,0
0,11448216,47,3,0,1,11446408,1
0,3393019,19,3,0,2,3390758,0
0,23802860,95,4,0,2,23802345,0
0,4172542,20,3,0,1,4171208,0
0,11996370,51,4,0,1,11994619,0
0,24301722,98,3,0,3,24299593,1
1,505867,3,1,1,0,504683,0
0,11898553,50,3,0,1,11896367,0
0,13398519,55,3,0,1,13396177,1
0,6650810,29,6,0,2,6649504,1
0,8804662,36,8,0,1,8802437,1
0,5436724,26,4,0,2,5435818,0
1,2564774,12,5,1,4,2562631,0
0,12831055,53,3,0,2,12829310,1
0,5271180,25,3,0,1,5270266,0
0,23447838,92,8,0,2,23447218,1
0,1016782,5,3,0,2,1014533,1
1,23802012,94,7,1,0,23801011,0
0,8028195,32,3,0,1,8026444,0
0,20485261,75,3,0,2,20483000,1
0,12836026,54,3,0,1,12834782,1
0,21211189,79,3,0,2,21210206,0
1,21783921,83,7,1,4,21781632,0
0,1021038,6,3,0,1,1018726,0
0,2207377,9,3,0,1,2205470,0
0,22435858,87,3,0,5,22433813,1
0,459187,2,4,0,1,458294,0
1,2569869,13,0,1,0,2567808,0
0,6392825,28,3,0,2,6390597,0
0,13837817,57,3,0,2,13836696,0
0,20509228,76,8,0,3,20508290,1
1,625564,4,5,1,0,623563,0
0,15552221,62,3,0,1,15549750,0
0,22028199,85,4,0,3,22026512,0
0,22708989,88,3,0,2,22707574,1
0,9613514,40,3,0,2,9612390,0
0,9006166,37,6,0,2,9005404,0
0,16508468,65,3,0,2,16506867,1
0,8623885,34,4,0,1,8621853,1
0,16554165,66,3,0,3,16551901,1
0,11372104,46,4,0,1,11370677,1
0,23973217,97,3,0,3,23972078,1
0,15485527,61,3,0,2,15483887,0
0,20802281,77,4,0,3,20801291,0
0,7083780,31,3,0,1,7082506,1
1,10376605,43,5,1,0,10374419,0
0,18081210,72,3,0,2,18078931,1
0,8798973,35,8,0,2,8796721,1
0,17714007,70,3,0,3,17711731,1
0,23838762,96,3,0,3,23836501,1
0,10143236,42,3,0,2,10141842,0
1,14402075,60,5,1,4,14401099,0
0,4795291,23,6,0,1,4794295,1
0,23794678,93,4,0,3,23793193,1
0,10637386,44,3,0,1,10636079,1
0,11464520,48,4,0,1,11462589,0
0,21705992,82,4,0,2,21705274,0
0,6168822,27,4,0,2,6167727,0
0,4287060,21,3,0,2,4285357,1
0,22756821,89,3,0,3,22754536,0
0,49903,0,3,0,2,48200,0
0,9176690,39,6,0,1,9175716,1
0,2921001,15,3,0,2,2918737,1
0,239835,1,4,0,1,239235,0
0,3263510,17,3,0,1,3262518,1
0,21479783,81,3,0,3,21478365,0
0,21130236,78,3,0,2,21127996,1
0,17420742,69,3,0,3,17418463,0
0,22835806,91,4,0,3,22834331,1
0,14023398,59,4,0,2,14022418,0
1,17296111,68,5,1,4,17294360,0
0,16505641,64,3,0,2,16503965,1
0,24595701,99,2,0,2,24593912,0
0,2719577,14,3,0,1,2718561,0
1,11181620,45,7,1,4,11179739,0
0,13567233,56,4,0,1,13566216,0
0,21997160,84,8,0,2,21996177,0
0,2408736,10,4,0,1,2407756,1
0,19120773,73,3,0,3,19118842,0
0,9015817,38,6,0,2,9013593,0
0,21301605,80,8,0,3,21300769,0
