sport_type,host_country,commons_category,pro_cycling_stats_race_id,google_knowledge_graph_id,event_image,start_location,previous_event,event_description,official_website,team_list,participant_count,main_category,event_name,main_template,end_location,next_event,edition_number
0,0,0,,8,1,7,13,6,0,1,,6,14,4,3,13,
1,1,7,247301.0,7,3,6,8,4,0,4,176.0,5,8,3,4,8,107.0
1,5,9,171127.0,1,7,8,5,5,2,1,198.0,3,5,0,1,5,72.0
1,4,2,,6,1,7,9,8,0,1,,9,9,0,3,9,5.0
1,4,2,,8,1,7,10,8,0,1,,9,10,0,3,10,6.0
1,5,8,,8,2,7,12,10,8,1,,8,13,6,3,12,
1,1,5,171088.0,0,5,2,4,7,4,0,198.0,2,4,0,4,4,104.0
1,5,2,173152.0,3,1,4,6,8,1,1,116.0,9,6,0,1,6,30.0
1,3,2,164129.0,2,1,3,3,9,5,1,132.0,9,3,0,2,2,21.0
1,2,2,164399.0,4,1,9,2,2,6,1,142.0,9,2,0,0,3,40.0
1,1,3,,8,8,7,12,11,9,2,,7,12,5,3,12,
1,1,4,124228.0,8,4,5,1,1,3,1,198.0,1,1,1,4,1,101.0
0,0,0,,8,1,7,13,6,0,1,,6,14,4,3,13,
1,4,2,,6,1,7,9,8,0,1,,9,9,0,3,9,5.0
1,2,1,139069.0,8,0,0,0,0,7,1,198.0,0,0,0,5,0,97.0
1,1,6,210024.0,5,6,1,7,3,9,3,176.0,4,7,2,4,7,106.0
1,1,3,,8,8,7,12,11,9,2,,7,12,5,3,12,
1,1,7,247301.0,7,3,6,8,4,0,4,176.0,5,8,3,4,8,107.0
1,4,2,,8,1,7,10,8,0,1,,9,10,0,3,10,6.0
1,4,2,,8,1,7,11,8,0,1,,9,11,0,3,11,7.0
1,1,6,210024.0,5,6,1,7,3,9,3,176.0,4,7,2,4,7,106.0
1,2,1,139069.0,8,0,0,0,0,7,1,198.0,0,0,0,5,0,97.0
1,5,9,171127.0,1,7,8,5,5,2,1,198.0,3,5,0,1,5,72.0
1,4,2,,6,1,7,9,8,0,1,,9,9,0,3,9,5.0
1,4,2,,8,1,7,11,8,0,1,,9,11,0,3,11,7.0
1,1,6,210024.0,5,6,1,7,3,9,3,176.0,4,7,2,4,7,106.0
1,1,5,171088.0,0,5,2,4,7,4,0,198.0,2,4,0,4,4,104.0
1,5,9,171127.0,1,7,8,5,5,2,1,198.0,3,5,0,1,5,72.0
