SportType,StageLabel,HostCountry,StageDistanceKm,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription
1,6,4,196.3,21,4,23,4,6,4,6,4,18,6
1,15,11,180.0,12,20,19,9,11,13,17,2,5,5
1,7,0,200.4,6,9,9,4,7,3,7,4,6,2
1,30,3,195.0,8,20,20,17,27,24,35,0,15,7
1,5,1,878.3,33,0,5,2,5,37,5,4,3,6
1,27,1,12.2,2,18,18,16,24,26,27,1,14,2
1,13,11,167.0,12,20,6,9,9,11,35,0,4,3
1,35,1,178.4,17,20,8,21,29,36,30,3,16,2
1,24,4,198.0,9,20,26,15,22,22,23,1,21,2
1,39,8,186.3,27,19,17,25,34,32,33,1,13,2
1,10,12,185.9,32,5,1,8,14,8,10,4,0,6
1,8,9,257.5,11,16,27,5,8,5,8,4,22,6
1,42,5,169.8,7,20,27,6,38,9,35,0,22,0
1,22,4,291.0,20,7,15,14,21,21,19,4,11,6
1,26,1,222.6,18,20,25,16,23,25,35,0,20,2
1,14,11,190.0,12,20,7,9,10,12,16,1,4,4
1,9,0,198.3,15,8,13,8,13,7,9,4,10,6
1,0,1,837.0,29,0,31,0,0,37,0,4,25,6
1,38,2,32.2,10,21,0,22,32,35,32,2,13,2
1,16,11,172.0,12,17,29,9,12,14,18,3,5,1
1,23,7,156.5,28,17,2,13,20,20,22,1,0,2
1,31,10,165.0,22,20,17,18,40,23,35,0,13,2
1,20,12,181.0,24,17,21,10,16,19,21,2,13,8
1,37,2,163.7,4,20,16,22,31,34,31,1,12,2
1,4,5,196.0,13,15,22,1,4,1,4,4,17,6
1,17,0,180.5,25,2,32,12,39,16,13,4,26,6
1,3,6,877.0,5,12,1,1,3,37,3,4,0,2
1,32,13,196.9,31,6,28,20,30,29,25,4,23,6
1,29,1,167.3,30,20,14,16,26,28,29,3,14,2
1,25,1,,18,0,4,20,28,37,24,4,2,6
1,12,11,841.0,12,1,7,11,40,37,12,4,5,6
1,34,1,,0,0,16,24,36,37,26,4,12,6
1,41,11,147.0,19,20,11,3,40,6,35,0,8,2
1,21,0,264.7,1,13,24,12,19,17,15,4,19,6
1,11,6,267.5,26,16,27,7,17,10,11,4,22,6
1,36,8,190.0,34,3,3,23,37,31,35,4,1,2
1,18,4,291.0,20,7,30,12,18,15,14,4,24,6
1,1,6,175.3,16,11,10,0,1,0,1,4,7,2
0,33,4,194.1,35,14,12,19,33,30,35,4,9,2
1,2,6,173.9,16,10,17,1,2,2,2,4,13,2
1,19,12,149.0,3,17,17,10,15,18,20,1,13,8
1,40,8,203.1,14,20,17,25,35,33,34,2,13,2
1,28,1,239.3,23,20,25,16,25,27,28,2,14,2
