Gender,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Sport_Type,Birth_Place,Uci_Rider_Id,Profession,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
1,45,71935.0,28298.0,5,3,,192457.0,3,15,3,5,98774.0,1,66.0,48,29,,7,3,114071.0,6,45987.0,176.0,38,8
1,10,,29474.0,6,6,,215760.0,7,8,3,3,638202.0,1,,50,8,2502935.0,16,7,149604.0,7,92666.0,184.0,38,12
1,25,62729.0,23558.0,19,22,20811.0,181257.0,24,31,3,20,97437.0,1,75.0,40,19,142164.0,1,24,101407.0,1,27121.0,192.0,38,5
1,38,26009.0,12193.0,27,36,1940308.0,140797.0,37,34,2,50,54603.0,1,78.0,19,7,125137.0,33,36,30229.0,9,784.0,184.0,24,12
1,12,,19953.0,7,8,9081.0,137740.0,9,9,3,21,81980.0,1,76.0,34,0,,22,8,77405.0,4,14737.0,189.0,3,6
1,3,47885.0,18123.0,35,29,21399.0,139801.0,31,12,3,49,68832.0,1,71.0,27,31,1303133.0,40,30,58401.0,7,6309.0,179.0,2,5
1,4,46381.0,18610.0,3,21,77168.0,137427.0,23,23,1,37,71557.0,1,62.0,30,24,133837.0,0,23,63999.0,4,12474.0,173.0,1,12
1,17,23014.0,7606.0,0,5,95405.0,140501.0,6,37,5,36,45633.0,2,68.0,16,12,111629.0,36,6,20340.0,3,828.0,179.0,15,17
1,33,53778.0,21261.0,24,33,2006.0,174179.0,35,14,5,7,78098.0,1,74.0,35,11,,35,34,70986.0,7,21855.0,189.0,8,0
1,41,41076.0,13362.0,32,42,56034.0,139405.0,43,18,5,45,65995.0,1,70.0,22,5,,3,42,51551.0,7,3277.0,177.0,22,13
1,7,61538.0,24057.0,0,14,,177672.0,15,15,5,42,91640.0,1,82.0,42,32,136635.0,15,15,79184.0,6,27099.0,193.0,38,8
1,21,47965.0,17988.0,21,45,,138125.0,46,15,1,46,70962.0,0,74.0,33,22,,25,45,64279.0,2,8377.0,1.85,38,12
1,18,16313.0,3333.0,15,17,134950.0,140752.0,18,7,3,23,44513.0,1,74.0,11,6,126409.0,42,18,18746.0,2,150.0,181.0,12,2
1,31,14372.0,56.0,0,30,,140610.0,32,15,3,16,14262.0,1,63.0,2,33,,34,31,5274.0,6,27.0,174.0,13,8
1,49,54395.0,20730.0,37,48,252749.0,168961.0,49,22,1,13,75859.0,1,70.0,38,4,141009.0,46,48,74709.0,2,18258.0,187.0,7,2
1,50,15477.0,3348.0,33,50,101538.0,140665.0,51,41,1,34,27822.0,0,68.0,13,4,133422.0,50,50,13279.0,0,4669.0,183.0,17,4
1,22,19558.0,3828.0,16,18,65423.0,140870.0,20,30,2,12,34012.0,1,69.0,10,31,113255.0,14,20,21215.0,7,264.0,182.0,19,5
1,46,,16636.0,10,10,,138290.0,11,15,0,2,65007.0,1,72.0,26,2,,12,11,52713.0,7,6234.0,183.0,0,9
1,11,22663.0,5789.0,8,7,1529344.0,140869.0,8,27,3,30,43936.0,1,69.0,12,12,126950.0,13,9,22017.0,6,713.0,186.0,18,10
1,32,61866.0,23334.0,23,31,160840.0,185156.0,33,19,3,32,97634.0,1,65.0,36,2,133265.0,23,32,100717.0,11,35077.0,170.0,6,3
1,5,16289.0,5.0,4,2,470645.0,140924.0,2,25,3,29,14575.0,1,61.0,3,14,103634.0,41,2,7005.0,7,38.0,177.0,21,16
1,13,,31634.0,9,9,,262718.0,10,28,3,33,112281.0,1,,45,8,,5,10,170457.0,4,57961.0,184.0,38,12
1,16,65688.0,24926.0,14,13,465450.0,198937.0,14,3,3,48,95844.0,1,60.0,44,10,,4,14,100412.0,11,58275.0,175.0,38,3
1,34,,,0,34,,115140.0,4,15,0,31,26245.0,1,,5,21,,28,4,10521.0,7,,,38,12
1,26,7153.0,544.0,0,25,10861.0,140516.0,27,11,3,8,12974.0,1,81.0,1,28,,18,27,7364.0,3,547.0,190.0,14,0
1,15,44733.0,16677.0,0,46,213342.0,140118.0,47,38,0,24,73892.0,1,69.0,23,26,135249.0,9,46,64982.0,7,2324.0,185.0,31,11
1,42,41892.0,19165.0,0,32,16935.0,137797.0,34,13,1,47,66315.0,1,73.0,32,30,,37,33,43238.0,7,11313.0,184.0,5,12
1,6,69634.0,26526.0,34,44,5000.0,194619.0,45,20,3,19,149727.0,1,66.0,47,17,146565.0,31,44,115790.0,10,45992.0,176.0,38,14
1,1,7764.0,1237.0,11,11,41367.0,140800.0,12,29,3,17,29164.0,1,70.0,9,28,120395.0,20,12,10911.0,3,706.0,183.0,23,15
1,39,56041.0,20719.0,29,38,127549.0,174582.0,39,35,4,40,88889.0,1,65.0,18,30,135863.0,32,38,72449.0,10,18655.0,177.0,36,12
0,37,39004.0,,25,35,47028.0,138497.0,36,5,2,35,66298.0,1,,28,16,125024.0,11,35,60878.0,4,89540.0,,32,12
