Profession,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,CyclistName,UciRiderId,CyclistDescription,CyclingArchivesCyclistId
1,45,48,71935.0,28298.0,7,3,45987.0,176.0,3,192457.0,5,3,98774.0,21,114071.0
1,10,50,,29474.0,16,7,92666.0,184.0,6,215760.0,3,7,638202.0,15,149604.0
1,25,40,62729.0,23558.0,1,24,27121.0,192.0,22,181257.0,20,24,97437.0,11,101407.0
1,38,19,26009.0,12193.0,33,36,784.0,184.0,36,140797.0,50,37,54603.0,27,30229.0
1,12,34,,19953.0,22,8,14737.0,189.0,8,137740.0,21,9,81980.0,16,77405.0
1,3,27,47885.0,18123.0,40,30,6309.0,179.0,29,139801.0,49,31,68832.0,10,58401.0
1,4,30,46381.0,18610.0,0,23,12474.0,173.0,21,137427.0,37,23,71557.0,17,63999.0
2,17,16,23014.0,7606.0,36,6,828.0,179.0,5,140501.0,36,6,45633.0,5,20340.0
1,33,35,53778.0,21261.0,35,34,21855.0,189.0,33,174179.0,7,35,78098.0,0,70986.0
1,41,22,41076.0,13362.0,3,42,3277.0,177.0,42,139405.0,45,43,65995.0,20,51551.0
1,7,42,61538.0,24057.0,15,15,27099.0,193.0,14,177672.0,42,15,91640.0,21,79184.0
0,21,33,47965.0,17988.0,25,45,8377.0,1.85,45,138125.0,46,46,70962.0,3,64279.0
1,18,11,16313.0,3333.0,42,18,150.0,181.0,17,140752.0,23,18,44513.0,3,18746.0
1,31,2,14372.0,56.0,34,31,27.0,174.0,30,140610.0,16,32,14262.0,23,5274.0
1,49,38,54395.0,20730.0,46,48,18258.0,187.0,48,168961.0,13,49,75859.0,3,74709.0
0,50,13,15477.0,3348.0,50,50,4669.0,183.0,50,140665.0,34,51,27822.0,8,13279.0
1,22,10,19558.0,3828.0,14,20,264.0,182.0,18,140870.0,12,20,34012.0,12,21215.0
1,46,26,,16636.0,12,11,6234.0,183.0,10,138290.0,2,11,65007.0,25,52713.0
1,11,12,22663.0,5789.0,13,9,713.0,186.0,7,140869.0,30,8,43936.0,4,22017.0
1,32,36,61866.0,23334.0,23,32,35077.0,170.0,31,185156.0,32,33,97634.0,7,100717.0
1,5,3,16289.0,5.0,41,2,38.0,177.0,2,140924.0,29,2,14575.0,31,7005.0
1,13,45,,31634.0,5,10,57961.0,184.0,9,262718.0,33,10,112281.0,18,170457.0
