Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,13483838,100,100,0,13482798,1
0,10815148,84,84,1,10814110,1
0,6955492,54,54,0,6953756,0
0,8380600,65,65,1,8379902,1
0,9240256,75,75,4,9238329,1
0,9377132,78,78,4,9376461,0
0,3221626,27,27,4,3220494,0
0,2102690,15,15,10,2100093,1
0,20755404,143,143,1,20753741,0
0,12160930,92,92,7,12160046,1
0,2680808,19,19,15,2679423,0
0,1401408,10,10,0,1400647,0
0,20867515,144,144,0,20866022,0
0,9200825,74,74,4,9199485,1
1,6638754,53,53,3,6637225,0
0,6441604,52,52,1,6440312,0
0,15741,0,0,17,14537,1
0,18526135,133,133,0,18525296,0
0,5430215,43,43,21,5429553,0
0,9310089,76,76,1,9309220,0
0,17383110,123,123,4,17381675,1
0,23649517,155,155,1,23648664,1
0,6362947,51,51,4,6361372,1
0,12665749,96,96,0,12664313,1
0,20333137,141,141,0,20331131,0
0,2737107,20,20,4,2736457,1
0,981427,6,6,4,980799,0
1,3054496,24,24,3,3053067,0
0,2642795,18,18,15,2641014,0
0,3511059,31,31,4,3509868,0
0,14412758,108,108,22,14411913,0
0,23514561,154,154,0,23513521,1
0,15376311,113,113,17,15375121,0
0,4838125,39,39,8,4836803,0
0,12246771,93,93,1,12245099,0
0,18735986,134,134,14,18734498,0
0,7567593,59,59,0,7566580,1
0,3453161,30,30,0,3451287,0
0,18766836,135,135,1,18765534,1
0,7857029,61,61,0,7856016,1
0,13282465,99,99,24,13280789,0
0,2579015,16,16,10,2576673,0
0,14839696,111,111,1,14837926,0
0,11412405,86,86,1,11411355,0
0,13967339,105,105,15,13965975,0
0,34835,165,165,18,33567,1
0,7776355,60,60,0,7775540,1
1,4299137,34,34,3,4297472,1
0,13580138,101,101,1,13578653,1
0,11497432,88,88,1,11496159,0
0,8750931,70,70,0,8750116,0
1,8422594,66,66,2,8420066,0
0,14931220,112,112,0,14928527,0
0,3097194,25,25,0,3096508,0
0,12488986,94,94,1,12486822,1
0,6016720,47,47,1,6015477,1
0,1662089,13,13,4,1659698,1
0,14479105,110,110,1,14478302,0
0,11473094,87,87,0,11472201,1
0,2912105,22,22,0,2911437,1
0,938369,5,5,1,937674,0
0,24218799,160,160,0,24217882,0
0,18429380,131,131,1,18428231,1
0,421354,1,1,10,418907,0
0,2597044,17,17,13,2596686,1
0,22342311,151,151,0,22341328,1
0,23902858,158,158,1,23901544,1
0,15398283,114,114,0,15396637,1
0,42748,167,167,13,41047,1
0,2862968,21,21,4,2861630,1
0,11737964,91,91,1,11736173,0
0,16416071,119,119,19,16413631,1
0,23866829,157,157,1,23865703,1
0,16025845,118,118,7,16025135,0
0,11600931,89,89,1,11599714,1
1,563875,4,4,5,561461,0
0,6088421,48,48,0,6085950,0
0,13013122,98,98,0,13011857,0
0,16835079,120,120,20,16833925,1
0,19131431,137,137,10,19128978,1
0,6835,163,163,13,4667,1
0,21425326,148,148,0,21423191,1
0,17573162,126,126,0,17572161,0
0,6956172,55,55,1,6955569,0
0,17736253,128,128,1,17735340,0
0,6283351,50,50,1,6282458,0
0,4102721,33,33,11,4101290,1
1,14476110,109,109,2,14473687,0
0,3312359,29,29,0,3311109,1
0,12849258,97,97,1,12848426,1
0,2003214,14,14,4,2002366,0
1,17401205,124,124,12,17399302,1
0,16920482,121,121,17,16919435,1
0,8297673,63,63,1,8296462,1
0,3235158,28,28,1,3233849,1
0,19651669,139,139,0,19648997,0
0,4365383,35,35,21,4363173,1
1,9136441,73,73,12,9134295,0
0,17627223,127,127,1,17625592,1
1,3802426,32,32,12,3800009,0
0,15431493,115,115,9,15429022,1
1,40361,166,166,16,37650,1
0,10601584,81,81,1,10600723,1
0,5210452,41,41,23,5209340,1
0,13980614,106,106,1,13979644,1
0,21703774,149,149,1,21701900,0
0,18038313,129,129,1,18037247,1
0,23311866,153,153,1,23310921,0
0,4622430,37,37,21,4620634,1
0,8068432,62,62,1,8066724,0
0,3049161,23,23,23,3048399,0
0,424362,2,2,20,423166,0
0,10835283,85,85,0,10832824,1
1,8836279,71,71,6,8834339,1
