SportType,ProCyclingStatsRaceId,EditionNumber,StartLocation,EndLocation
1,164282.0,10.0,17,6
1,,5.0,11,4
1,,,11,4
1,170952.0,11.0,17,8
1,124228.0,101.0,7,5
1,163622.0,80.0,8,1
1,,5.0,11,4
1,247301.0,107.0,9,5
1,150005.0,70.0,15,2
1,171088.0,104.0,3,5
1,247301.0,107.0,9,5
1,,,11,4
1,,,11,4
1,139069.0,97.0,0,7
1,170952.0,11.0,17,8
1,164399.0,40.0,16,0
1,,6.0,11,4
1,,14.0,11,4
1,111269.0,66.0,1,2
1,171088.0,104.0,3,5
1,164282.0,10.0,17,6
1,181554.0,105.0,10,5
1,247301.0,107.0,9,5
1,,,11,4
1,139069.0,97.0,0,7
1,,,11,4
1,,6.0,11,4
1,171127.0,72.0,12,2
1,163622.0,80.0,8,1
1,171088.0,104.0,3,5
1,,4.0,11,4
1,,14.0,11,4
1,163768.0,71.0,13,2
1,111269.0,66.0,1,2
1,247301.0,107.0,9,5
1,,5.0,11,4
1,,5.0,11,4
1,164129.0,21.0,5,3
1,101051.0,92.0,4,5
1,171088.0,104.0,3,5
1,,,11,4
1,163768.0,71.0,13,2
1,164129.0,21.0,5,3
1,,4.0,11,4
1,,13.0,11,4
1,,,11,4
1,210024.0,106.0,2,5
1,210024.0,106.0,2,5
1,210068.0,74.0,18,2
1,113440.0,67.0,14,2
1,163736.0,103.0,6,5
0,,,11,4
1,,5.0,11,4
1,170952.0,11.0,17,8
1,,,11,4
1,171088.0,104.0,3,5
1,163736.0,103.0,6,5
1,124228.0,101.0,7,5
1,163622.0,80.0,8,1
1,247301.0,107.0,9,5
1,181554.0,105.0,10,5
1,124228.0,101.0,7,5
1,111269.0,66.0,1,2
1,171127.0,72.0,12,2
1,210068.0,74.0,18,2
1,139069.0,97.0,0,7
