SportType,ProCyclingStatsRaceId,EditionNumber,StartLocation,EndLocation
1,290123.0,108.0,3,39
1,213193.0,3.0,25,20
1,221278.0,63.0,5,47
1,264492.0,16.0,1,12
1,170953.0,72.0,46,58
1,221197.0,,26,15
1,268336.0,,37,55
1,,,32,26
1,280401.0,,40,28
1,150825.0,109.0,14,54
1,279383.0,,0,19
1,255695.0,118.0,16,44
1,181881.0,,44,42
1,279588.0,,15,8
1,164467.0,62.0,18,13
1,247169.0,104.0,3,39
1,248688.0,64.0,61,49
1,218501.0,,36,33
1,171107.0,,42,22
1,278771.0,90.0,20,20
1,209938.0,117.0,16,44
1,,,10,6
1,221274.0,,5,2
1,268313.0,119.0,16,44
1,181832.0,1.0,41,62
1,171101.0,,34,31
1,280444.0,18.0,1,12
1,181773.0,,45,48
1,268332.0,,47,37
1,247154.0,44.0,13,11
1,172289.0,23.0,39,52
1,181769.0,,56,56
1,149887.0,113.0,16,44
1,171099.0,,57,57
1,209992.0,,35,32
1,,,38,28
1,270456.0,,58,59
1,164573.0,86.0,7,53
1,255626.0,105.0,3,39
1,219068.0,71.0,33,29
1,279388.0,18.0,9,4
1,248686.0,,4,63
1,292831.0,21.0,43,40
1,253249.0,,61,64
1,247166.0,82.0,60,60
1,256742.0,10.0,11,23
1,221277.0,,30,47
1,256143.0,90.0,7,3
1,247349.0,,45,43
1,280403.0,,19,14
1,272198.0,29.0,59,61
1,221198.0,,21,17
1,256579.0,,51,46
1,247131.0,75.0,24,36
1,279382.0,,50,50
1,248687.0,,53,49
1,270176.0,,40,34
1,209929.0,74.0,46,58
1,280407.0,92.0,49,9
1,247346.0,,9,1
1,268333.0,,55,51
1,,8.0,22,16
1,221199.0,34.0,28,17
1,182042.0,31.0,8,5
1,,52.0,31,27
1,268331.0,,17,10
1,180796.0,61.0,29,25
0,,7.0,52,21
1,,,2,30
1,279314.0,26.0,27,24
1,280915.0,82.0,54,35
1,270563.0,89.0,23,18
1,279106.0,47.0,13,11
1,279601.0,39.0,48,45
1,174321.0,111.0,12,54
1,247348.0,,0,0
1,268335.0,,18,7
1,171106.0,,42,38
1,279384.0,,6,41
1,247353.0,16.0,9,19
