ViafId,GndId,LibraryOfCongressAuthorityId
127756949.0,4,5
129679518.0,0,6
157021581.0,1,9
157021581.0,1,9
189116956.0,2,8
153009195.0,7,7
236812499.0,9,0
236812499.0,9,0
264091107.0,3,2
133609710.0,8,3
129679518.0,0,6
127756949.0,4,5
152361066.0,5,4
152361066.0,5,4
156652814.0,9,0
152361066.0,5,4
153009195.0,7,7
133609710.0,8,3
189116956.0,2,8
156652814.0,6,1
129679518.0,0,6
264091107.0,3,2
153009195.0,7,7
133609710.0,8,3
153009195.0,7,7
156652814.0,9,0
133609710.0,8,3
189116956.0,2,8
127756949.0,4,5
156652814.0,9,0
236812499.0,9,0
