Cycling_Discipline,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Native_Name,Weight_Kg,Birth_Date,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Events_Participated,Height_Cm,Cycling_Sport,Sport_Country
0,13,27794.0,12923.0,3,8,156620.0,140821,8,9,4,58528,2,65.0,9,10,8,36053,2961.0,8,176.0,1,7
0,16,6263.0,45.0,4,10,247878.0,140855,10,2,15,24166,5,70.0,1,8,10,4177,174.0,0,179.0,1,7
0,7,44733.0,16677.0,0,15,213342.0,140118,15,13,8,73892,9,69.0,10,4,15,64982,2324.0,4,185.0,0,6
0,4,19479.0,8649.0,0,0,9972.0,140208,0,0,11,54831,3,68.0,5,12,0,22615,791.0,8,182.0,1,3
0,2,38554.0,15171.0,8,17,40636.0,140391,17,5,1,64730,11,65.0,11,9,17,36834,2165.0,3,185.0,1,6
0,10,39412.0,16466.0,0,5,24536.0,140241,5,10,6,62912,3,78.0,12,5,5,44004,2327.0,6,187.0,2,0
0,17,58050.0,20184.0,0,16,,135591,16,1,16,89133,10,72.5,14,1,16,71225,19274.0,9,173.0,1,1
0,6,22663.0,5789.0,1,1,1529344.0,140869,1,6,9,43936,0,69.0,4,6,1,22017,713.0,2,186.0,1,4
0,1,11476.0,6909.0,0,11,,140842,11,1,17,45055,6,77.0,6,13,11,18730,1709.0,8,190.0,1,5
0,5,56664.0,20678.0,0,9,20194.0,132382,9,11,3,72234,4,73.0,15,3,9,66001,,10,1.81,2,8
0,15,47214.0,16722.0,7,14,34792.0,140674,14,4,13,64531,3,71.0,13,15,14,52973,6228.0,10,183.0,0,1
0,11,,,0,6,,167369,6,1,10,97669,3,,3,11,6,68655,15073.0,7,,1,2
0,3,61538.0,24057.0,0,3,,177672,3,1,14,91640,1,82.0,17,7,3,79184,27099.0,10,193.0,2,3
1,0,28095.0,12823.0,6,12,,137337,12,3,0,58891,7,71.0,8,2,12,34412,2322.0,9,182.0,2,0
1,9,39287.0,13240.0,2,2,66281.0,140835,2,7,7,55029,3,67.0,7,14,2,21075,1310.0,9,178.0,2,3
0,8,16742.0,3795.0,0,4,12886.0,140268,4,8,12,45199,3,74.0,2,16,4,20181,729.0,1,186.0,1,6
0,14,58116.0,22910.0,5,13,15237.0,170625,13,12,5,99713,8,78.0,16,13,13,81488,27111.0,5,186.0,1,7
0,12,171.0,311.0,0,7,,140861,7,1,2,14494,3,65.0,0,0,7,118,91.0,9,172.0,1,7
