Sport_Type,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Description,Birth_Place,Uci_Rider_Id,Native_Name,Languages,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Sport_Country
0,15,68254.0,25653.0,11,22010.0,195439,0,1,88346.0,6,0,64.0,5,6,,2,11,105482,48008.0,180.0,9
0,7,,27653.0,1,9263.0,203488,11,12,155023.0,3,3,,14,13,145689.0,4,1,121435,66973.0,185.0,6
0,5,22917.0,6177.0,3,25109.0,140232,10,6,45643.0,3,2,65.0,0,1,134607.0,1,3,20659,1006.0,179.0,5
0,1,69634.0,26526.0,12,5000.0,194619,13,2,149727.0,7,5,66.0,12,7,146565.0,13,12,115790,45992.0,176.0,8
0,4,62259.0,24110.0,2,1447.0,181212,8,0,250807.0,3,1,,8,3,,9,2,94988,27301.0,184.0,6
0,0,43386.0,14310.0,10,35954.0,140509,12,14,53804.0,5,4,62.0,1,8,135495.0,5,10,36343,3991.0,173.0,7
0,3,80654.0,,0,,202483,9,9,157221.0,0,2,60.0,13,11,,0,0,121401,65240.0,176.0,5
0,13,41885.0,13080.0,13,142323.0,140628,8,3,64737.0,8,1,65.0,3,4,,12,13,58535,860.0,180.0,4
0,2,52879.0,19448.0,8,15757.0,132428,3,7,73817.0,3,3,,4,10,1303134.0,7,8,71390,7695.0,184.0,6
0,10,66256.0,25157.0,6,22666.0,189438,5,10,96372.0,2,3,65.0,10,5,2103277.0,8,6,97448,41249.0,174.0,3
0,6,62573.0,23503.0,4,54522.0,181270,2,8,92264.0,3,6,63.0,9,14,141954.0,6,4,91205,27124.0,174.0,1
0,5,22917.0,6177.0,3,25109.0,140232,10,6,45643.0,3,2,65.0,0,1,134607.0,1,3,20659,1006.0,179.0,5
0,10,66256.0,25157.0,6,22666.0,189438,5,10,96372.0,2,3,65.0,10,5,2103277.0,8,6,97448,41249.0,174.0,3
1,12,56041.0,20719.0,9,127549.0,174582,14,11,88889.0,4,5,65.0,2,12,135863.0,14,9,72449,18655.0,177.0,6
0,7,,27653.0,1,9263.0,203488,11,12,155023.0,3,3,,14,13,145689.0,4,1,121435,66973.0,185.0,6
0,9,,26392.0,5,,193131,1,5,148275.0,1,3,69.0,11,0,,11,5,89152,45363.0,176.0,0
0,14,62257.0,26197.0,15,,181203,6,4,136296.0,9,1,65.0,7,2,,3,15,105159,38937.0,177.0,4
0,8,,,14,,217665,7,0,675098.0,3,1,,15,3,,9,14,151104,97944.0,,6
0,11,58428.0,21992.0,7,23650.0,168776,4,13,86895.0,3,3,,6,9,,10,7,77835,16793.0,179.0,2
0,1,69634.0,26526.0,12,5000.0,194619,13,2,149727.0,7,5,66.0,12,7,146565.0,13,12,115790,45992.0,176.0,8
