Sport_Type,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Description,Birth_Place,Uci_Rider_Id,Native_Name,Languages,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Sport_Country
1,9,39897.0,12748.0,8,1741.0,138849,16,8,64864,4,6,67.0,8,9,146564.0,13,9,54755,3050,173,7
3,15,58495.0,22516.0,2,,168779,2,19,86813,9,2,72.0,15,6,,5,3,78350,16783,181,9
1,18,49272.0,17881.0,16,13864.0,140294,14,5,76092,10,0,56.0,9,5,,1,16,38092,4863,169,8
1,10,,26392.0,9,,193131,0,10,148275,5,4,69.0,17,0,,8,10,89152,45363,176,0
0,6,39941.0,10070.0,6,,140615,14,12,33579,2,0,67.0,4,10,142501.0,3,7,14215,872,177,8
1,3,17747.0,1992.0,5,35988.0,140399,7,17,31056,9,3,63.0,1,10,,17,6,11476,486,175,3
0,8,52110.0,19577.0,11,,150271,1,14,75262,9,4,66.0,13,3,,18,12,65915,9073,183,4
1,16,57472.0,21342.0,18,317302.0,178184,5,4,91656,9,4,62.0,12,1,142266.0,7,18,66785,23097,170,2
1,1,69634.0,26526.0,19,5000.0,194619,10,6,149727,12,6,66.0,18,9,146565.0,9,19,115790,45992,176,7
1,4,16313.0,3333.0,7,134950.0,140752,0,9,44513,3,1,74.0,2,3,126409.0,15,8,18746,150,181,0
1,11,55710.0,21145.0,12,20655.0,132339,11,7,86863,6,6,70.0,14,15,135862.0,6,13,71405,16687,185,7
1,7,41199.0,8921.0,10,11850.0,140191,9,1,69192,9,4,,5,4,,4,11,58138,920,185,4
1,4,16313.0,3333.0,7,134950.0,140752,0,9,44513,3,1,74.0,2,3,126409.0,15,8,18746,150,181,0
1,0,16289.0,5.0,1,470645.0,140924,13,11,14575,9,4,61.0,0,8,103634.0,14,1,7005,38,177,8
1,1,69634.0,26526.0,19,5000.0,194619,10,6,149727,12,6,66.0,18,9,146565.0,9,19,115790,45992,176,7
3,5,19255.0,3891.0,4,508772.0,140196,15,3,32532,1,2,71.0,3,7,113194.0,12,5,11292,716,183,9
1,2,62205.0,23765.0,3,9170.0,181466,6,0,97939,0,4,,16,11,143896.0,2,4,94397,27283,170,6
0,6,39941.0,10070.0,6,,140615,14,12,33579,2,0,67.0,4,10,142501.0,3,7,14215,872,177,8
2,14,56041.0,20719.0,17,127549.0,174582,12,15,88889,11,6,65.0,6,14,135863.0,11,17,72449,18655,177,4
2,14,56041.0,20719.0,17,127549.0,174582,12,15,88889,11,6,65.0,6,14,135863.0,11,17,72449,18655,177,4
1,12,75207.0,,13,,205970,0,13,154227,7,4,,19,12,141006.0,16,14,104359,70034,175,0
1,2,62205.0,23765.0,3,9170.0,181466,6,0,97939,0,4,,16,11,143896.0,2,4,94397,27283,170,6
1,17,39842.0,12843.0,14,1311517.0,140292,4,16,67388,8,7,58.0,7,2,141955.0,10,15,57418,2276,166,1
0,13,,13313.0,15,,138189,8,18,439866,9,5,70.0,10,16,,0,2,87421,8551,171,5
1,10,,26392.0,9,,193131,0,10,148275,5,4,69.0,17,0,,8,10,89152,45363,176,0
1,17,39842.0,12843.0,14,1311517.0,140292,4,16,67388,8,7,58.0,7,2,141955.0,10,15,57418,2276,166,1
3,19,56666.0,18975.0,0,32176.0,133024,3,2,70590,9,2,58.0,11,13,133999.0,19,0,65132,20147,172,9
1,11,55710.0,21145.0,12,20655.0,132339,11,7,86863,6,6,70.0,14,15,135862.0,6,13,71405,16687,185,7
