Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
1,0,38827,226,226,35924,1
1,0,4679,183,183,1893,0
1,0,308397,304,304,305485,0
1,0,847503,311,311,845194,0
0,0,502030,132,132,499289,0
1,0,79193,79,79,76656,1
1,0,2449,0,0,11,0
0,0,7010,292,292,4233,1
1,0,491613,135,135,488857,1
1,0,21822,317,317,18838,1
1,0,3014,97,97,228,1
0,0,77950,18,18,74987,1
1,0,510295,142,142,507728,1
1,0,7457,214,214,4911,1
1,0,6673,233,233,3815,0
1,0,181574,314,314,180063,1
1,0,625252,229,229,622190,0
1,0,1133115,271,271,1130755,1
1,0,60671,176,176,58218,1
1,0,2940,212,212,73,1
0,0,8383,219,219,7271,0
0,0,17724,294,294,14986,1
1,0,13435,273,273,10745,0
0,0,86361,188,188,83876,1
1,0,225780,80,80,223900,0
1,0,578138,101,101,576360,0
1,0,504140,268,268,500865,0
1,0,636457,213,213,635763,0
1,0,847195,164,164,845501,0
1,0,492362,28,28,490971,0
1,0,236472,223,223,233641,0
0,0,779582,203,203,776703,0
1,0,7188,126,126,4384,0
1,0,8831,112,112,6234,1
0,0,650247,103,103,648161,0
1,0,984,306,306,31,0
1,0,1094,24,24,159,1
0,0,24358,274,274,21590,0
0,0,1225,53,53,1,1
1,0,628999,144,144,626735,0
1,0,13990,117,117,11384,1
1,0,28068,65,65,25282,1
1,0,3158,255,255,408,1
1,0,2351295,265,265,2348338,0
0,0,9939,57,57,8926,0
0,0,65081,86,86,62292,1
1,0,9052,247,247,7148,1
0,2,805554,313,313,804478,0
0,0,782600,204,204,781197,0
1,0,3790,210,210,806,0
1,0,1721524,41,41,1718519,1
0,0,2010044,11,11,2009265,0
0,0,794113,243,243,793295,0
1,0,1008775,189,189,1006142,0
0,0,66235,248,248,64469,1
1,0,654938,253,253,652152,0
1,0,8756,146,146,5919,1
0,0,4216,134,134,1460,1
1,0,411506,59,59,408474,0
0,0,1137976,138,138,1133828,0
0,0,1204,128,128,2,0
0,0,8397,16,16,5578,1
0,0,764760,202,202,762982,0
1,0,976,21,21,2,1
1,0,587182,275,275,584897,1
1,0,3258,40,40,436,0
1,0,6116,58,58,4224,1
0,0,606712,238,238,603989,0
1,0,21218,242,242,18921,1
0,0,2501,85,85,102,1
1,0,33240,55,55,30436,1
0,0,490870,46,46,489493,0
1,0,4777,19,19,2027,1
0,0,26225,206,206,24447,1
1,0,22430,44,44,19944,1
1,0,15107,263,263,12237,1
0,0,169188,308,308,166855,1
0,0,663320,259,259,660522,0
0,0,58458,116,116,55432,1
0,0,1185502,70,70,1183688,0
1,0,644271,100,100,641242,1
1,0,16574,222,222,14088,1
0,0,3713,285,285,2106,0
1,0,59561,141,141,57681,1
0,0,3597,235,235,1834,0
1,0,5794,137,137,3014,0
0,1,655728,169,169,653962,0
1,0,41742,309,309,39727,1
0,0,791878,123,123,790079,0
1,0,760085,244,244,757590,0
0,0,169312,67,67,166550,0
1,0,130785,106,106,128263,0
1,0,122539,190,190,120197,1
0,0,594892,227,227,591674,0
0,0,571445,198,198,567813,0
1,0,690966,179,179,687994,0
1,0,9553,115,115,7784,0
1,0,582823,22,22,581135,0
0,0,1917064,173,173,1914173,1
1,0,25743,231,231,24748,1
1,0,71114,195,195,69705,1
0,0,103187,323,323,101616,0
0,0,702008,180,180,700188,0
1,0,585311,228,228,582390,0
1,0,2350211,168,168,2347587,0
1,0,912033,74,74,909235,0
1,0,12191,232,232,9909,1
1,0,1182,94,94,1,1
0,0,4231,136,136,1391,1
0,0,14595,66,66,12280,1
1,0,9360,256,256,6577,0
1,0,14953,303,303,12005,1
1,0,29749,162,162,26915,1
1,0,430057,185,185,427406,0
1,0,14455,92,92,11690,0
0,0,30562,280,280,28739,1
0,0,4524,241,241,2574,0
1,0,486237,25,25,483109,0
0,0,19758,184,184,17038,0
0,0,47207,82,82,45534,1
0,0,36437,104,104,35517,1
1,0,5595,69,69,2761,1
1,0,931453,225,225,928565,0
1,0,2693,282,282,396,0
0,0,4036,64,64,1289,1
1,0,93761,73,73,90201,1
1,0,11733,75,75,9154,0
1,0,706189,15,15,704129,0
0,0,120500,322,322,118605,0
1,0,26060,260,260,23298,1
1,0,351197,217,217,348939,0
1,0,33122,283,283,30594,1
1,0,1425113,14,14,1422420,0
1,0,688837,90,90,685982,0
0,0,56433,249,249,54619,1
0,0,1739,12,12,3,1
0,0,201879,300,300,200095,0
1,0,1320804,152,152,1318300,0
1,0,628364,102,102,625434,0
0,0,3779,182,182,1517,0
0,0,64637,151,151,62859,1
1,0,4799,272,272,2103,0
1,0,7313,236,236,4734,0
0,0,19476,160,160,17815,1
1,0,7957,143,143,5381,0
1,0,829858,121,121,827087,0
1,0,2120212,107,107,2117660,0
1,0,411543,245,245,408877,0
1,0,848494,163,163,847454,0
1,0,29971,145,145,27197,1
1,0,1032018,50,50,1029001,0
1,0,16396,295,295,13598,0
1,0,492103,131,131,489575,0
0,0,3892,45,45,599,1
1,0,439193,288,288,435576,0
1,0,570499,252,252,567725,0
1,0,3857,105,105,1095,1
1,0,924785,237,237,922281,1
1,0,245943,62,62,244298,0
1,0,556405,240,240,554000,1
0,0,9141,220,220,8410,0
1,0,981807,279,279,979324,1
1,0,14712,221,221,11650,0
1,0,2360044,13,13,2358530,0
1,0,11256,254,254,8914,1
1,0,7825,93,93,5795,0
0,0,9869,54,54,8244,1
1,0,96498,208,208,94816,1
1,0,83774,187,187,82602,1
0,0,1981,298,298,2,0
1,0,483389,320,320,481422,0
0,0,85945,310,310,83153,1
0,0,21702,60,60,18811,0
0,0,22871,4,4,21810,1
1,0,5339,52,52,2904,1
0,0,728090,36,36,725151,0
1,0,3210,23,23,616,1
0,0,258722,218,218,256827,0
0,0,10587,181,181,8119,1
1,0,145152,315,315,142906,1
1,0,572075,301,301,569139,0
1,0,58311,299,299,56848,1
1,0,905988,99,99,903148,0
1,0,690828,276,276,688522,0
0,0,45706,261,261,43370,1
1,0,588116,3,3,586977,0
0,0,4613,119,119,1626,1
0,0,12865,290,290,9965,1
1,0,4342,83,83,1385,1
1,0,15683,257,257,12888,0
1,0,378832,38,38,376718,0
1,0,39618,84,84,36688,1
0,0,563158,321,321,560651,0
0,0,467624,171,171,464685,0
1,0,2020967,177,177,2018517,0
0,0,4567,56,56,1604,0
1,0,24449,114,114,21516,0
0,0,54516,96,96,53479,1
1,0,197559,193,193,195199,1
0,0,955,156,156,2,1
1,0,1130391,197,197,1127446,0
0,0,61849,47,47,60071,1
1,0,1824669,166,166,1821786,0
1,0,21022,63,63,18272,1
1,0,517997,133,133,514713,0
1,0,2028531,267,267,2025571,0
1,0,4543,139,139,1706,1
1,0,16034,127,127,13233,0
