Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
0,0,1330,9,9,2,0
0,0,30308,48,48,27168,1
1,0,56857,121,121,54575,1
0,0,1097,10,10,1,0
1,0,5564,34,34,2433,1
1,0,2735,75,75,246,1
1,0,929052,123,123,925927,0
0,0,52289,82,82,48939,1
0,0,581462,111,111,578019,0
0,0,212280,147,147,211864,0
0,0,9252,127,127,7177,0
0,0,297517,76,76,294389,0
1,0,81368,19,19,80808,1
0,0,720,140,140,1,1
1,0,742903,101,101,741965,0
1,0,28960,0,0,27503,1
0,0,429068,81,81,425925,0
1,0,118859,95,95,115842,1
1,0,69438,35,35,67273,0
0,0,6138,37,37,5206,0
0,0,315827,125,125,312663,0
0,0,639,65,65,1,1
1,0,99546,109,109,97369,0
1,0,32123,55,55,29739,1
0,0,48514,137,137,47612,1
1,0,3506,77,77,2283,1
0,0,116617,51,51,113450,0
0,0,541,43,43,26,0
0,0,4229,136,136,1371,1
0,0,33235,5,5,30782,1
0,0,763,7,7,5,0
1,0,767496,93,93,766105,0
0,0,567659,24,24,567123,0
1,0,99066,112,112,97825,1
0,0,318588,152,152,315535,0
0,0,1011,6,6,1,0
0,0,546,142,142,1,1
1,0,4884,47,47,1753,1
1,0,213521,148,148,212382,0
1,0,11203,39,39,8075,1
1,0,74545,150,150,72053,1
0,0,2066,18,18,3,1
0,0,704,12,12,18,1
0,0,81855,145,145,78709,1
1,0,341238,26,26,338959,1
1,0,306062,91,91,305283,0
0,0,300,98,98,1,0
1,0,99079,49,49,97820,1
0,0,35758,4,4,35156,1
0,0,33620,83,83,30504,1
0,0,521345,22,22,518232,0
0,1,54155,54,54,50976,1
0,0,48145,1,1,47690,1
0,0,1005,15,15,1,1
0,0,40333,119,119,37199,1
0,0,1242,14,14,3,0
1,0,573456,41,41,572590,0
0,0,632799,45,45,629461,0
1,0,53098,126,126,49949,1
0,0,1771,17,17,5,0
0,0,55385,129,129,52233,1
1,0,5181,104,104,4192,0
0,0,696,115,115,1,0
0,0,765509,31,31,762384,0
0,0,716461,42,42,713525,0
0,0,153763,102,102,151067,1
0,0,307836,151,151,304756,0
0,0,227216,74,74,225387,0
0,0,43791,67,67,40663,1
1,0,100486,50,50,98009,0
0,0,975350,133,133,972864,1
1,0,1651,92,92,830,1
0,0,4790,124,124,1644,1
0,0,30678,114,114,29548,1
0,0,642289,107,107,639173,0
0,0,11508,108,108,8902,1
0,0,1291,11,11,11,1
1,0,694715,132,132,691713,0
0,0,5115,52,52,2545,1
1,0,5807,130,130,3882,1
1,0,762911,103,103,760413,0
0,0,100844,29,29,99663,0
1,0,506465,68,68,504186,1
1,0,1242856,78,78,1242191,1
1,0,57661,38,38,55166,1
1,0,824374,60,60,822413,0
1,0,672501,85,85,670264,0
0,0,484,139,139,2,1
0,0,7732,62,62,4595,0
0,0,506906,99,99,503742,0
1,0,96937,120,120,96035,1
0,0,3141,88,88,982,1
0,0,302755,57,57,301802,0
0,0,1289,8,8,3,0
1,0,492209,21,21,489726,0
0,0,703218,16,16,701626,0
1,0,7840,64,64,6842,1
1,0,383983,3,3,383429,1
1,0,6751,105,105,5450,0
0,0,304,128,128,2,0
1,0,3425,118,118,855,1
0,0,6322,40,40,3197,1
1,0,673825,80,80,670661,0
1,0,201983,146,146,197949,0
1,0,232598,154,154,230508,0
1,0,46653,84,84,44743,1
1,0,789292,94,94,788021,0
1,0,714709,100,100,711560,0
0,0,11360,89,89,8184,1
0,0,11460,143,143,9091,1
0,0,772874,149,149,769737,0
1,0,341160,155,155,338881,1
0,0,135805,156,156,132644,0
0,0,326955,28,28,323962,0
1,0,4234,73,73,3116,1
1,0,371763,2,2,371065,1
0,0,562767,56,56,559651,0
1,0,676357,27,27,675068,0
0,0,4123,87,87,1628,1
0,0,24175,33,33,21059,1
1,0,8113,61,61,5945,0
0,0,40231,110,110,38468,1
1,0,552643,117,117,550361,1
0,0,225838,90,90,222980,0
0,0,46094,72,72,43491,1
0,0,296392,23,23,293633,0
1,0,36371,141,141,34218,1
0,0,220362,116,116,217744,0
1,0,532553,153,153,531252,0
0,0,34862,86,86,34431,1
1,0,638513,69,69,636579,0
1,0,685611,66,66,683131,0
0,0,9728,36,36,6585,0
0,0,5438,138,138,3198,1
0,0,13944,59,59,11467,1
0,0,37772,134,134,34755,1
0,0,7310,32,32,4179,1
1,0,8362,131,131,5834,0
0,0,96112,113,113,92984,1
1,0,6579,63,63,5257,1
1,0,8781,25,25,5653,0
0,0,8449,122,122,5315,1
0,0,34018,53,53,31541,0
0,0,1015710,30,30,1014604,0
1,0,93861,97,97,92599,1
0,0,905463,46,46,902746,0
1,0,673601,71,71,670680,0
1,0,741862,157,157,740972,0
0,0,559272,79,79,556483,0
1,0,12199,144,144,10430,0
1,0,631461,70,70,630235,0
0,0,2165,135,135,1,1
0,0,68231,96,96,65097,1
0,0,704396,13,13,703461,0
1,0,301337,20,20,298548,1
1,0,796646,58,58,794730,0
1,0,1482,106,106,1,0
1,0,1017672,44,44,1015075,0
