languages,commons_category,first_name,cyclist_name,first_cycling_rider_id,cq_ranking_male_cyclist_id,profile_image,height_cm,pro_cycling_stats_cyclist_id,birth_date,uci_rider_id,nationality,cycle_base_cyclist_id,events_participated,weight_kg,last_name,cycling_archives_cyclist_id,social_media_followers,olympedia_people_id,birth_place
3,5,5,5,80489,,3,194,209985,7,301151,1,89232.0,2,,4,154036,,144168.0,8
3,4,4,4,27099,24057.0,2,193,177672,4,91640,1,61538.0,7,82.0,3,79184,,136635.0,9
4,6,6,6,50303,26482.0,9,178,196333,5,107840,2,70304.0,3,63.0,0,108403,,146032.0,3
0,8,8,8,4863,17881.0,7,169,140294,1,76092,4,49272.0,6,56.0,1,38092,13864.0,,5
3,1,1,1,3103,7268.0,5,181,140230,0,30942,1,28995.0,5,67.0,2,36522,14079.0,134605.0,7
6,7,7,7,114659,31654.0,6,183,240140,9,415141,4,92920.0,4,,5,140379,20671.0,,1
1,0,0,0,20147,18975.0,8,172,133024,2,70590,5,56666.0,0,58.0,9,65132,32176.0,133999.0,2
5,10,10,10,45992,26526.0,1,176,194619,6,149727,3,69634.0,1,66.0,7,115790,5000.0,146565.0,6
3,2,2,2,96981,30649.0,10,182,217290,8,308040,1,83297.0,3,62.0,8,150789,,,4
1,9,9,9,6242,17893.0,0,172,134456,2,553301,5,49682.0,5,58.0,9,65130,39580.0,143135.0,2
2,3,3,3,27301,24110.0,4,184,181212,3,250807,0,62259.0,3,,6,94988,1447.0,,0
