CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Biography,Nationality,TwitterUsername,Birthplace,UciRiderId,Languages,WeightKg,BirthDate,FirstName,FullName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
4,0,57256.0,23463,11,17,,189196,5,3,6,17,89712.0,8,72.0,13,9,10,12,72654.0,34624,180.0
3,14,,5242,0,15,,138108,20,12,6,2,,8,,3,16,16,12,18977.0,8492,
4,11,2747.0,3448,0,10,1352523.0,140768,2,13,5,7,32923.0,2,70.0,1,12,13,12,16824.0,14,175.0
1,20,54395.0,20730,15,21,252749.0,168961,1,1,9,13,75859.0,1,70.0,12,21,21,12,74709.0,18258,187.0
3,13,,22472,0,12,,168796,0,0,6,18,86976.0,5,,16,14,6,6,70650.0,16943,176.0
4,0,57256.0,23463,11,17,,189196,5,3,6,17,89712.0,8,72.0,13,9,10,12,72654.0,34624,180.0
3,12,56938.0,20257,0,11,17205.0,167585,3,2,15,8,86480.0,5,64.0,5,13,14,12,81851.0,16569,175.0
3,17,49272.0,17881,9,14,13864.0,140294,19,12,7,11,76092.0,0,56.0,6,15,15,12,38092.0,4863,169.0
1,1,46381.0,18610,1,8,77168.0,137427,11,4,10,19,71557.0,3,62.0,9,10,11,12,63999.0,12474,173.0
4,3,,7450,0,7,,140113,6,3,6,16,30346.0,8,,2,8,9,10,17333.0,5389,
3,10,58428.0,21992,8,9,23650.0,168776,7,7,4,21,86895.0,5,,17,11,12,12,77835.0,16793,179.0
3,4,62255.0,24189,3,2,5751.0,187231,10,4,2,5,79522.0,3,64.0,15,2,2,4,82930.0,34011,176.0
3,5,52673.0,19070,0,3,13561.0,137769,17,12,1,4,79921.0,8,,8,3,3,11,71836.0,7639,178.0
2,8,19558.0,3828,6,6,65423.0,140870,8,7,14,10,34012.0,5,69.0,0,7,8,12,21215.0,264,182.0
3,9,65118.0,23940,2,0,,182127,18,12,11,9,422863.0,0,,14,0,0,1,84375.0,27307,178.0
3,2,69634.0,26526,13,19,5000.0,194619,16,11,8,15,149727.0,7,66.0,21,19,19,7,115790.0,45992,176.0
3,15,83295.0,28377,10,16,84000.0,212377,1,1,3,0,587366.0,5,62.0,22,17,17,9,141854.0,84019,171.0
3,7,50317.0,18455,7,1,2094.0,138294,13,6,0,3,68778.0,5,70.0,10,1,1,12,61900.0,6230,175.0
0,18,61537.0,24873,14,20,,185567,14,9,6,22,111336.0,5,,20,20,20,3,104450.0,37297,184.0
3,16,46998.0,16666,12,18,22458.0,140492,12,5,16,6,64680.0,4,71.0,7,18,18,12,48356.0,2338,176.0
3,6,62573.0,23503,4,4,54522.0,181270,4,3,12,20,92264.0,8,63.0,18,4,4,0,91205.0,27124,174.0
3,21,,24123,0,22,,185275,5,3,6,14,97648.0,8,,11,22,22,8,97121.0,22206,
0,13,,10234,0,13,,138160,15,10,6,1,60602.0,6,,4,6,7,5,,8956,
3,19,49495.0,23426,5,5,29588.0,177246,9,8,13,12,87061.0,5,,19,5,5,2,88470.0,37748,181.0
