Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,ProCyclingStatsCyclistId,CyclistName,Nationality,TwitterHandle,Birthplace,RepresentingCountry,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,CyclingDiscipline
0,0,56070,20777,5,5,179769,5,1,3,5,3,86568,71.0,10,133261.0,5,79781,18575,180,8,3
0,8,49272,17881,7,6,140294,7,6,5,2,5,76092,56.0,5,,7,38092,4863,169,4,1
0,9,47214,16722,10,9,140674,10,0,7,8,0,64531,71.0,7,132670.0,10,52973,6228,183,6,0
0,1,22932,7530,0,0,140231,0,3,8,7,2,46940,63.0,0,,0,37173,3224,170,3,0
1,5,39287,13240,1,2,140835,1,3,9,3,2,55029,67.0,1,122451.0,1,21075,1310,178,1,3
0,4,55639,20535,4,4,160352,4,3,2,0,2,89125,,8,,4,73388,14791,181,8,1
0,10,49154,16941,3,3,140071,3,1,1,1,3,75873,54.0,4,133264.0,3,39969,3213,164,5,1
0,7,41076,13362,9,8,139405,9,4,6,10,4,65995,70.0,6,,9,51551,3277,177,0,3
0,3,56436,20917,6,1,156570,6,2,0,4,1,77380,78.0,9,,6,71706,9746,180,8,1
0,2,38736,12115,2,0,140236,2,3,4,6,2,54674,64.0,3,,2,30329,2312,175,2,1
0,6,56041,20719,8,7,174582,8,5,10,9,3,88889,65.0,2,135863.0,8,72449,18655,177,7,2
