Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,ProCyclingStatsCyclistId,CyclistName,Nationality,TwitterHandle,Birthplace,RepresentingCountry,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,CyclingDiscipline
1,3,89232.0,,5,1,209985,5,2,4,7,2,301151,,10,144168.0,5,154036,80489,194.0,6,2
1,4,52038.0,20697.0,0,2,156131,0,2,0,4,1,86630,68.0,5,144169.0,0,68186,20584,180.0,0,2
1,2,61538.0,24057.0,4,0,177672,4,2,4,8,1,91640,82.0,7,136635.0,4,79184,27099,193.0,6,3
1,5,22917.0,6177.0,2,4,140232,2,2,2,5,1,45643,65.0,1,134607.0,2,20659,1006,179.0,4,2
1,6,19245.0,3460.0,3,0,140790,3,3,3,0,2,32248,62.0,0,123581.0,3,16377,51,176.0,3,0
1,8,,31655.0,6,6,229058,6,5,7,6,2,419547,,9,,6,155131,105979,,6,2
2,0,49682.0,17893.0,7,0,134456,7,6,5,1,4,553301,58.0,3,143135.0,7,65130,6242,172.0,5,3
1,9,61573.0,23641.0,1,3,186945,1,1,1,3,2,91043,,6,142852.0,1,82430,43007,,2,3
1,1,69634.0,26526.0,8,7,194619,8,4,6,2,3,149727,66.0,8,146565.0,8,115790,45992,176.0,6,2
0,7,47965.0,17988.0,9,5,138125,9,0,4,10,2,70962,74.0,4,,9,64279,8377,1.85,6,1
1,10,58050.0,20184.0,10,0,135591,10,0,4,9,0,89133,72.5,2,,10,71225,19274,173.0,1,2
