script_type,name_distinction,alternative_name,name_type,name_description,caverphone_code,language,commons_category,nederlandse_voornamenbank_id,nominis_given_name_id,native_name,soundex_code
1,83,82,1,3,68,11,86,49,62,86,62
1,46,48,1,3,89,5,49,32,19,49,32
1,28,23,1,3,21,9,28,17,62,27,20
1,22,17,1,3,77,11,23,49,62,22,18
1,62,60,1,3,50,6,66,43,52,65,42
1,25,19,1,3,75,11,26,49,54,25,16
1,19,15,1,3,36,5,20,13,8,19,14
1,23,18,1,3,79,17,24,15,62,23,17
1,64,67,1,3,43,6,69,46,62,68,41
1,99,33,1,3,81,6,102,65,60,102,74
1,66,66,1,3,43,5,71,47,22,70,41
1,92,90,2,8,78,0,96,63,34,96,69
1,76,77,1,3,63,17,79,52,38,79,55
1,46,48,1,3,89,5,49,32,19,49,32
0,97,94,1,5,55,1,74,49,30,106,52
1,19,15,1,3,36,5,20,13,8,19,14
1,35,34,1,3,37,17,36,49,62,36,24
0,26,21,1,6,55,14,74,49,62,107,52
1,24,20,1,3,75,17,25,16,24,24,16
1,34,32,1,3,35,12,35,22,59,35,27
1,98,71,1,3,82,6,101,49,45,101,75
1,15,83,1,3,59,6,16,10,3,15,8
1,67,64,1,3,44,11,74,49,62,71,41
1,68,71,1,2,53,12,74,49,62,73,51
1,33,28,0,0,29,11,33,49,49,33,27
1,44,44,1,3,87,6,47,30,15,47,34
1,39,96,1,3,86,17,42,49,40,42,34
1,12,10,1,3,58,5,12,8,62,11,11
0,26,21,1,6,55,14,74,49,62,107,52
1,73,73,1,3,14,11,76,49,5,76,54
1,55,63,0,0,48,17,60,37,47,59,46
1,92,90,2,8,78,0,96,63,34,96,69
1,77,78,1,3,62,4,80,53,21,80,55
1,63,71,0,0,50,5,68,45,62,67,42
1,94,91,0,0,19,17,98,49,62,98,52
1,95,92,1,3,20,11,99,49,62,99,73
1,71,74,1,3,71,17,104,67,62,104,52
1,78,24,1,3,18,8,81,49,39,81,58
1,25,19,1,3,75,11,26,49,54,25,16
1,3,3,1,3,6,17,3,49,62,3,3
1,49,53,1,3,41,18,52,34,48,52,40
0,4,3,1,4,55,14,4,49,62,105,52
1,96,93,0,0,17,11,100,64,62,100,72
1,5,4,1,3,4,5,5,2,62,4,3
1,89,87,1,3,73,11,93,60,51,93,66
0,26,21,1,6,55,14,74,49,62,107,52
1,100,43,1,3,26,2,103,66,13,103,76
1,13,71,1,3,61,12,13,49,62,12,52
1,95,92,1,3,20,11,99,49,62,99,73
1,31,27,1,3,25,5,31,20,62,31,21
1,34,32,1,3,35,12,35,22,59,35,27
1,32,30,1,3,34,11,32,21,16,32,25
1,42,41,1,3,86,6,45,29,62,45,34
1,13,71,1,3,61,12,13,49,62,12,52
1,93,71,1,3,80,6,97,49,62,97,71
1,40,40,1,3,84,5,43,28,62,43,32
1,71,11,1,3,65,4,15,49,62,14,9
1,65,65,1,3,43,13,70,49,53,69,52
1,32,30,1,3,34,11,32,21,16,32,25
1,71,71,1,3,22,12,74,49,62,29,22
1,70,70,1,3,52,5,73,48,57,74,49
