Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,0,38827,225,35924,1
1,0,4679,183,1893,0
0,0,9869,53,8244,1
1,0,825842,310,823350,0
0,0,502030,130,499289,0
1,0,79193,77,76656,1
1,0,2449,0,11,0
0,0,7010,291,4233,1
0,0,66235,247,64469,1
1,0,21822,317,18838,1
1,0,3014,94,228,1
0,0,77950,17,74987,1
1,0,510295,141,507728,1
1,0,847503,311,845194,0
1,0,6673,232,3815,0
1,0,181574,314,180063,1
1,0,625252,228,622190,0
1,0,981807,277,979324,1
1,0,16715,186,14439,1
1,0,2940,212,73,1
0,0,8383,219,7271,0
1,0,2351295,264,2348338,0
1,0,13435,271,10745,0
0,0,86361,188,83876,1
1,0,225780,78,223900,0
1,0,578138,99,576360,0
1,0,504140,267,500865,0
1,0,636457,213,635763,0
1,0,847195,163,845501,0
1,0,492362,27,490971,0
1,0,236472,223,233641,0
0,0,779582,203,776703,0
1,0,7188,124,4384,0
1,0,8831,110,6234,1
0,0,650247,101,648161,0
1,0,984,304,31,0
1,0,1094,23,159,1
0,0,24358,272,21590,0
0,0,1225,52,1,1
1,0,628999,143,626735,0
1,0,13990,115,11384,1
1,0,28068,64,25282,1
1,0,3158,254,408,1
1,0,2327020,263,2324351,0
0,0,9939,56,8926,0
0,0,65081,83,62292,1
1,0,9052,246,7148,1
0,2,805554,313,804478,0
0,0,782600,204,781197,0
1,0,3790,210,806,0
1,0,1573917,166,1571158,0
0,0,1995400,174,1993454,0
0,0,794113,242,793295,0
1,0,644271,97,641242,1
0,0,56433,248,54619,1
1,0,654938,252,652152,0
1,0,1032018,49,1029001,0
0,0,1140600,196,1138639,0
1,0,411506,58,408474,0
1,0,924785,236,922281,1
0,0,1204,126,2,0
0,0,8397,15,5578,1
0,0,764760,202,762982,0
1,0,976,20,2,1
1,0,587182,273,584897,1
1,0,3258,40,436,0
1,0,6116,57,4224,1
0,0,606712,237,603989,0
1,0,21218,241,18921,1
0,0,2501,82,102,1
1,0,7457,214,4911,1
0,0,490870,45,489493,0
1,0,4777,18,2027,1
0,0,26225,206,24447,1
1,0,22430,44,19944,1
1,0,15107,262,12237,1
1,0,41742,307,39727,1
0,0,663320,258,660522,0
0,0,58458,114,55432,1
1,0,486237,24,483109,0
1,0,353345,138,350952,0
1,0,16574,222,14088,1
0,0,3713,283,2106,0
1,0,44770,25,42977,1
0,0,3597,234,1834,0
1,0,5794,135,3014,0
0,1,655728,168,653962,0
0,0,33262,308,31331,1
0,0,791878,121,790079,0
1,0,760085,243,757590,0
0,0,1852491,173,1847980,0
1,0,130785,104,128263,0
1,0,122539,190,120197,1
0,0,594892,226,591674,0
0,0,571445,198,567813,0
1,0,690966,179,687994,0
1,0,9553,113,7784,0
1,0,582823,21,581135,0
0,0,67475,296,65139,1
1,0,25743,230,24748,1
1,0,71114,195,69705,1
0,0,103187,323,101616,0
0,0,702008,180,700188,0
1,0,585311,227,582390,0
1,0,2350211,167,2347587,0
1,0,491613,133,488857,1
1,0,12191,231,9909,1
1,0,1182,91,1,1
1,0,59561,140,57681,1
0,0,14595,65,12280,1
1,0,9360,255,6577,0
0,0,1434052,154,1432280,0
1,0,29749,161,26915,1
1,0,430057,185,427406,0
1,0,14455,89,11690,0
0,0,30562,278,28739,1
0,0,4524,240,2574,0
0,0,4216,132,1460,1
0,0,19758,184,17038,0
0,0,47207,80,45534,1
0,0,36437,102,35517,1
1,0,5595,68,2761,1
1,0,912033,72,909235,0
1,0,2693,280,396,0
0,0,4036,63,1289,1
1,0,93761,71,90201,1
1,0,11733,73,9154,0
1,0,706189,14,704129,0
0,0,120500,322,118605,0
1,0,26060,259,23298,1
1,0,351197,217,348939,0
0,0,8589,29,6541,1
0,0,1385359,153,1383590,0
1,0,688837,87,685982,0
0,0,54516,93,53479,1
0,0,1739,12,3,1
0,0,201879,299,200095,0
1,0,670094,37,667467,0
1,0,628364,100,625434,0
0,0,3779,182,1517,0
0,0,64637,150,62859,1
1,0,4799,270,2103,0
1,0,7313,235,4734,0
0,0,19476,159,17815,1
1,0,7957,142,5381,0
1,0,829858,119,827087,0
1,0,2071578,164,2068987,0
1,0,411543,244,408877,0
1,0,848494,162,847454,0
1,0,8756,145,5919,1
0,0,169188,306,166855,1
1,0,16396,294,13598,0
1,0,492103,129,489575,0
1,0,14953,302,12005,1
0,0,427483,287,425420,0
1,0,570499,251,567725,0
1,0,3857,103,1095,1
1,0,68621,191,67503,1
1,0,245943,61,244298,0
1,0,556405,239,554000,1
0,0,9141,220,8410,0
1,0,873816,171,871123,0
1,0,14712,221,11650,0
1,0,2360044,13,2358530,0
1,0,11256,253,8914,1
1,0,7825,90,5795,0
0,0,1137976,136,1133828,0
1,0,96498,208,94816,1
1,0,83774,187,82602,1
0,0,1981,297,2,0
1,0,483389,320,481422,0
0,0,85945,309,83153,1
0,0,21702,59,18811,0
0,0,22871,4,21810,1
1,0,5339,51,2904,1
0,0,728090,36,725151,0
1,0,3210,22,616,1
0,0,258722,218,256827,0
0,0,10587,181,8119,1
1,0,145152,315,142906,1
1,0,572075,300,569139,0
0,0,2028848,178,2027736,0
1,0,33122,281,30594,1
1,0,690828,274,688522,0
0,0,45706,260,43370,1
1,0,588116,3,586977,0
0,0,4613,117,1626,1
0,0,12865,289,9965,1
1,0,4342,81,1385,1
1,0,15683,256,12888,0
1,0,378832,38,376718,0
0,0,25602,134,22921,1
0,0,563158,321,560651,0
0,0,467624,170,464685,0
0,0,2010044,11,2009265,0
0,0,4567,55,1604,0
1,0,24449,112,21516,0
1,0,33240,54,30436,1
1,0,197559,193,195199,1
0,0,955,155,2,1
0,0,447897,285,446350,0
0,0,61849,46,60071,1
1,0,1721524,41,1718519,1
1,0,21022,62,18272,1
1,0,517997,131,514713,0
1,0,1984663,165,1981777,0
1,0,4543,137,1706,1
1,0,16034,125,13233,0
1,0,1133115,269,1130755,1
0,0,1973,1,3,1
1,0,1174681,75,1172813,0
0,0,3158,6,342,1
1,0,648458,160,645735,0
0,0,31215,301,30121,1
0,0,1171911,147,1168945,0
0,0,2772,318,301,1
1,0,265804,201,263906,0
0,0,496864,169,494066,0
1,0,1709527,107,1707056,1
1,0,29971,144,27197,1
1,0,5025,157,2677,1
1,0,474181,192,471830,0
0,0,20670,139,18052,1
0,0,1430611,98,1429409,0
1,0,2149200,265,2146741,0
1,0,30617,149,28410,1
0,0,750304,209,747923,0
1,0,10460,76,8049,1
1,0,754760,205,752910,0
1,0,6217,319,3602,1
1,0,396132,245,393928,0
1,0,128705,207,127131,1
1,0,496021,26,493463,0
1,0,56619,316,53854,1
0,0,4421,31,3684,1
0,0,117865,211,115973,1
0,0,6529,156,4547,1
1,0,174847,194,172793,1
1,0,8963,176,6399,1
0,0,6840,284,3826,0
1,0,1175229,146,1172704,0
1,0,110366,249,107442,1
1,0,7278,95,4399,0
1,0,22938,85,21226,1
1,0,1130391,197,1127446,0
1,0,11829,32,8980,1
1,0,1443,19,1,1
0,0,7112,282,4374,1
1,0,1008775,189,1006142,0
1,0,7245,290,4687,1
1,0,12451,175,9695,1
0,0,2274,50,1,0
1,0,2194888,106,2192474,1
1,0,905310,39,902803,0
0,0,729858,200,727477,0
1,0,214887,305,212992,0
0,0,34372,2,33320,1
0,0,38223,30,36197,1
1,0,18751,109,16475,1
1,0,2120212,105,2117660,0
1,0,3783,84,1453,1
1,0,596370,276,593812,0
1,0,19819,122,16985,1
0,0,392186,224,389424,0
0,0,36463,116,33455,1
1,0,439193,286,435576,0
0,0,598524,92,596251,0
0,0,17724,293,14986,1
1,0,107280,48,104554,0
1,0,2892,67,97,0
0,0,478312,10,477440,0
1,0,46833,74,44356,0
1,0,342240,152,339421,1
1,0,2020967,177,2018517,0
1,0,68416,261,66416,1
1,0,4460,127,2295,0
0,0,553364,250,550602,0
1,0,201254,158,198909,0
0,0,851849,120,849015,0
1,0,3538,292,857,1
1,0,12394,303,9605,0
0,0,748745,35,745776,0
1,0,14564,60,12819,1
0,0,39476,268,36720,1
1,0,13956,215,10954,0
1,0,58311,298,56848,1
0,0,645301,275,642806,0
1,0,5678,128,4257,1
1,0,458839,16,457553,0
0,0,811998,312,810235,0
1,0,26744,325,24147,1
0,0,968,8,3,0
1,0,905988,96,903148,0
1,0,9121,288,6152,1
1,0,582104,238,579438,0
1,0,79885,229,77750,1
1,0,2982,70,445,1
0,0,169312,66,166550,0
1,0,1113039,295,1110685,1
0,0,531490,33,528650,0
0,0,4734,123,2191,0
1,0,710712,199,708220,0
0,0,367390,216,364778,0
1,0,56555,324,54387,1
0,0,18183,233,15433,0
1,0,4073,5,1218,0
1,0,15577,69,12521,1
1,0,2028531,266,2025571,0
1,0,27589,108,25172,0
0,0,4119,43,967,1
1,0,27235,148,24623,1
1,0,783456,79,780772,0
0,0,11142,111,8839,1
1,0,242630,118,239769,1
1,0,10610,172,8169,1
1,0,106204,279,104012,1
1,0,16963,47,14936,0
1,0,9934,86,6965,1
1,0,577397,7,576201,0
1,0,1820,9,189,0
1,0,485801,34,483723,0
1,3,11541,326,8509,1
1,0,619021,151,617285,0
0,0,13820,28,12766,1
1,0,2325261,42,2323705,0
1,0,10910,88,8910,0
1,0,639965,257,637563,0
