Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,141,10807,1
0,0,6110,99,3849,0
1,0,457048,89,454787,0
0,0,478833,231,476677,0
0,0,16869,150,14662,0
1,0,552888,219,550654,0
0,0,835809,96,833647,0
0,0,3770,49,732,1
1,0,1069200,209,1067095,0
1,0,9061,54,6806,1
0,0,2776,153,509,0
1,0,76342,178,73994,1
1,0,1167843,143,1165567,0
0,0,3747,24,1363,1
0,1,692573,68,690150,0
0,0,27924,7,26149,1
0,0,754574,174,752403,0
1,0,1157625,116,1155433,0
1,0,12933,112,10912,1
1,0,96434,222,94266,1
1,0,45480,196,43330,1
0,0,604953,79,602554,0
1,0,5633,13,4134,0
1,0,763015,82,760970,0
0,0,4215,70,1969,1
0,0,480713,37,478230,0
1,0,114439,9,112868,1
0,0,14957,63,12933,0
1,0,61722,221,61057,1
0,0,45278,100,42840,0
1,0,50723,120,48507,1
1,0,562476,172,560179,0
0,0,56175,84,53914,1
1,0,1621,64,2,1
0,0,1009290,44,1006993,0
0,0,11646,123,9286,1
0,0,487264,94,485114,0
0,0,47037,176,44773,1
0,0,371476,171,369323,0
0,0,477337,11,476408,0
0,0,1835184,66,1832923,0
1,0,53359,114,52601,1
0,0,1062,3,1,0
1,0,441740,92,439797,1
1,0,81519,12,79698,1
0,0,71686,213,69566,1
0,0,707127,47,704929,0
0,0,65232,218,62692,1
1,0,777368,224,775140,0
0,0,3230,127,921,1
0,0,2056,48,2,1
0,0,4947,45,2638,0
1,0,372955,230,370655,1
0,0,2326647,17,2325364,0
1,0,11060,140,8994,1
0,0,4184,235,1923,1
0,0,59089,40,56687,1
1,0,113111,166,111105,1
0,0,79561,117,77369,1
1,0,1189025,189,1186812,0
1,0,805063,179,803291,0
1,0,1835456,205,1833030,0
0,0,4516,52,3179,1
0,0,611448,110,610807,0
0,0,5046,158,2860,1
1,0,1204656,197,1202680,0
0,0,4025,164,1761,1
0,0,2650,25,386,1
1,0,689616,81,687517,0
1,0,335828,154,333633,1
1,0,480279,204,478171,0
1,0,7012,6,5501,1
1,0,2096,144,747,1
0,0,1138,5,2,0
1,0,1116077,151,1113876,0
0,0,76316,29,74154,1
1,0,496899,101,495853,0
0,0,15153,206,12949,1
0,0,1027491,75,1024990,0
1,0,170211,122,168412,1
1,0,799420,225,796943,0
0,0,391932,8,389746,1
0,0,3932,161,1401,0
0,0,914046,62,913312,0
0,0,244454,157,243822,0
0,0,394758,20,393970,0
0,0,574603,169,572120,0
1,0,4883,41,2628,1
1,0,252998,130,250869,0
0,0,2976,163,781,0
1,0,92964,93,90784,1
0,0,7454,51,5259,1
1,0,470842,188,468923,0
0,0,2907,35,667,0
0,0,4593,1,2230,1
0,0,1705791,88,1703299,1
1,0,598394,168,596190,0
0,0,2152,10,38,0
0,0,507624,191,505363,0
1,0,459000,173,456733,0
1,0,123424,232,121439,0
0,0,53099,223,50910,1
0,0,3147,42,535,1
0,0,7548,53,5362,0
0,0,11573,108,9210,0
0,0,81116,4,80040,1
0,0,703891,71,701787,0
0,0,351915,200,350539,1
0,0,6111,23,4843,1
1,0,299939,227,297915,1
0,0,115059,159,112891,1
0,0,1036,15,2,1
0,0,28523,80,26538,1
1,0,547726,133,545198,0
0,0,19404,199,17227,0
0,0,1039862,76,1037046,0
0,0,2191081,87,2188577,1
1,0,52834,183,50840,0
1,0,13918,121,11750,1
1,0,18062,132,16122,1
1,0,62927,148,60651,1
1,0,34512,90,32440,1
0,0,5683,55,3845,0
0,0,828692,194,827244,1
0,0,711734,31,710958,0
0,0,482055,111,479794,0
1,0,89110,207,86993,1
0,0,71096,137,68619,1
0,0,7735,185,5258,1
0,0,2352753,129,2351474,0
1,0,5117,217,2943,0
0,0,120751,186,119534,1
0,0,9642,211,7252,0
0,0,28514,109,26043,0
0,0,1699,85,101,1
1,0,3774,18,1570,0
1,0,468090,39,465892,0
1,0,811009,210,808763,0
1,0,619207,203,617003,0
0,0,369971,59,367785,0
0,0,52112,103,49749,1
1,0,1108,160,1,0
0,0,3468,69,1171,0
1,0,813661,181,811541,0
0,0,560608,180,558551,0
1,0,961848,152,959689,0
0,0,915393,61,914149,0
0,0,6868,184,4559,1
0,0,50074,190,47909,1
0,0,487691,30,485538,0
1,0,17178,106,14941,1
0,0,669010,131,666635,0
0,0,2335,170,101,1
0,0,798,165,1,1
0,0,1159648,142,1157084,0
0,0,140815,228,140096,1
0,0,3637,162,1680,1
0,0,5471,136,3207,1
0,0,5333,21,3093,1
1,0,8253,102,6340,1
0,0,477141,198,476586,0
0,0,5583,98,3223,0
1,0,20192,202,18165,1
1,0,636865,78,634829,0
0,0,180595,118,178343,0
0,0,827,14,3,0
1,0,122003,229,119982,1
0,0,16433,193,14709,1
1,0,35613,195,33460,1
1,0,16106,72,14127,0
0,0,194620,124,192110,0
0,0,85349,65,84366,1
0,0,303473,216,301437,1
0,0,49973,26,48072,1
0,0,7225,105,4853,0
0,0,3201,58,2560,1
0,0,17152,135,14774,1
0,0,43304,156,40902,1
1,0,19107,104,16912,1
0,0,316113,226,313945,1
0,0,3704,22,1446,1
0,0,4679,113,2307,1
1,0,60946,145,58898,1
1,0,1287,19,1,0
0,0,3133,50,824,1
0,0,23314,236,21104,0
0,0,763294,175,761027,0
1,0,411395,36,410220,0
1,0,51771,234,49540,1
1,0,469090,33,466913,0
0,0,909502,73,907241,0
0,0,68193,146,66007,1
0,0,315631,215,313523,1
1,0,10067,28,8418,1
1,0,609383,77,607077,0
0,0,377705,97,375522,0
0,0,400277,27,398004,0
0,0,702444,212,701878,0
1,0,369509,60,367296,1
0,0,5540,43,3963,1
0,0,526037,38,525222,0
0,0,57522,125,55348,1
1,0,1375691,119,1373202,0
1,0,3258,208,754,1
0,0,66424,233,64094,1
1,0,16197,177,13717,1
0,0,1669,46,2,1
1,0,399311,91,397290,0
0,0,646569,182,644707,0
0,0,20107,67,17801,1
0,0,2123600,86,2121408,0
1,0,5726,0,3723,0
1,0,654471,74,652312,1
1,0,828777,107,827212,1
0,0,27070,139,24536,1
0,0,311650,214,309482,1
0,0,6765,192,4204,1
0,2,1518,57,1,1
1,0,477984,149,475453,0
0,0,1178466,115,1176085,0
1,0,2336,147,3,1
1,0,468765,83,466540,0
0,0,4334,95,1968,1
1,0,1028709,167,1026565,0
1,0,224206,201,222371,1
0,0,92121,138,90979,1
1,0,731499,32,729406,0
0,0,7491,126,5182,1
0,0,1333,16,3,0
0,0,14203,56,11819,1
0,0,1475,2,3,0
0,0,471716,220,470270,0
1,0,1909430,128,1907460,1
1,0,669243,187,667156,0
0,0,18709,34,16532,1
0,0,6479,134,5838,1
0,0,668634,155,666520,0
