profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,biography,nationality,twitter_handle,birth_place,uci_rider_id,languages,birth_date,last_name,first_name,google_knowledge_graph_id,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,cycling_discipline
0,11,61537.0,24873.0,12,,185567,6,12,7,5,3,14,111336,4,6,2,11,1,104450,37297,184,0
0,7,,28521.0,7,704.0,206257,8,7,0,0,1,2,154218,4,11,12,7,9,118544,70377,174,1
0,10,49272.0,17881.0,9,13864.0,140294,3,8,10,7,4,6,76092,0,1,0,8,12,38092,4863,169,1
0,13,83297.0,30649.0,0,,217290,10,0,6,3,3,5,308040,3,13,11,0,6,150789,96981,182,1
0,3,89232.0,,4,,209985,0,4,6,3,3,11,301151,3,12,6,4,8,154036,80489,194,1
0,9,92920.0,31654.0,5,20671.0,240140,10,5,9,7,8,1,415141,6,14,7,5,11,140379,114659,183,1
0,12,12832.0,7751.0,14,75813.0,140343,5,14,3,4,7,12,862522,4,0,9,12,12,25301,929,183,0
0,4,62259.0,24110.0,1,1447.0,181212,1,1,5,2,0,0,250807,2,3,8,1,4,94988,27301,184,1
0,14,,,13,,222121,13,13,7,5,3,4,798903,4,10,4,11,10,142691,87900,176,1
1,0,49682.0,17893.0,10,39580.0,134456,9,10,2,8,5,3,553301,1,2,13,9,12,65130,6242,172,2
0,6,70041.0,27132.0,6,,198315,11,6,9,7,3,9,153513,6,7,5,6,5,138346,54660,170,1
0,5,66256.0,25157.0,3,22666.0,189438,4,3,4,1,2,10,96372,4,5,7,3,2,97448,41249,174,1
0,1,69634.0,26526.0,11,5000.0,194619,7,11,8,6,6,8,149727,5,9,10,10,3,115790,45992,176,1
0,8,84444.0,,8,,209865,2,9,1,8,3,7,266691,2,8,1,9,7,140707,51252,182,1
0,2,61538.0,24057.0,2,,177672,12,2,6,3,3,13,91640,3,4,3,2,0,79184,27099,193,2
