profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,biography,nationality,twitter_handle,birth_place,uci_rider_id,languages,birth_date,last_name,first_name,google_knowledge_graph_id,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,cycling_discipline
1,18,58495.0,22516.0,3,,168779,9,4,1,12,7,20,86813,1,15,9,4,2,78350,16783,181.0,5
1,12,,23435.0,17,,178858,11,17,12,8,7,14,97760,5,14,5,17,11,95088,27076,,0
1,19,,20575.0,15,,141020,3,16,6,3,7,9,96978,2,9,1,16,14,67845,25749,,0
0,9,20120.0,2627.0,10,4177.0,140675,6,11,11,7,9,15,29860,5,2,4,11,14,12968,1982,182.0,1
1,16,56041.0,20719.0,18,127549.0,174582,15,18,16,11,12,19,88889,8,5,14,18,14,72449,18655,177.0,4
1,3,65955.0,26396.0,21,12337.0,189441,8,21,2,1,8,2,92304,9,18,11,21,6,110201,41293,186.0,3
1,14,,26480.0,16,,170934,1,3,3,6,7,16,81132,5,16,18,3,8,88471,34339,,3
0,13,48143.0,21971.0,13,205449.0,168754,2,14,4,6,10,8,79462,5,13,19,14,14,64280,16672,184.0,1
1,20,,21472.0,20,,179617,13,20,17,12,7,7,88267,1,6,15,20,3,89330,25578,,2
1,15,,16001.0,1,,135297,10,1,7,4,7,17,66688,3,8,8,1,1,59854,8207,181.0,0
1,4,19630.0,10023.0,5,28543.0,140233,17,6,14,5,2,6,54679,4,4,16,6,14,22431,794,175.0,3
1,5,40668.0,10220.0,2,2217.0,140476,0,2,10,5,0,3,71284,4,3,12,2,12,45724,3147,174.0,3
1,17,,21974.0,19,,162704,12,19,13,9,7,5,86919,6,12,11,19,4,71627,16680,,3
1,1,27036.0,7476.0,4,7489.0,140033,7,5,18,3,1,4,30973,2,1,6,5,14,22545,330,190.0,5
1,20,,21472.0,20,,179617,13,20,17,12,7,7,88267,1,6,15,20,3,89330,25578,,2
1,5,40668.0,10220.0,2,2217.0,140476,0,2,10,5,0,3,71284,4,3,12,2,12,45724,3147,174.0,3
1,10,66256.0,25157.0,11,22666.0,189438,9,12,5,2,6,18,96372,5,19,11,12,5,97448,41249,174.0,3
1,6,16313.0,3333.0,8,134950.0,140752,6,9,0,0,4,10,44513,0,0,17,9,14,18746,150,181.0,3
1,21,73646.0,27126.0,14,1718.0,179562,18,15,8,5,11,11,91890,4,17,10,15,9,109608,37719,179.0,3
1,16,56041.0,20719.0,18,127549.0,174582,15,18,16,11,12,19,88889,8,5,14,18,14,72449,18655,177.0,4
1,2,54806.0,13803.0,6,,136241,14,7,15,10,7,21,68751,7,10,7,7,14,51395,14778,173.0,1
1,0,,26965.0,0,,206730,19,0,9,5,7,0,162997,4,21,2,0,10,128820,71333,176.0,3
1,8,,26392.0,9,,193131,4,10,0,0,7,12,148275,5,20,13,10,7,89152,45363,176.0,3
1,7,,16654.0,7,,139297,5,8,17,3,3,13,66338,2,7,3,8,13,56606,7079,,0
1,11,60237.0,21439.0,12,16255.0,137850,16,13,6,3,5,1,88951,2,11,0,13,0,92418,22268,184.0,1
1,10,66256.0,25157.0,11,22666.0,189438,9,12,5,2,6,18,96372,5,19,11,12,5,97448,41249,174.0,3
1,11,60237.0,21439.0,12,16255.0,137850,16,13,6,3,5,1,88951,2,11,0,13,0,92418,22268,184.0,1
