SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,Nationality,BirthPlace,UciRiderId,Languages,WeightKg,BirthDate,LastName,FirstName,FullName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
2,5,7522,2338,5,140519,4,8,24499.0,3,70,2,1,5,5,10562,477,4,179,5
2,3,16313,3333,4,140752,1,5,44513.0,0,74,3,8,4,4,18746,150,4,181,1
1,6,26009,12193,7,140797,6,9,54603.0,4,78,7,7,7,7,30229,784,0,184,6
2,4,50317,18455,1,138294,3,1,68778.0,3,70,9,2,1,1,61900,6230,2,175,9
2,8,38789,10148,6,140664,1,4,53516.0,3,71,6,9,6,6,17951,2317,1,179,8
2,0,19479,8649,0,140208,2,6,54831.0,2,68,5,3,0,0,22615,791,3,182,7
3,1,10506,32,2,117828,0,7,12922.0,1,72,0,5,2,2,5814,469,4,182,4
0,2,19245,3460,3,140790,5,0,32248.0,3,62,4,4,3,3,16377,51,4,176,3
3,7,28088,12276,9,140886,8,2,59339.0,3,82,8,6,9,9,31595,800,4,197,2
3,9,3516,1303,8,140584,7,3,,1,75,1,0,8,8,12756,271,4,190,0
