StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
1,1037760,370,4,1037092
0,18293,404,3,17649
0,1236,126,4,691
0,55025,360,4,54438
0,1457890,90,4,1457246
1,487260,206,4,486679
0,1995197,223,4,1994529
0,9057,388,4,8128
0,28680,132,3,27985
0,622513,28,4,621803
1,807166,156,4,806492
0,112468,401,1,111971
0,4870,342,4,4217
0,2682,269,4,1954
1,163066,9,4,162521
0,1943209,10,4,1942577
0,735451,97,4,734867
1,1357417,313,4,1356881
1,1481322,93,4,1480762
1,36247,73,4,35642
0,1187163,348,4,1186465
0,120884,36,2,120498
1,1894275,111,4,1893637
0,438865,353,4,438233
0,308712,371,4,308044
0,1033564,302,4,1032920
0,1578872,120,4,1578312
0,77237,62,4,76545
0,17407,266,4,16820
0,497483,127,4,496893
1,1707996,30,4,1707370
1,6677,380,4,6162
1,278070,228,4,277438
0,1686468,112,4,1685914
0,477620,211,4,476973
0,565167,383,2,564760
1,3882,128,4,3223
0,1685667,117,0,1685527
0,4704,235,4,4066
0,1645,357,4,1004
1,376974,57,4,376393
0,767988,276,4,767290
1,426818,141,4,426186
0,7249,55,4,6641
0,265007,264,4,264339
0,28027,46,4,27344
1,1118634,322,4,1117975
1,30799,74,4,30158
1,159847,68,4,159101
0,694973,310,4,694383
0,1610144,115,4,1609563
0,487905,173,4,487330
1,356421,430,3,355831
1,1921473,108,4,1920904
1,10499,40,2,10110
0,1739252,338,4,1738602
0,515441,212,4,514617
1,1109679,319,4,1109041
0,347837,19,3,347313
0,250738,326,4,250097
1,4939,8,4,4241
0,570400,76,4,569783
0,544317,150,1,543658
0,52129,270,4,51491
1,19103,381,3,18480
0,4829,263,4,4128
1,599763,238,4,598996
0,430625,13,4,430509
1,1142859,409,4,1142287
0,339516,231,4,338926
1,1413348,215,4,1412725
1,1066542,405,4,1065931
0,15668,346,4,15015
1,6518,307,4,5874
1,26110,309,4,25487
1,504309,428,3,503911
1,610947,368,4,610288
0,1935320,222,4,1934724
0,216763,325,4,216122
1,588625,161,3,587969
1,412598,286,4,411981
1,463493,102,3,462885
1,14001,394,4,13402
0,276224,140,4,275592
1,602338,323,4,601643
1,1845,389,2,1489
0,314714,123,4,314181
0,1464254,89,4,1463646
1,1100102,407,4,1099440
0,444695,33,4,444042
