StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
0,674303,17,3,673725
0,905931,42,3,905182
0,570089,26,3,569511
0,435780,38,3,435106
1,1654501,40,1,1653854
0,9043,55,3,8369
1,605502,68,3,604933
1,1565614,1,3,1565111
0,37689,21,3,37021
1,4852,23,3,4175
0,509037,87,3,508240
0,1091842,81,3,1091081
1,670988,33,3,670362
1,1346554,52,4,1345826
0,1064488,67,3,1063814
0,1153891,11,3,1153361
0,226568,59,4,225903
0,1732531,56,3,1731896
0,2154696,62,3,2154196
1,179239,36,3,178622
0,1142124,79,3,1141357
0,430900,25,3,430274
1,23414,75,3,22770
0,1104782,83,3,1104102
0,1170502,53,3,1169873
0,487905,30,4,487330
1,1560119,61,3,1559271
1,743660,16,3,742947
0,40393,24,3,39713
1,947466,43,6,947014
1,458055,69,1,457426
0,17347,19,3,16595
0,16318,34,3,15653
0,829209,73,1,828511
1,388745,86,4,388080
0,28212,64,3,27637
1,1702393,4,3,1701380
1,547641,32,3,547144
0,10697,77,3,10023
0,738855,27,3,738181
1,590414,57,3,589821
0,136301,84,3,135930
0,1192387,82,3,1191707
1,17274,13,1,16765
1,430064,8,4,429414
1,18257,76,1,17595
0,7133,45,1,6462
0,17466,29,3,16792
0,624606,15,3,623983
0,1721960,41,4,1721430
0,7796,50,3,7137
1,1607447,39,3,1606965
1,1832,12,1,1149
1,2105453,22,3,2104848
0,11162,78,3,10509
1,20358,63,3,19783
1,1507852,60,1,1507205
0,974933,46,3,974307
1,1690792,3,3,1690151
0,9429,44,3,8836
1,840636,5,3,840031
0,755,54,3,93
1,478865,37,3,478194
1,4297,74,3,3704
0,989314,47,1,988862
0,381646,9,3,381053
1,5579,85,3,4953
0,1172053,80,3,1171373
1,1154177,66,1,1153497
0,25270,48,3,24593
0,468982,18,3,468374
0,1728460,2,2,1728161
0,490761,71,3,490084
1,524975,58,3,524382
0,587573,72,3,586902
0,4340,20,3,3579
1,5600,51,0,4947
1,2529,28,5,1873
0,3403,14,1,2810
0,71817,10,1,71311
0,1266,0,3,595
0,475933,70,1,475256
0,1682099,7,3,1681482
1,7594,6,3,6935
1,472195,49,3,471323
0,4574,31,1,3870
0,1728056,35,1,1727928
1,68829,65,3,68515
