Language,CommitteeMember,Subtitle,PageCount,FullTextUrl
1,29,59,173,36
1,2,41,85,45
1,31,12,154,81
1,15,41,197,96
1,28,47,251,90
0,21,41,161,68
1,25,54,421,24
1,15,43,44,1
1,17,18,149,95
1,2,41,349,25
1,22,33,91,22
1,15,41,149,89
1,21,15,277,87
1,21,5,253,23
1,1,41,110,9
1,32,28,122,72
1,21,41,59,28
1,24,51,18,91
1,21,41,54,2
1,21,35,58,18
0,36,41,343,61
1,21,41,87,93
1,12,25,247,105
0,21,70,121,38
0,20,67,108,63
1,19,41,102,11
1,21,29,104,26
1,4,64,413,6
0,20,41,135,3
1,28,41,213,17
1,14,38,315,7
1,21,57,232,86
1,5,61,127,55
1,23,21,252,32
1,9,62,287,66
1,10,63,328,101
0,20,41,129,49
1,30,24,185,78
0,14,66,164,65
0,21,68,220,64
1,34,41,164,76
1,29,48,160,33
0,38,41,123,20
1,21,30,46,12
1,29,56,162,102
1,15,41,93,54
1,0,11,90,84
0,21,71,134,30
1,21,32,248,40
1,6,41,100,82
1,21,46,135,27
1,21,41,133,39
0,9,41,162,48
1,21,39,215,106
1,33,41,113,51
1,27,9,140,34
1,21,6,197,57
1,23,41,62,98
1,21,58,95,56
1,5,50,191,92
1,14,14,253,83
1,9,3,227,0
1,21,65,191,104
1,21,49,291,85
1,21,1,227,60
1,21,10,89,19
1,16,45,203,5
1,13,26,225,16
1,18,44,234,79
0,21,41,117,14
1,3,41,35,69
1,15,60,129,77
1,32,34,53,71
1,32,20,175,75
1,24,41,48,100
1,21,7,88,67
1,15,41,191,8
0,5,69,187,62
1,21,22,42,88
1,21,37,177,59
1,26,8,189,10
1,6,41,346,58
0,5,41,105,43
0,5,41,133,4
1,21,40,147,52
1,35,17,305,99
1,21,41,332,35
1,32,31,115,50
1,30,36,173,29
1,21,2,300,42
1,11,41,66,31
1,23,53,213,47
1,7,16,186,44
1,21,4,166,15
1,15,41,169,74
1,21,23,107,94
1,35,13,355,103
1,17,55,95,73
1,32,27,52,70
1,34,41,105,97
1,37,41,43,21
1,21,41,63,37
1,32,41,91,13
1,17,52,121,53
1,8,42,174,41
1,21,0,134,80
1,21,19,181,46
