Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,7,154221,0
1,434666,127,127,2,433053,0
0,1494962,36,36,5,1493559,1
0,831522,13,13,17,830434,1
0,586,0,0,1,2,0
0,1086604,111,111,12,1085297,1
1,852,48,48,2,1,0
0,340376,74,74,1,339975,0
0,566165,34,34,20,564966,0
1,43838,28,28,2,42453,1
1,496522,95,95,2,495068,1
0,447552,2,2,0,446896,0
1,1459767,37,37,2,1458433,0
0,405983,8,8,1,405798,0
0,423600,145,145,19,422017,0
0,1108489,110,110,25,1107152,1
0,617159,57,57,25,615924,0
0,1398991,107,107,16,1398122,0
0,25566,132,132,0,24556,1
1,553803,93,93,2,552229,0
0,33930,49,49,17,32737,0
1,492874,56,56,2,492284,0
0,512575,152,152,21,511070,0
0,1689293,41,41,24,1687962,1
0,485,4,4,1,3,1
1,452810,96,96,2,452175,0
1,52782,136,136,2,51379,1
0,1002291,88,88,17,1001194,0
0,526360,149,149,25,525035,1
0,1880588,43,43,16,1879185,1
0,1933792,5,5,1,1933010,0
0,6378,59,59,17,4900,1
0,437973,97,97,0,437293,1
0,209311,50,50,4,208193,1
1,1071422,143,143,2,1070148,1
1,1778404,123,123,27,1777100,1
0,7259,7,7,0,6249,0
0,580857,35,35,25,579490,0
0,13382,91,91,0,12657,0
0,367224,148,148,0,366097,0
0,1248251,62,62,15,1246854,1
0,1499180,116,116,21,1497708,0
0,626028,39,39,17,624868,1
0,290343,73,73,23,289018,0
0,1117420,109,109,12,1116176,1
0,395265,90,90,10,393862,0
0,42426,101,101,17,41221,0
0,532332,150,150,25,531106,1
0,1741983,16,16,11,1740772,0
0,523945,114,114,25,522770,1
0,601068,113,113,17,599905,1
0,151073,138,138,19,149964,0
0,1651899,45,45,17,1651012,1
0,919364,85,85,12,918156,0
0,1605950,46,46,12,1604628,0
0,228042,115,115,17,226948,0
0,432268,6,6,19,431189,0
0,987463,87,87,0,986558,0
0,1733432,125,125,23,1732098,0
0,211061,153,153,5,209817,0
1,23787,24,24,2,22417,0
0,12244,29,29,17,11150,0
0,754771,53,53,26,753767,1
1,1804221,71,71,2,1803316,1
0,207419,58,58,0,207000,0
0,598434,75,75,0,597786,1
0,1172370,108,108,12,1171051,0
0,559992,92,92,25,558766,1
0,231983,84,84,8,230514,1
0,383794,23,23,19,382214,0
0,6048,42,42,11,4708,0
1,2074708,18,18,2,2073437,1
0,472615,52,52,9,471425,0
0,412929,51,51,25,411703,0
0,1898756,44,44,19,1897875,1
0,1751668,124,124,5,1750310,0
0,1093548,135,135,18,1092211,0
0,1683736,14,14,17,1682645,0
0,437003,65,65,1,436320,0
0,155993,112,112,22,154689,1
0,146779,94,94,6,145715,1
1,379854,79,79,2,379126,0
0,742418,38,38,17,741516,1
0,1277102,66,66,24,1275858,0
0,308539,82,82,15,307640,0
0,37052,129,129,26,35940,0
0,7956,33,33,22,6742,1
0,233697,3,3,0,233434,1
0,1572694,70,70,17,1571525,1
0,1951553,122,122,16,1950669,0
1,597683,128,128,2,596868,1
0,13695,25,25,12,12373,0
0,494627,40,40,23,493452,0
0,1587887,119,119,10,1586445,1
1,169772,32,32,2,168840,1
0,1404649,106,106,12,1403372,0
1,18783,26,26,2,17596,0
0,2090497,20,20,5,2089121,1
1,9275,47,47,2,7716,1
0,439354,102,102,17,437786,0
1,1072628,133,133,27,1071504,0
0,211328,151,151,19,209856,1
0,59441,100,100,19,58461,0
1,1789020,72,72,2,1787623,1
0,1506761,117,117,24,1505442,1
1,1143832,134,134,2,1142492,0
0,13267,22,22,0,11954,0
0,54854,27,27,0,53844,0
0,1420721,69,69,25,1419405,0
0,67849,99,99,19,66767,0
0,340851,9,9,0,340480,0
0,298468,78,78,17,296987,0
0,1359,83,83,0,532,1
1,1386264,104,104,2,1384861,0
0,458510,17,17,0,457881,1
0,899374,76,76,3,898190,0
1,3182,21,21,2,2247,0
0,1413484,12,12,25,1412150,0
1,6500,31,31,2,5433,0
1,162444,139,139,27,161326,0
0,484137,80,80,17,482659,0
1,262696,60,60,2,261617,0
0,1672453,15,15,5,1671053,0
0,497535,155,155,0,496600,0
1,114367,137,137,2,112967,0
0,799780,140,140,0,799199,0
1,417432,103,103,2,415855,0
0,1370954,68,68,19,1369569,1
0,318880,147,147,17,317777,1
0,799094,55,55,1,798498,0
0,15753,11,11,19,14641,0
0,17944,130,130,17,16457,1
0,1287718,61,61,10,1286318,1
0,174865,131,131,12,173582,1
0,6483,1,1,0,6112,1
1,7961,81,81,2,7053,1
0,403184,98,98,23,402012,0
0,85134,89,89,14,83866,1
0,1944921,121,121,0,1944244,0
0,1361937,105,105,17,1361035,1
1,2053277,19,19,27,2051877,1
0,1065367,142,142,13,1064159,1
1,924253,86,86,2,923378,1
0,332931,64,64,1,332233,1
1,1365596,67,67,27,1364481,0
0,936561,77,77,0,935551,0
1,1015761,63,63,2,1014583,0
0,24760,144,144,17,23234,1
0,304330,146,146,19,303281,1
0,10763,126,126,20,9885,1
1,813285,54,54,2,812281,0
0,1622991,120,120,0,1622125,1
0,349644,10,10,23,348280,0
0,1547471,118,118,21,1546002,1
1,65502,30,30,2,63997,0
0,1047742,141,141,19,1046660,1
