ViafId,Country,Population,MusicBrainzAreaId,OfficialWebsite,CoatOfArms,OpenStreetMapRelationId,Latitude,GeoNamesId,CommonsCategory,Longitude,WhosOnFirstId,MainCategory,Image,FreebaseId,INaturalistPlaceId
146210387.0,40,1852168.0,45,0,71,156393.0,54.6075,2641364.0,174,-6.6925,,168,168,149,8475.0
155905425.0,30,236440.0,190,23,114,1629146.0,38.624,3373385.0,35,-28.031,85687455.0,35,42,30,13197.0
136600716.0,5,36991981.0,108,204,219,1428125.0,56.0,6251999.0,53,-109.0,85633041.0,53,60,203,6712.0
130246329.0,14,150457.0,159,122,209,41781.0,42.398518,3169411.0,221,12.861799,85685455.0,214,191,132,33138.0
150675140.0,3,188737.0,59,202,175,58274.0,50.8466666667,2800866.0,49,4.3516666667,101913231.0,67,56,92,11318.0
133677400.0,41,10014009.0,109,169,181,396479.0,34.05,5368381.0,142,-118.25,102086957.0,137,148,247,962.0
245615266.0,39,2908173.0,159,0,126,3766481.0,23.6666666667,292969.0,86,54.0,85667981.0,85,167,80,12981.0
263181452.0,10,1284948.0,131,229,37,7437.0,45.1833333333,3012715.0,119,5.7166666667,85683427.0,120,206,284,30227.0
150110906.0,11,1549738.0,159,0,239,,48.67,,16,7.0,,16,167,47,
152467680.0,14,657786.0,166,252,204,42106.0,43.1121,3171179.0,214,12.3888,85685439.0,208,232,116,33200.0
151257487.0,20,106739.0,175,21,83,1231749.0,12.51106253,3577279.0,28,-69.97422388,85632295.0,28,119,236,8359.0
146565993.0,14,1308451.0,60,132,216,53937.0,42.2166666667,3183560.0,6,13.8333333333,,6,40,246,10867.0
167233507.0,29,2508464.0,240,86,187,224458.0,51.6,3337493.0,314,19.4166666667,85687261.0,308,231,72,97138.0
129127119.0,12,,159,138,181,2811874.0,48.17,3214106.0,241,9.5,,284,167,44,
137190084.0,2,5160023.0,182,130,72,2316595.0,-20.0,2152274.0,235,143.0,85681463.0,227,167,218,7308.0
129009914.0,10,234296.0,85,71,32,7423.0,47.5833333333,3013737.0,110,6.0,85683559.0,111,141,296,30170.0
138444676.0,3,29965.0,10,182,2,929868.0,50.9842,2803430.0,3,4.8333,101754323.0,3,18,31,
146210387.0,40,1852168.0,45,0,71,156393.0,54.6075,2641364.0,174,-6.6925,,168,168,149,8475.0
131449915.0,14,,230,111,195,53059.0,43.6166666667,3183087.0,194,13.5166666667,85685379.0,189,180,126,33157.0
148933771.0,38,55234.0,199,190,237,1686649.0,47.3784,2661739.0,58,9.3128,85682353.0,21,112,69,12660.0
137152383.0,29,4617000.0,50,142,188,224462.0,50.3333333333,3337497.0,268,19.0,85687277.0,258,129,173,7801.0
130195798.0,41,1585055.0,105,139,181,396460.0,38.45,5389519.0,253,-121.35,102082889.0,242,225,199,2339.0
155815338.0,34,284293.0,201,235,59,,46.0513888889,3196359.0,139,14.5061111111,101752073.0,134,146,198,44714.0
244542798.0,5,2794356.0,110,276,107,324211.0,43.6702777778,6167865.0,286,-79.3866666667,101735835.0,278,251,229,27608.0
235896525.0,14,558745.0,93,175,68,44875.0,44.4071861111,6542282.0,96,8.9339833333,101752663.0,96,102,233,
5.118151595778004e+21,10,152789.0,159,0,181,2846698.0,44.35777778,2989818.0,172,5.13111111,,310,167,187,
6.914464842445348e+19,10,662285.0,0,255,45,7406.0,45.7,2984986.0,233,3.2166666667,85683471.0,225,91,282,99547.0
9.461152200848914e+21,10,106169.0,159,0,181,1684776.0,47.08333333,3021262.0,26,5.48333333,,310,83,185,
130199357.0,10,1152662.0,91,198,23,7415.0,48.8166666667,3034720.0,41,7.7833333333,85683221.0,41,241,294,30136.0
124562170.0,8,1223894.0,191,135,181,1319978.0,55.3333333333,6418542.0,242,9.6666666667,85682575.0,232,213,147,96857.0
236832424.0,21,10393.0,159,93,80,1333112.0,49.75,6693293.0,150,6.1,1125286143.0,146,155,178,127295.0
154803923.0,10,2611293.0,84,100,13,7400.0,50.6213888889,2990129.0,173,3.0322222222,85683445.0,167,5,194,30203.0
261909586.0,2,453558.0,234,12,75,2354197.0,-35.45,2177478.0,32,148.9805555556,85681493.0,32,38,313,12986.0
157098389.0,39,3355900.0,164,214,88,3766483.0,25.2644444444,292224.0,88,55.3116666667,85667983.0,87,257,19,10413.0
175761035.0,23,101236.0,192,212,124,1002142.0,52.25,2756986.0,79,6.2,101751865.0,79,116,243,17375.0
312732044.0,5,4067175.0,18,185,81,391186.0,55.0,5883102.0,12,-115.0,85682091.0,12,10,241,6834.0
145425277.0,41,488863.0,178,143,181,396468.0,38.51,5397100.0,271,-122.93,102081671.0,261,137,259,2764.0
136077614.0,14,1102670.0,97,113,197,44996.0,45.695,3182163.0,198,9.67,85685249.0,193,45,115,33145.0
145416817.0,4,881935.0,147,11,61,326266.0,-9.0333333333,3665474.0,7,-70.5166666667,85681873.0,7,274,53,9316.0
240480701.0,41,178127.0,196,1,181,113158.0,38.4486111111,5393287.0,260,-122.7047222222,85922693.0,248,170,309,
123148388.0,36,1245960.0,122,56,151,349017.0,36.5,2520597.0,204,-5.75,85682679.0,199,167,8,29999.0
155934080.0,41,439035.0,162,164,181,396485.0,36.24,5374376.0,154,-121.31,102080859.0,150,48,254,1921.0
316429670.0,36,2278437.0,159,0,181,2417889.0,41.4044444444,3128758.0,40,2.1608333333,,40,197,306,140344.0
5.118151595778004e+21,10,152789.0,159,0,181,2846698.0,44.35777778,2989818.0,172,5.13111111,,310,167,187,
141826349.0,34,2066880.0,89,67,103,218657.0,46.0,3190538.0,270,15.0,85633779.0,260,223,168,8228.0
133681437.0,36,654170.0,150,59,152,348998.0,38.0,2516394.0,207,-3.5,85682757.0,202,138,6,30002.0
150806640.0,10,139654.0,208,145,48,7410.0,47.6382,3033789.0,283,6.8614,85683353.0,274,97,0,30172.0
128919823.0,2,26473055.0,14,195,67,80500.0,-25.0,2077456.0,31,133.0,85632793.0,31,37,200,6744.0
146210387.0,40,1852168.0,45,0,71,156393.0,54.6075,2641364.0,174,-6.6925,,168,168,149,8475.0
130168302.0,41,331449281.0,77,277,169,148838.0,39.828175,6252001.0,291,-98.5795,85633793.0,286,68,192,1.0
144231507.0,5,14223942.0,39,245,96,68841.0,50.0,6093943.0,178,-85.0,85682057.0,172,27,151,6883.0
125492314.0,10,174942.0,46,87,40,7454.0,44.5588888889,2997524.0,143,1.5763888889,85683389.0,138,57,270,30200.0
141914082.0,30,2135992.0,83,0,181,2897141.0,38.7,2267056.0,137,-9.1833333333,85687367.0,132,167,138,13203.0
148290995.0,36,137268.0,159,24,166,2805694.0,41.945,,39,3.06,,39,58,95,
7.475148997656461e+21,8,633021.0,184,78,86,2192363.0,55.6752777778,2618424.0,128,12.5702777778,1159297727.0,74,76,98,98689.0
129609572.0,36,389558.0,237,54,146,1863380.0,39.667,2520610.0,203,-6.0,,198,125,14,30033.0
158263965.0,41,3285874.0,56,173,115,4422604.0,18.25,4566966.0,232,-66.5,85633729.0,224,121,155,6848.0
138347464.0,33,5449270.0,225,271,102,14296.0,49.0,3057568.0,269,20.0,85633769.0,259,4,167,8267.0
151705775.0,14,8948.0,197,43,181,179263.0,46.0666666667,6540298.0,34,12.5833333333,101845927.0,34,190,156,
140721049.0,14,,102,254,212,46708.0,46.3601972222,3166396.0,225,9.944,85685239.0,218,15,134,33155.0
248116093.0,36,326013.0,88,52,153,348992.0,43.0,3117813.0,209,-7.5,85682775.0,204,215,16,30035.0
260718073.0,14,,103,118,203,42884.0,44.1802,3173330.0,212,10.6482,85685347.0,206,157,113,100748.0
165356017.0,10,663202.0,239,13,20,7387.0,46.0833333333,3038422.0,9,5.3333333333,85683153.0,9,218,261,30223.0
135561010.0,10,495508.0,6,92,41,7404.0,49.05,2996268.0,148,-1.25,85683489.0,144,44,285,30148.0
154773288.0,14,308158.0,3,253,215,41817.0,42.4186111111,3164038.0,230,12.1041666667,85685451.0,222,142,133,33140.0
123162443.0,41,448229.0,47,208,181,396510.0,34.54,5392967.0,258,-120.03,102080855.0,246,23,257,1531.0
123281310.0,10,,159,0,181,,45.079628,,172,5.66237967,,310,153,316,
146578235.0,41,84900.0,159,38,181,1799447.0,43.02,5257788.0,121,-88.78,102081287.0,122,126,301,1238.0
146598398.0,40,108736.0,159,141,181,149163.0,54.28,7290611.0,46,-0.402,,47,253,88,
149845755.0,36,,159,0,181,,40.3987527778,6355233.0,211,-3.7243305556,,310,167,316,
132598753.0,3,29340.0,13,181,1,721879.0,51.0833333333,2803444.0,2,3.45,101837549.0,2,17,28,
158415129.0,34,19671.0,205,15,113,1675824.0,45.885789,3204853.0,158,13.912817,85677465.0,154,167,269,105790.0
157098389.0,39,3355900.0,164,214,88,3766483.0,25.2644444444,292224.0,88,55.3116666667,85667983.0,87,257,19,10413.0
