ViafId,Country,Population,MusicBrainzAreaId,OfficialWebsite,CoatOfArms,OpenStreetMapRelationId,Latitude,GeoNamesId,CommonsCategory,Longitude,WhosOnFirstId,MainCategory,Image,FreebaseId,INaturalistPlaceId
189116956,3,84358845,9,6,4,51477,51.0,2921044,3,10.0,85633111,3,0,3,7207
158208597,8,5123536,3,0,5,62273,53.0,2963597,8,-8.0,85633241,8,7,5,6718
133609710,10,47415750,4,4,7,1311341,40.2,2510769,10,-3.5,85633129,10,7,8,6774
189116956,3,84358845,9,6,4,51477,51.0,2921044,3,10.0,85633111,3,0,3,7207
156652814,6,17590672,12,10,10,47796,52.3166666667,2750405,6,5.55,85633337,6,5,6,7506
144248059,0,11584008,7,5,1,52411,50.6411111111,2802361,0,4.6680555556000005,85632997,0,2,0,7008
127757650,1,49065615,1,7,2,120027,4.0,3686110,1,-73.25,85632519,1,1,2,7196
130168302,12,331449281,5,12,0,148838,39.828175,6252001,12,-98.5795,85633793,12,3,11,1
152361066,4,58850717,11,2,11,365331,42.5,3175395,4,12.5,85633253,4,4,4,6973
153009195,7,10347892,8,9,8,295480,38.7,2264397,7,-9.1833333333,85633735,7,7,7,7122
264091107,2,67749632,2,11,3,2202162,47.0,3017382,2,2.0,85633147,2,9,12,6753
152361066,4,58850717,11,2,11,365331,42.5,3175395,4,12.5,85633253,4,4,4,6973
127756949,11,67326569,10,8,12,62149,54.6,2635167,11,-2.0,85633159,11,8,10,6857
156652814,6,17590672,12,10,10,47796,52.3166666667,2750405,6,5.55,85633337,6,5,6,7506
127757650,1,49065615,1,7,2,120027,4.0,3686110,1,-73.25,85632519,1,1,2,7196
264091107,2,67749632,2,11,3,2202162,47.0,3017382,2,2.0,85633147,2,9,12,6753
141826349,9,2066880,6,1,9,218657,46.0,3190538,9,15.0,85633779,9,10,9,8228
133609710,10,47415750,4,4,7,1311341,40.2,2510769,10,-3.5,85633129,10,7,8,6774
128920262,5,48468138,0,3,6,192798,0.1,192950,5,38.0,85632329,5,6,1,7042
128920262,5,48468138,0,3,6,192798,0.1,192950,5,38.0,85632329,5,6,1,7042
