Gender,Biography,SiblingName,BirthDate,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,MiddleName,MotherName,PosthumousTitle
0,10,0,67,4,25,8,85,0,0,60
0,10,0,86,5,33,66,65,1,17,62
1,10,0,60,3,70,54,27,1,26,2
1,10,0,28,3,24,33,36,1,27,58
0,10,0,69,4,83,7,85,0,17,37
0,10,0,30,4,80,69,50,0,15,47
0,10,0,76,4,84,59,64,0,17,47
1,10,0,40,4,81,46,10,0,2,65
1,9,0,68,3,15,16,48,1,9,55
1,8,0,0,4,85,1,13,0,15,47
1,10,2,55,3,16,26,33,1,3,26
1,10,0,74,3,63,56,38,1,0,4
1,10,0,46,3,54,20,14,1,26,14
1,10,0,53,3,43,32,30,1,15,11
1,10,0,59,4,41,42,2,0,13,28
0,10,0,66,4,79,60,49,0,10,47
0,13,0,38,4,77,77,81,0,7,35
0,10,0,6,4,2,82,72,0,14,67
0,10,0,85,4,31,74,52,0,15,31
1,4,0,16,3,60,45,25,1,23,17
1,3,0,12,3,21,41,6,1,6,75
1,10,0,81,4,76,15,18,0,10,70
0,10,0,17,4,10,83,59,0,1,59
1,10,0,80,3,52,27,19,1,15,73
0,10,0,42,4,45,81,74,0,9,43
0,13,0,9,7,62,14,83,1,6,32
1,10,0,50,3,39,51,34,1,9,19
0,10,0,19,4,9,62,45,0,15,52
0,10,0,43,4,32,63,58,0,25,56
1,10,0,47,3,13,19,32,1,9,69
0,10,0,4,4,0,58,24,0,14,0
0,10,0,79,4,42,12,55,0,17,30
0,10,0,64,4,19,80,67,0,9,44
1,10,0,39,3,11,48,4,1,1,25
1,10,1,23,3,38,47,84,1,22,1
0,10,0,51,4,7,4,42,0,20,47
1,6,0,48,3,48,36,8,1,3,13
1,10,0,63,3,78,44,37,1,18,47
0,10,0,71,4,79,10,53,0,15,47
1,10,0,37,3,46,21,20,1,11,9
1,15,1,14,3,72,43,77,1,4,66
0,10,0,7,4,4,68,1,0,5,27
1,0,0,2,3,44,31,21,1,22,74
0,10,0,32,4,6,73,44,0,4,24
0,12,0,29,4,65,85,80,0,7,20
0,11,0,27,4,28,84,39,0,21,61
0,10,0,57,4,27,65,43,0,15,72
0,10,0,11,4,67,9,51,0,1,41
1,10,0,44,3,66,25,17,1,10,78
1,5,0,21,3,20,52,26,1,15,49
0,10,0,41,4,75,76,63,0,10,79
1,10,0,35,3,85,22,7,1,15,47
0,10,0,84,4,74,75,41,0,15,38
1,10,0,70,3,53,38,29,1,15,3
0,10,0,18,4,73,87,46,0,11,40
0,10,0,24,4,55,5,85,0,24,36
1,10,0,45,3,71,49,28,1,12,16
1,10,0,62,3,69,55,23,1,8,6
1,10,0,83,3,17,34,31,1,17,47
0,10,0,58,4,13,61,69,0,17,54
1,10,0,52,3,36,35,11,1,13,22
0,10,0,67,4,57,67,62,0,13,39
1,10,0,78,3,47,37,12,1,9,8
0,10,0,20,4,37,86,71,0,5,48
1,10,0,77,3,59,17,9,1,10,15
1,10,0,56,3,35,30,76,1,8,77
0,10,0,72,4,26,64,56,0,13,71
1,1,0,3,3,1,24,15,1,14,50
1,10,0,61,3,68,53,5,1,14,10
0,10,0,54,4,22,6,70,0,25,45
1,16,0,13,3,40,40,78,1,7,64
1,10,0,31,3,51,28,35,1,15,12
1,10,0,22,3,5,50,16,1,2,21
1,7,1,15,3,12,16,79,1,2,18
1,10,0,36,3,29,29,3,1,10,29
0,10,0,32,4,18,70,40,0,3,46
0,10,0,34,4,23,2,73,0,21,57
0,10,0,65,4,50,71,85,0,17,42
0,10,0,82,4,82,78,66,0,0,33
0,10,0,33,4,64,72,54,0,8,47
0,10,0,49,2,61,13,47,1,26,34
1,2,0,8,3,49,39,0,1,11,7
1,10,0,75,4,58,23,75,0,26,5
0,10,0,5,1,34,11,61,1,14,53
0,10,0,10,4,30,79,57,0,19,51
1,14,0,1,6,56,57,82,1,16,68
0,10,0,73,4,14,0,68,0,9,63
1,10,0,26,0,8,18,22,1,11,76
0,10,0,25,4,3,3,60,0,26,23
